portfolio,state,ann_return,sharpe,max_drawdown,delta_ann_return_vs_ggg1,avg_defense_component,avg_offense_component,avg_cash_bil_sleeve
improved_phase2_aggressive_neutral_cash_unlock,neutral_mixed,0.117435,1.468792,-0.097213,0.0053,0.2141,0.118,0.1915
improved_phase2_aggressive_calm_offense_unlock,neutral_mixed,0.11352,1.470078,-0.091372,0.0014,0.1934,0.1153,0.2289
improved_phase2_aggressive_recovery_confirmed_boost,neutral_mixed,0.112062,1.456116,-0.091274,-0.0001,0.1994,0.1161,0.2293
improved_phase2_aggressive_nonstressed_offense_mandate,neutral_mixed,0.119584,1.468811,-0.098402,0.0075,0.1859,0.1281,0.1927
improved_phase2_aggressive_balanced_mandate,neutral_mixed,0.118895,1.471771,-0.097836,0.0068,0.1984,0.1227,0.1919
improved_phase2_aggressive_stretch_mandate,neutral_mixed,0.121443,1.474225,-0.09979,0.0093,0.1729,0.1319,0.1887
ggg1,neutral_mixed,0.112112,1.461561,-0.091217,0.0,,,
