portfolio,full_ann_return,full_sharpe,full_max_dd,full_cvar_5,holdout_2020_return,holdout_2020_sharpe,avg_BIL,avg_BIL_delta_vs_ggg1,avg_turnover,turnover_ratio_vs_ggg1,passes_mandate_guardrails,bear_2022_protection_ok,disguised_spy_flag
improved_phase2_aggressive_neutral_cash_unlock,0.0739,0.9398,-0.125,-0.026,0.097,1.0607,0.2462,-0.0204,0.0629,1.017,True,True,False
improved_phase2_aggressive_calm_offense_unlock,0.0714,0.9171,-0.1275,-0.026,0.0948,1.0506,0.2615,-0.0051,0.0619,1.002,True,True,False
improved_phase2_aggressive_recovery_confirmed_boost,0.0715,0.9371,-0.1175,-0.0254,0.0959,1.0837,0.2685,0.0019,0.0624,1.009,True,True,False
improved_phase2_aggressive_nonstressed_offense_mandate,0.0744,0.9208,-0.1365,-0.0268,0.0966,1.0231,0.2411,-0.0255,0.0635,1.026,True,True,False
improved_phase2_aggressive_balanced_mandate,0.0742,0.9271,-0.1329,-0.0266,0.0968,1.0373,0.2416,-0.025,0.0629,1.017,True,True,False
improved_phase2_aggressive_stretch_mandate,0.0749,0.914,-0.1427,-0.0272,0.0963,1.0026,0.2368,-0.0298,0.0638,1.032,True,True,False
