portfolio,window,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_turnover,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,active_return_vs_ggg1,active_return_vs_spy
improved_phase2_aggressive_nonstressed_offense_mandate,holdout_2020,improved_phase2_aggressive_nonstressed_offense_mandate,328,0.096631,0.094454,1.023051,-0.1365,0.707918,-0.028703,-0.141152,-0.049822,0.2114,0.061,0.0661,0.0648,-0.141,-0.0681,-0.1391,0.0016,-0.0614
improved_phase2_aggressive_nonstressed_offense_mandate,holdout_2021,improved_phase2_aggressive_nonstressed_offense_mandate,276,0.106459,0.080366,1.324673,-0.078411,1.357708,-0.022203,-0.080489,-0.049822,0.1968,0.0646,0.0659,0.093,-0.1494,-0.0367,-0.0733,0.0042,-0.0417
improved_phase2_aggressive_nonstressed_offense_mandate,bear_2022,improved_phase2_aggressive_nonstressed_offense_mandate,52,-0.007667,0.065405,-0.117226,-0.067279,-0.113961,-0.016671,-0.025131,-0.049822,0.5348,0.0333,0.0448,0.0471,0.0437,0.0143,0.0506,0.0056,0.1546
improved_phase2_aggressive_nonstressed_offense_mandate,recovery_2023,improved_phase2_aggressive_nonstressed_offense_mandate,171,0.147812,0.085234,1.734184,-0.078411,1.885101,-0.022942,-0.080489,-0.032724,0.0877,0.0629,0.0701,0.1343,-0.2484,-0.0766,-0.1284,0.0041,-0.0667
improved_phase2_aggressive_balanced_mandate,full,improved_phase2_aggressive_balanced_mandate,1110,0.074246,0.080086,0.927084,-0.132865,0.55881,-0.026573,-0.13716,-0.092096,0.2416,0.0631,0.0629,0.046,-0.1325,-0.0325,-0.0713,0.003,-0.045
improved_phase2_aggressive_balanced_mandate,holdout_2016,improved_phase2_aggressive_balanced_mandate,537,0.083084,0.083974,0.989405,-0.132865,0.625325,-0.026754,-0.13716,-0.092096,0.2032,0.0609,0.0632,0.0607,-0.146,-0.0601,-0.1215,0.002,-0.0709
improved_phase2_aggressive_balanced_mandate,holdout_2020,improved_phase2_aggressive_balanced_mandate,328,0.096808,0.093328,1.037293,-0.132865,0.72862,-0.028312,-0.13716,-0.049777,0.2129,0.0602,0.0653,0.0655,-0.1401,-0.068,-0.1406,0.0017,-0.0613
improved_phase2_aggressive_balanced_mandate,holdout_2021,improved_phase2_aggressive_balanced_mandate,276,0.106237,0.079442,1.3373,-0.077577,1.369449,-0.021853,-0.079612,-0.049777,0.1999,0.0635,0.0654,0.094,-0.1472,-0.0364,-0.0734,0.0039,-0.042
improved_phase2_aggressive_balanced_mandate,bear_2022,improved_phase2_aggressive_balanced_mandate,52,-0.008483,0.065132,-0.130243,-0.067773,-0.125168,-0.01656,-0.025145,-0.049777,0.5356,0.0325,0.0452,0.046,0.044,0.0143,0.0505,0.0047,0.1537
improved_phase2_aggressive_balanced_mandate,recovery_2023,improved_phase2_aggressive_balanced_mandate,171,0.147961,0.08408,1.759767,-0.077577,1.907284,-0.022544,-0.079612,-0.031038,0.0902,0.062,0.069,0.1366,-0.2448,-0.0758,-0.1288,0.0041,-0.0667
improved_phase2_aggressive_stretch_mandate,full,improved_phase2_aggressive_stretch_mandate,1110,0.074874,0.081921,0.913982,-0.14271,0.52466,-0.02717,-0.147947,-0.103736,0.2368,0.0647,0.0638,0.0457,-0.1348,-0.0329,-0.0705,0.0037,-0.0442
improved_phase2_aggressive_stretch_mandate,holdout_2016,improved_phase2_aggressive_stretch_mandate,537,0.082883,0.086181,0.96173,-0.14271,0.580777,-0.027512,-0.147947,-0.103736,0.1989,0.062,0.0642,0.06,-0.1469,-0.0606,-0.1194,0.002,-0.0708
improved_phase2_aggressive_stretch_mandate,holdout_2020,improved_phase2_aggressive_stretch_mandate,328,0.096348,0.096101,1.00257,-0.14271,0.675132,-0.029269,-0.147947,-0.049889,0.2076,0.0622,0.0662,0.0647,-0.1409,-0.0685,-0.1376,0.0015,-0.0615
improved_phase2_aggressive_stretch_mandate,holdout_2021,improved_phase2_aggressive_stretch_mandate,276,0.1074,0.08136,1.32005,-0.07958,1.349576,-0.0225,-0.081719,-0.049889,0.1921,0.0656,0.0659,0.0939,-0.1506,-0.0369,-0.0727,0.0051,-0.0407
improved_phase2_aggressive_stretch_mandate,bear_2022,improved_phase2_aggressive_stretch_mandate,52,-0.005606,0.066683,-0.084064,-0.066679,-0.084069,-0.016927,-0.02515,-0.049889,0.5309,0.0343,0.045,0.0509,0.0438,0.0153,0.0529,0.0078,0.1567
improved_phase2_aggressive_stretch_mandate,recovery_2023,improved_phase2_aggressive_stretch_mandate,171,0.148639,0.086298,1.722392,-0.07958,1.867787,-0.02329,-0.081719,-0.034728,0.0835,0.064,0.0704,0.1345,-0.2509,-0.0777,-0.1287,0.0049,-0.0658
ggg1,full,ggg1,1110,0.071381,0.076248,0.936168,-0.117739,0.606267,-0.025377,-0.12083,-0.079145,,,,0.0451,-0.1262,-0.0308,-0.071,0.0,-0.0482
ggg1,holdout_2016,ggg1,537,0.081287,0.079775,1.018956,-0.117739,0.690402,-0.025366,-0.12083,-0.077378,,,,0.0605,-0.1406,-0.0575,-0.1224,0.0,-0.073
ggg1,holdout_2020,ggg1,328,0.095497,0.088243,1.082205,-0.117739,0.811093,-0.026575,-0.12083,-0.049791,,,,0.0655,-0.1362,-0.0653,-0.1429,0.0,-0.0632
ggg1,holdout_2021,ggg1,276,0.102228,0.075817,1.348356,-0.072541,1.409258,-0.020791,-0.074317,-0.049791,,,,0.0914,-0.1404,-0.0343,-0.0726,0.0,-0.0463
