portfolio,bear_2022_return,ggg1_bear_2022_return,spy_bear_2022_return,bear_protection_vs_ggg1_delta,bear_protection_ok
improved_phase2_aggressive_neutral_cash_unlock,-0.0114,-0.0129,-0.1818,0.0015,True
improved_phase2_aggressive_calm_offense_unlock,-0.0121,-0.0129,-0.1818,0.0008,True
improved_phase2_aggressive_recovery_confirmed_boost,-0.0131,-0.0129,-0.1818,-0.0001,True
improved_phase2_aggressive_nonstressed_offense_mandate,-0.0077,-0.0129,-0.1818,0.0053,True
improved_phase2_aggressive_balanced_mandate,-0.0085,-0.0129,-0.1818,0.0045,True
improved_phase2_aggressive_stretch_mandate,-0.0056,-0.0129,-0.1818,0.0073,True
