cik10,company_name_as_filed,sector,current_tickers,current_exchanges,has_current_sec_ticker,identity_status,candidate_symbols,symbol_count,symbol_source,collision_flag,single_symbol_usable_for_price_probe,tiingo_symbol,first_eligible_decision,last_eligible_decision,inventory_interval_overlap,inventory_status
0000023194,COMSTOCK RESOURCES INC,energy,CRK,NYSE,True,current_ticker_available,CRK,1,current_sec_mapping,False,True,CRK,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000033213,EQT CORP,energy,EQT,NYSE,True,current_ticker_available,EQT,1,current_sec_mapping,False,True,EQT,2014-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000045012,HALLIBURTON CO,energy,HAL,NYSE,True,current_ticker_available,HAL,1,current_sec_mapping,False,True,HAL,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000046765,"HELMERICH & PAYNE, INC.",energy,HP,NYSE,True,current_ticker_available,HP,1,current_sec_mapping,False,True,HP,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000049938,IMPERIAL OIL LTD,energy,IMO,NYSE,True,current_ticker_available,IMO,1,current_sec_mapping,False,True,IMO,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000073756,OCEANEERING INTERNATIONAL INC,energy,OII,NYSE,True,current_ticker_available,OII,1,current_sec_mapping,False,True,OII,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000087347,SLB LIMITED/NV,energy,SLB,NYSE,True,current_ticker_available,SLB,1,current_sec_mapping,False,True,SLB,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000093410,CHEVRON CORP,energy,CVX,NYSE,True,current_ticker_available,CVX,1,current_sec_mapping,False,True,CVX,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000101594,US ENERGY CORP,energy,BSIN,Nasdaq,True,current_ticker_available,BSIN,1,current_sec_mapping,False,True,BSIN,2012-04-01 00:00:00+00:00,2017-01-01 00:00:00+00:00,True,candidate_supported
0000315852,RANGE RESOURCES CORP,energy,RRC,NYSE,True,current_ticker_available,RRC,1,current_sec_mapping,False,True,RRC,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
0000717423,MURPHY OIL CORP,energy,MUR,NYSE,True,current_ticker_available,MUR,1,current_sec_mapping,False,True,MUR,2012-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,True,candidate_supported
