portfolio,window,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_QQQ,avg_sector_sleeve,avg_defense,avg_cash_bil,avg_turnover,upside_capture,downside_capture,beta_spy,corr_spy,beta_qqq,active_return_vs_ggg1,active_return_vs_phase4b_best
improved_phase6_neutral_classifier_unlock,full,improved_phase6_neutral_classifier_unlock,1110,0.077455,0.080857,0.957931,-0.137725,0.562389,-0.026669,-0.142802,-0.097749,0.2358,0.055,0.0239,0.0993,0.1991,0.2014,0.0732,0.0487,-0.1369,-0.0326,-0.0708,-0.0263,0.0065,-0.0002
improved_phase6_neutral_classifier_unlock,holdout_2016,improved_phase6_neutral_classifier_unlock,537,0.086481,0.084558,1.022749,-0.137725,0.627928,-0.026732,-0.142802,-0.097749,0.189,0.0545,0.0224,0.113,0.2086,0.1527,0.075,0.0647,-0.1492,-0.0605,-0.1216,-0.0441,0.0056,-0.0003
improved_phase6_neutral_classifier_unlock,holdout_2020,improved_phase6_neutral_classifier_unlock,328,0.095133,0.094414,1.00762,-0.137725,0.690749,-0.029018,-0.142802,-0.053252,0.1977,0.0525,0.0265,0.1137,0.231,0.1526,0.078,0.0652,-0.1371,-0.0686,-0.1402,-0.0499,0.0003,-0.0005
improved_phase6_neutral_classifier_unlock,holdout_2021,improved_phase6_neutral_classifier_unlock,276,0.106733,0.082087,1.300246,-0.074226,1.437957,-0.022545,-0.071591,-0.048861,0.1816,0.0558,0.0178,0.1232,0.2331,0.132,0.0779,0.0949,-0.1477,-0.0398,-0.0777,-0.0302,0.0051,-0.0004
improved_phase6_neutral_classifier_unlock,bear_2022,improved_phase6_neutral_classifier_unlock,52,-0.015241,0.064314,-0.236977,-0.067847,-0.224637,-0.017654,-0.02582,-0.048861,0.526,0.0242,0.0022,0.0177,0.176,0.4818,0.0495,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,0.0
improved_phase6_neutral_classifier_unlock,recovery_2023,improved_phase6_neutral_classifier_unlock,171,0.141087,0.085646,1.647322,-0.074226,1.900781,-0.022151,-0.071591,-0.036612,0.0832,0.0587,0.017,0.1368,0.25,0.0601,0.0842,0.1374,-0.2239,-0.0742,-0.1238,-0.0564,-0.002,0.0001
improved_phase6_calm_bull_quality_offense,full,improved_phase6_calm_bull_quality_offense,1110,0.07728,0.081212,0.951582,-0.14316,0.539816,-0.026819,-0.148795,-0.104564,0.2353,0.0548,0.0239,0.1026,0.1969,0.2014,0.0735,0.0483,-0.1371,-0.0327,-0.0706,-0.0264,0.0063,-0.0003
improved_phase6_calm_bull_quality_offense,holdout_2016,improved_phase6_calm_bull_quality_offense,537,0.086092,0.0852,1.010468,-0.14316,0.601371,-0.02703,-0.148795,-0.104564,0.1881,0.0542,0.0224,0.1186,0.2048,0.1527,0.0755,0.0641,-0.1493,-0.0606,-0.1208,-0.0442,0.0053,-0.0006
improved_phase6_calm_bull_quality_offense,holdout_2020,improved_phase6_calm_bull_quality_offense,328,0.094336,0.095269,0.990202,-0.14316,0.658957,-0.029446,-0.148795,-0.060791,0.1964,0.0522,0.0265,0.1209,0.2259,0.1527,0.0786,0.064,-0.1373,-0.0687,-0.1391,-0.05,-0.0004,-0.0012
improved_phase6_calm_bull_quality_offense,holdout_2021,improved_phase6_calm_bull_quality_offense,276,0.106992,0.082485,1.297118,-0.074226,1.441449,-0.022641,-0.071591,-0.048862,0.18,0.0554,0.0178,0.1301,0.2283,0.132,0.0784,0.0938,-0.1499,-0.0405,-0.0786,-0.0308,0.0054,-0.0001
