state,n_weeks,freq
low_quality_neutral,264,0.238
calm_trend,237,0.214
neutral_mixed,229,0.206
stressed_panic,229,0.206
extreme_quality_calm,58,0.052
recovery_fragile,49,0.044
strong_recovery,34,0.031
recovery_confirmed,10,0.009
