portfolio,signal,signal_active_ann_return,signal_inactive_ann_return,n_active
improved_phase6_neutral_classifier_unlock,extreme_quality_calm,0.1098,0.0757,58
improved_phase6_neutral_classifier_unlock,high_quality_neutral,,0.0775,0
improved_phase6_calm_bull_quality_offense,extreme_quality_calm,0.1102,0.0755,58
improved_phase6_calm_bull_quality_offense,high_quality_neutral,,0.0773,0
improved_phase6_recovery_quality_rerisk,extreme_quality_calm,0.1091,0.0758,58
improved_phase6_recovery_quality_rerisk,high_quality_neutral,,0.0775,0
improved_phase6_continuous_aggression_score,extreme_quality_calm,0.1098,0.0763,58
improved_phase6_continuous_aggression_score,high_quality_neutral,,0.078,0
improved_phase6_balanced_classifier_rebuild,extreme_quality_calm,0.1097,0.0754,58
improved_phase6_balanced_classifier_rebuild,high_quality_neutral,,0.0771,0
