candidate,state,ann_return_delta_vs_ggg1,sharpe_delta_vs_ggg1,cvar_5_delta_vs_ggg1,max_drawdown_delta_vs_ggg1
improved_phasesss3_calm_old_low_stress_derisk,stressed_panic,0.0001304073800294514,0.003925805224263834,8.995072247575467e-05,0.0010079365788506767
improved_phasesss3_calm_old_low_stress_derisk,recovery_confirmed,-1.8261612406700323e-06,-2.5310407563761128e-05,-1.091804303007815e-07,-1.4072016825128486e-06
improved_phasesss3_calm_old_low_stress_derisk,recovery_fragile,2.196543101185e-06,2.9597540916359577e-05,-1.6844526329329312e-09,3.3306690738754696e-16
improved_phasesss3_calm_old_low_stress_derisk,calm_trend,1.2013335233929112e-05,0.0016928672076336193,0.00011181604993900848,-1.0878561987226476e-05
improved_phasesss3_stress_new_state_defense,stressed_panic,6.622676602696664e-05,0.0009226799459080559,8.772085570655369e-06,6.3441404963837655e-06
improved_phasesss3_stress_new_state_defense,recovery_confirmed,-1.4899067808382682e-06,-9.741055508161178e-06,8.264537698365881e-07,-1.2692351614163044e-08
improved_phasesss3_stress_new_state_defense,recovery_fragile,-5.3292245634883884e-05,-0.001009139462342823,-6.2383220301685804e-06,-2.220446049250313e-16
improved_phasesss3_stress_new_state_defense,calm_trend,3.422315080214844e-07,5.316727662463272e-06,7.657799117044561e-10,1.2457027520618169e-08
improved_phasesss3_recovery_sequence_rerisk,stressed_panic,1.9571557330344547e-07,2.0324153305328885e-06,-3.877131359020236e-10,3.975248163978762e-08
improved_phasesss3_recovery_sequence_rerisk,recovery_confirmed,8.567502263190363e-11,8.79433692535514e-10,5.6690763194922056e-15,9.013900736931646e-13
improved_phasesss3_recovery_sequence_rerisk,recovery_fragile,3.7012347187115324e-08,4.7351124154992874e-07,2.5496618705211915e-13,5.934142066621462e-13
improved_phasesss3_recovery_sequence_rerisk,calm_trend,3.440478090865895e-05,0.00031790712854617986,-6.885800543036252e-06,-5.905972805475557e-06
improved_phasesss3_combined_sequence_overlay,stressed_panic,0.00013679539938626917,0.0033108758097149527,6.654590231154611e-05,0.0006766874936122713
improved_phasesss3_combined_sequence_overlay,recovery_confirmed,-2.3580998436134593e-06,-2.448385619863158e-05,5.49059454138523e-07,-9.653583467050808e-07
improved_phasesss3_combined_sequence_overlay,recovery_fragile,-3.824718343437006e-05,-0.0007335344396570687,-4.6803492950373005e-06,4.747313653297169e-13
improved_phasesss3_combined_sequence_overlay,calm_trend,3.661591355785809e-05,0.0013976341878197962,6.903040440219346e-05,-1.1926984997523427e-05
