sleeve,expected_rows,actual_rows,index_equal,columns_equal,maximum_absolute_difference,changed_rows,first_changed_date,last_changed_date,native_position_equivalence_passed,saved_sha256,generated_sha256
dual_momentum_topn,1110,1110,True,True,0.0,0,,,True,13a78141f088e05d848e58a77fc943dc6483ec0bbe6da3ac36b2f4c238473ce2,13a78141f088e05d848e58a77fc943dc6483ec0bbe6da3ac36b2f4c238473ce2
cta_trend_long_only,1110,1110,True,True,3.1086244689504383e-15,0,,,True,c1097d6234ba3b678567a3d5174a926ee7a13b9d2b7100b05ac667679f570b55,2ace3891e2f15b462da42448dc6f78018a5aabd662837230361595ce2c7a901c
composite_selective_signals,1110,1110,True,True,0.0,0,,,True,7e73d6fc7a72c997dffe7b20ba274c60da771a98c8fdd42a7fecd63d506c2cbc,7e73d6fc7a72c997dffe7b20ba274c60da771a98c8fdd42a7fecd63d506c2cbc
taa_10m_sma,1110,1110,True,True,0.0,0,,,True,09dc22be95a18a91ae1e191280ada79372aeaeee98b088827a1ade173d99617e,09dc22be95a18a91ae1e191280ada79372aeaeee98b088827a1ade173d99617e
composite_regime_conditioned,1110,1110,True,True,0.5625,979,2005-02-25,2026-04-10,False,8180aeefda664f4cb7f27144fc50042f91b27693fb58568d159983b630d224df,d2419206e286493b8a517ca4dccd8593e92220ccefc61d67660f825b7c2c518b
