sleeve,index_equal,columns_equal,maximum_absolute_difference,deterministic_rerun_passed
dual_momentum_topn,True,True,0.0,True
cta_trend_long_only,True,True,0.0,True
composite_selective_signals,True,True,0.0,True
taa_10m_sma,True,True,0.0,True
composite_regime_conditioned,True,True,0.0,True
