sleeve,cutoff,baseline_rows,truncated_rows,index_equal,columns_equal,maximum_prefix_absolute_difference,prefix_invariance_passed
dual_momentum_topn,2023-12-29,991,991,True,True,0.0,True
cta_trend_long_only,2023-12-29,991,991,True,True,0.0,True
composite_selective_signals,2023-12-29,991,991,True,True,0.0,True
taa_10m_sma,2023-12-29,991,991,True,True,0.0,True
composite_regime_conditioned,2023-12-29,991,991,True,True,0.0,True
dual_momentum_topn,2024-12-27,1043,1043,True,True,0.0,True
cta_trend_long_only,2024-12-27,1043,1043,True,True,0.0,True
composite_selective_signals,2024-12-27,1043,1043,True,True,0.0,True
taa_10m_sma,2024-12-27,1043,1043,True,True,0.0,True
composite_regime_conditioned,2024-12-27,1043,1043,True,True,0.0,True
dual_momentum_topn,2025-12-26,1095,1095,True,True,0.0,True
cta_trend_long_only,2025-12-26,1095,1095,True,True,0.0,True
composite_selective_signals,2025-12-26,1095,1095,True,True,0.0,True
taa_10m_sma,2025-12-26,1095,1095,True,True,0.0,True
composite_regime_conditioned,2025-12-26,1095,1095,True,True,0.0,True
