date,sleeve,ticker,weight
2005-01-07,EqualWeightSector,VNQ,0.1
2005-01-07,EqualWeightSector,XLB,0.1
2005-01-07,EqualWeightSector,XLE,0.1
2005-01-07,EqualWeightSector,XLF,0.1
2005-01-07,EqualWeightSector,XLI,0.1
2005-01-07,EqualWeightSector,XLK,0.1
2005-01-07,EqualWeightSector,XLP,0.1
2005-01-07,EqualWeightSector,XLU,0.1
2005-01-07,EqualWeightSector,XLV,0.1
2005-01-07,EqualWeightSector,XLY,0.1
2005-01-14,EqualWeightSector,VNQ,0.1
2005-01-14,EqualWeightSector,XLB,0.1
2005-01-14,EqualWeightSector,XLE,0.1
2005-01-14,EqualWeightSector,XLF,0.1
2005-01-14,EqualWeightSector,XLI,0.1
2005-01-14,EqualWeightSector,XLK,0.1
2005-01-14,EqualWeightSector,XLP,0.1
2005-01-14,EqualWeightSector,XLU,0.1
2005-01-14,EqualWeightSector,XLV,0.1
2005-01-14,EqualWeightSector,XLY,0.1
2005-01-21,EqualWeightSector,VNQ,0.1
2005-01-21,EqualWeightSector,XLB,0.1
2005-01-21,EqualWeightSector,XLE,0.1
2005-01-21,EqualWeightSector,XLF,0.1
2005-01-21,EqualWeightSector,XLI,0.1
2005-01-21,EqualWeightSector,XLK,0.1
2005-01-21,EqualWeightSector,XLP,0.1
2005-01-21,EqualWeightSector,XLU,0.1
2005-01-21,EqualWeightSector,XLV,0.1
2005-01-21,EqualWeightSector,XLY,0.1
2005-01-28,EqualWeightSector,VNQ,0.1
2005-01-28,EqualWeightSector,XLB,0.1
2005-01-28,EqualWeightSector,XLE,0.1
2005-01-28,EqualWeightSector,XLF,0.1
2005-01-28,EqualWeightSector,XLI,0.1
2005-01-28,EqualWeightSector,XLK,0.1
2005-01-28,EqualWeightSector,XLP,0.1
2005-01-28,EqualWeightSector,XLU,0.1
2005-01-28,EqualWeightSector,XLV,0.1
2005-01-28,EqualWeightSector,XLY,0.1
2005-02-04,EqualWeightSector,VNQ,0.1
2005-02-04,EqualWeightSector,XLB,0.1
2005-02-04,EqualWeightSector,XLE,0.1
2005-02-04,EqualWeightSector,XLF,0.1
2005-02-04,EqualWeightSector,XLI,0.1
2005-02-04,EqualWeightSector,XLK,0.1
2005-02-04,EqualWeightSector,XLP,0.1
2005-02-04,EqualWeightSector,XLU,0.1
2005-02-04,EqualWeightSector,XLV,0.1
2005-02-04,EqualWeightSector,XLY,0.1
2005-02-11,EqualWeightSector,VNQ,0.1
2005-02-11,EqualWeightSector,XLB,0.1
2005-02-11,EqualWeightSector,XLE,0.1
2005-02-11,EqualWeightSector,XLF,0.1
2005-02-11,EqualWeightSector,XLI,0.1
2005-02-11,EqualWeightSector,XLK,0.1
2005-02-11,EqualWeightSector,XLP,0.1
2005-02-11,EqualWeightSector,XLU,0.1
2005-02-11,EqualWeightSector,XLV,0.1
2005-02-11,EqualWeightSector,XLY,0.1
2005-02-18,EqualWeightSector,VNQ,0.1
2005-02-18,EqualWeightSector,XLB,0.1
2005-02-18,EqualWeightSector,XLE,0.1
2005-02-18,EqualWeightSector,XLF,0.1
2005-02-18,EqualWeightSector,XLI,0.1
2005-02-18,EqualWeightSector,XLK,0.1
2005-02-18,EqualWeightSector,XLP,0.1
2005-02-18,EqualWeightSector,XLU,0.1
2005-02-18,EqualWeightSector,XLV,0.1
2005-02-18,EqualWeightSector,XLY,0.1
2005-02-25,EqualWeightSector,VNQ,0.1
2005-02-25,EqualWeightSector,XLB,0.1
2005-02-25,EqualWeightSector,XLE,0.1
2005-02-25,EqualWeightSector,XLF,0.1
2005-02-25,EqualWeightSector,XLI,0.1
2005-02-25,EqualWeightSector,XLK,0.1
2005-02-25,EqualWeightSector,XLP,0.1
2005-02-25,EqualWeightSector,XLU,0.1
2005-02-25,EqualWeightSector,XLV,0.1
2005-02-25,EqualWeightSector,XLY,0.1
2005-03-04,EqualWeightSector,VNQ,0.1
2005-03-04,EqualWeightSector,XLB,0.1
2005-03-04,EqualWeightSector,XLE,0.1
2005-03-04,EqualWeightSector,XLF,0.1
2005-03-04,EqualWeightSector,XLI,0.1
2005-03-04,EqualWeightSector,XLK,0.1
2005-03-04,EqualWeightSector,XLP,0.1
2005-03-04,EqualWeightSector,XLU,0.1
2005-03-04,EqualWeightSector,XLV,0.1
2005-03-04,EqualWeightSector,XLY,0.1
2005-03-11,EqualWeightSector,VNQ,0.1
2005-03-11,EqualWeightSector,XLB,0.1
2005-03-11,EqualWeightSector,XLE,0.1
2005-03-11,EqualWeightSector,XLF,0.1
2005-03-11,EqualWeightSector,XLI,0.1
2005-03-11,EqualWeightSector,XLK,0.1
2005-03-11,EqualWeightSector,XLP,0.1
2005-03-11,EqualWeightSector,XLU,0.1
2005-03-11,EqualWeightSector,XLV,0.1
2005-03-11,EqualWeightSector,XLY,0.1
2005-03-18,EqualWeightSector,VNQ,0.1
2005-03-18,EqualWeightSector,XLB,0.1
2005-03-18,EqualWeightSector,XLE,0.1
2005-03-18,EqualWeightSector,XLF,0.1
2005-03-18,EqualWeightSector,XLI,0.1
2005-03-18,EqualWeightSector,XLK,0.1
2005-03-18,EqualWeightSector,XLP,0.1
2005-03-18,EqualWeightSector,XLU,0.1
2005-03-18,EqualWeightSector,XLV,0.1
2005-03-18,EqualWeightSector,XLY,0.1
2005-03-25,EqualWeightSector,VNQ,0.1
2005-03-25,EqualWeightSector,XLB,0.1
2005-03-25,EqualWeightSector,XLE,0.1
2005-03-25,EqualWeightSector,XLF,0.1
2005-03-25,EqualWeightSector,XLI,0.1
2005-03-25,EqualWeightSector,XLK,0.1
2005-03-25,EqualWeightSector,XLP,0.1
2005-03-25,EqualWeightSector,XLU,0.1
2005-03-25,EqualWeightSector,XLV,0.1
2005-03-25,EqualWeightSector,XLY,0.1
2005-04-01,EqualWeightSector,VNQ,0.1
2005-04-01,EqualWeightSector,XLB,0.1
2005-04-01,EqualWeightSector,XLE,0.1
2005-04-01,EqualWeightSector,XLF,0.1
2005-04-01,EqualWeightSector,XLI,0.1
2005-04-01,EqualWeightSector,XLK,0.1
2005-04-01,EqualWeightSector,XLP,0.1
2005-04-01,EqualWeightSector,XLU,0.1
2005-04-01,EqualWeightSector,XLV,0.1
2005-04-01,EqualWeightSector,XLY,0.1
2005-04-08,EqualWeightSector,VNQ,0.1
2005-04-08,EqualWeightSector,XLB,0.1
2005-04-08,EqualWeightSector,XLE,0.1
2005-04-08,EqualWeightSector,XLF,0.1
2005-04-08,EqualWeightSector,XLI,0.1
2005-04-08,EqualWeightSector,XLK,0.1
2005-04-08,EqualWeightSector,XLP,0.1
2005-04-08,EqualWeightSector,XLU,0.1
2005-04-08,EqualWeightSector,XLV,0.1
2005-04-08,EqualWeightSector,XLY,0.1
2005-04-15,EqualWeightSector,VNQ,0.1
2005-04-15,EqualWeightSector,XLB,0.1
2005-04-15,EqualWeightSector,XLE,0.1
2005-04-15,EqualWeightSector,XLF,0.1
2005-04-15,EqualWeightSector,XLI,0.1
2005-04-15,EqualWeightSector,XLK,0.1
2005-04-15,EqualWeightSector,XLP,0.1
2005-04-15,EqualWeightSector,XLU,0.1
2005-04-15,EqualWeightSector,XLV,0.1
2005-04-15,EqualWeightSector,XLY,0.1
2005-04-22,EqualWeightSector,VNQ,0.1
2005-04-22,EqualWeightSector,XLB,0.1
2005-04-22,EqualWeightSector,XLE,0.1
2005-04-22,EqualWeightSector,XLF,0.1
2005-04-22,EqualWeightSector,XLI,0.1
2005-04-22,EqualWeightSector,XLK,0.1
2005-04-22,EqualWeightSector,XLP,0.1
2005-04-22,EqualWeightSector,XLU,0.1
2005-04-22,EqualWeightSector,XLV,0.1
2005-04-22,EqualWeightSector,XLY,0.1
2005-04-29,EqualWeightSector,VNQ,0.1
2005-04-29,EqualWeightSector,XLB,0.1
2005-04-29,EqualWeightSector,XLE,0.1
2005-04-29,EqualWeightSector,XLF,0.1
2005-04-29,EqualWeightSector,XLI,0.1
2005-04-29,EqualWeightSector,XLK,0.1
2005-04-29,EqualWeightSector,XLP,0.1
2005-04-29,EqualWeightSector,XLU,0.1
2005-04-29,EqualWeightSector,XLV,0.1
2005-04-29,EqualWeightSector,XLY,0.1
2005-05-06,EqualWeightSector,VNQ,0.1
2005-05-06,EqualWeightSector,XLB,0.1
2005-05-06,EqualWeightSector,XLE,0.1
2005-05-06,EqualWeightSector,XLF,0.1
2005-05-06,EqualWeightSector,XLI,0.1
2005-05-06,EqualWeightSector,XLK,0.1
2005-05-06,EqualWeightSector,XLP,0.1
2005-05-06,EqualWeightSector,XLU,0.1
2005-05-06,EqualWeightSector,XLV,0.1
2005-05-06,EqualWeightSector,XLY,0.1
2005-05-13,EqualWeightSector,VNQ,0.1
2005-05-13,EqualWeightSector,XLB,0.1
2005-05-13,EqualWeightSector,XLE,0.1
2005-05-13,EqualWeightSector,XLF,0.1
2005-05-13,EqualWeightSector,XLI,0.1
2005-05-13,EqualWeightSector,XLK,0.1
2005-05-13,EqualWeightSector,XLP,0.1
2005-05-13,EqualWeightSector,XLU,0.1
2005-05-13,EqualWeightSector,XLV,0.1
2005-05-13,EqualWeightSector,XLY,0.1
2005-05-20,EqualWeightSector,VNQ,0.1
2005-05-20,EqualWeightSector,XLB,0.1
2005-05-20,EqualWeightSector,XLE,0.1
2005-05-20,EqualWeightSector,XLF,0.1
2005-05-20,EqualWeightSector,XLI,0.1
2005-05-20,EqualWeightSector,XLK,0.1
2005-05-20,EqualWeightSector,XLP,0.1
2005-05-20,EqualWeightSector,XLU,0.1
2005-05-20,EqualWeightSector,XLV,0.1
2005-05-20,EqualWeightSector,XLY,0.1
2005-05-27,EqualWeightSector,VNQ,0.1
2005-05-27,EqualWeightSector,XLB,0.1
2005-05-27,EqualWeightSector,XLE,0.1
2005-05-27,EqualWeightSector,XLF,0.1
2005-05-27,EqualWeightSector,XLI,0.1
2005-05-27,EqualWeightSector,XLK,0.1
2005-05-27,EqualWeightSector,XLP,0.1
2005-05-27,EqualWeightSector,XLU,0.1
2005-05-27,EqualWeightSector,XLV,0.1
2005-05-27,EqualWeightSector,XLY,0.1
2005-06-03,EqualWeightSector,VNQ,0.1
2005-06-03,EqualWeightSector,XLB,0.1
2005-06-03,EqualWeightSector,XLE,0.1
2005-06-03,EqualWeightSector,XLF,0.1
2005-06-03,EqualWeightSector,XLI,0.1
2005-06-03,EqualWeightSector,XLK,0.1
2005-06-03,EqualWeightSector,XLP,0.1
2005-06-03,EqualWeightSector,XLU,0.1
2005-06-03,EqualWeightSector,XLV,0.1
2005-06-03,EqualWeightSector,XLY,0.1
2005-06-10,EqualWeightSector,VNQ,0.1
2005-06-10,EqualWeightSector,XLB,0.1
2005-06-10,EqualWeightSector,XLE,0.1
2005-06-10,EqualWeightSector,XLF,0.1
2005-06-10,EqualWeightSector,XLI,0.1
