ticker,category,description,start_date,end_date,weekly_return_coverage,missingness,ann_return,ann_vol,sharpe,max_drawdown,correlation_to_SPY,correlation_to_QQQ,beta_to_SPY,beta_to_QQQ,available_in_weekly_prices,available_in_weekly_returns,eligible_for_phase4_sector_sleeve
XLK,broad_sector,Technology,2005-01-07,2026-04-10,1109,0.0,0.14573760963653415,0.20241803882654733,0.7199833101901416,-0.5070399830085859,0.9062565539307876,0.9682904464184725,1.0438479638847893,0.9865854635232785,True,True,True
XLF,broad_sector,Financials,2005-01-07,2026-04-10,1109,0.0,0.05577060355664787,0.26827019976586386,0.20788967095608216,-0.8268653809383708,0.8450202963061069,0.6674587871435969,1.2899606077833201,0.9013152932689347,True,True,True
XLV,broad_sector,Healthcare,2005-01-07,2026-04-10,1109,0.0,0.0962275734825182,0.16099975735505612,0.5976876925988499,-0.37912350419829555,0.786496988891483,0.6840085673818865,0.7205417683516373,0.5543277438965845,True,True,True
XLY,broad_sector,Consumer Discretionary,2005-01-07,2026-04-10,1109,0.0,0.10585583381238428,0.21377899686012686,0.4951647980724904,-0.5843144509830511,0.912729761084547,0.8827415185173944,1.1103096689143135,0.9499012099463042,True,True,True
XLP,broad_sector,Consumer Staples,2005-01-07,2026-04-10,1109,0.0,0.08926225594407322,0.13226405293074925,0.674879182711943,-0.31342561012942527,0.7500500757719771,0.6293604336373423,0.5645065183622269,0.41900684275647093,True,True,True
XLI,broad_sector,Industrials,2005-01-07,2026-04-10,1109,0.0,0.10564679319713588,0.20606386483965775,0.5126895648557387,-0.616256207728435,0.918436617965274,0.7939140012646685,1.0769310704979176,0.8234839795612748,True,True,True
XLE,broad_sector,Energy,2005-01-07,2026-04-10,1109,0.0,0.08721184324824316,0.27947114546913676,0.31206027764277494,-0.6889926452310142,0.6793816553562322,0.5113322366841436,1.0804076886405671,0.7193164643858762,True,True,True
XLU,broad_sector,Utilities,2005-01-07,2026-04-10,1109,0.0,0.09707586121971401,0.17916279913773056,0.5418304563610183,-0.45198433039813335,0.6267113646230461,0.48000473122297316,0.6389285349668599,0.4328856701603499,True,True,True
XLB,broad_sector,Materials,2005-01-07,2026-04-10,1109,0.0,0.08548412096731983,0.2233941772710675,0.38266047043649226,-0.5900688872508857,0.8499783158734536,0.7369922564380249,1.0804795980398714,0.8287329879241632,True,True,True
VNQ,broad_sector_proxy,Real Estate,2005-01-07,2026-04-10,1109,0.0,0.07086878501719451,0.2530071050132175,0.28010590854154954,-0.725400616488163,0.7453844047154418,0.623638446622856,1.0731239673954862,0.7942284703174476,True,True,True
