feature,non_null_pct,mean,min,max
sector_pct_trend_positive_43w,1.0,0.7173873873873874,0.0,1.0
sector_pct_trend_positive_26w,1.0,0.6951351351351351,0.0,1.0
sector_pct_positive_13w_return,1.0,0.6703603603603604,0.0,1.0
sector_pct_positive_26w_return,1.0,0.7088288288288289,0.0,1.0
sector_top_26w_momentum,0.9765765765765766,0.18927898814395808,-0.2926889414164602,1.336035978317601
sector_median_26w_momentum,0.9765765765765766,0.05182833834869077,-0.447593463549455,0.5565167603408089
sector_top_minus_median_26w,0.9765765765765766,0.1374506497952673,0.016645239956255886,0.7795192179767921
sector_top_minus_spy_26w,0.9765765765765766,0.13071134568922527,-0.00921029798871742,0.8361644192595175
sector_top_minus_qqq_26w,0.9765765765765766,0.10680034677781046,-0.06361890313109875,0.8588540800305843
sector_count_beating_spy_26w,1.0,4.716216216216216,0.0,9.0
sector_count_beating_bil_13w,1.0,5.741441441441442,0.0,10.0
sector_leadership_dispersion,0.9765765765765766,0.1374506497952673,0.016645239956255886,0.7795192179767921
sector_enough_positive,1.0,0.7513513513513513,0.0,1.0
sector_leadership_differentiated,1.0,0.9585585585585585,0.0,1.0
vix_contained,1.0,0.818018018018018,0.0,1.0
sector_rotation_quality_score,0.9765765765765766,0.7099800621929503,0.058736905320119076,1.0
