portfolio,state,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_QQQ,avg_sector_sleeve_exposure,avg_offense_exposure,avg_defense_exposure,avg_cash_exposure
improved_phase4_sector_small_overlay,calm_trend,improved_phase4_sector_small_overlay,295,0.043263971888648944,0.08087231108612236,0.5349664342172239,-0.13438730587038983,0.3219349596186934,-0.027276113721954445,-0.0668176327140082,-0.0792966684768087,0.10145869194983628,0.07017054953138602,0.02001503127264763,0.1119669932114887,0.5776750463601359,0.38130283241996576,0.04102212121989797
improved_phase4_sector_small_overlay,neutral_mixed,improved_phase4_sector_small_overlay,493,0.11210498895853571,0.07703910607920395,1.4551699086861225,-0.0954109750740273,1.1749695343911526,-0.024545462338611813,-0.07586238120279301,-0.07136763179933071,0.2584480841607235,0.057392635671088904,0.02611911300827656,0.08279591104853949,0.48907494988734174,0.28078409329190496,0.23014095682075297
improved_phase4_sector_small_overlay,recovery_confirmed,improved_phase4_sector_small_overlay,44,0.03499394431850633,0.07470820602310756,0.4684083072170487,-0.05308987309725299,0.6591453751340198,-0.022816502812430865,-0.0329632138568029,-0.045072841349628696,0.10958475070400735,0.04895709050321686,0.045898079517817526,0.09417724244239048,0.6132457764684616,0.2977676439319121,0.08898657959962591
improved_phase4_sector_small_overlay,recovery_fragile,improved_phase4_sector_small_overlay,49,0.07746351352377134,0.05798973378720481,1.3358142634009356,-0.028918921641549522,2.6786446079813344,-0.016205442840440367,-0.026057626539235705,-0.0214585659247804,0.16471254378031533,0.047233352053629225,0.03694334250465673,0.07035050851515157,0.5330124217955673,0.3361475885057706,0.1308399896986618
improved_phase4_sector_small_overlay,stressed_panic,improved_phase4_sector_small_overlay,229,0.03908441803382767,0.07775015747950616,0.5026924613513455,-0.12684263828080233,0.3081331211930737,-0.024397952069470968,-0.1170165065802212,-0.1089617850619071,0.526984474860411,0.022216606860009196,0.011151522295952912,0.04434819739201036,0.2812990317519757,0.20923941973230378,0.5094615485157202
improved_phase4_sector_20pct_offense,calm_trend,improved_phase4_sector_20pct_offense,295,0.04679626304322637,0.08534889568802966,0.5482937144761398,-0.13664290263459633,0.34247123078442365,-0.028384249381095593,-0.06943454301594909,-0.08602092771535558,0.08754753544003804,0.06668264250449073,0.019118997818927036,0.1858594317438943,0.6223897052038319,0.3389069207253253,0.03870337407084259
improved_phase4_sector_20pct_offense,neutral_mixed,improved_phase4_sector_20pct_offense,493,0.11512294063098438,0.0826001008438335,1.3937384997705953,-0.1067971837830276,1.0779585804890852,-0.025886316802661485,-0.0811070073016659,-0.07818498162645413,0.22378269688768693,0.056844530938634966,0.025365783366477455,0.13290794092062524,0.5376785706423403,0.26574545490484486,0.19657597445281463
improved_phase4_sector_20pct_offense,recovery_confirmed,improved_phase4_sector_20pct_offense,44,0.03965012190226447,0.08096708258079306,0.4897066886743704,-0.056432386381230715,0.7026128867634066,-0.024900932934337868,-0.0368231032961203,-0.0447128957881472,0.08181998523179575,0.047519192529009005,0.04485023301553615,0.1564576658343097,0.6708064173585965,0.2695942552535676,0.059599327387835604
improved_phase4_sector_20pct_offense,recovery_fragile,improved_phase4_sector_20pct_offense,49,0.08033434338894785,0.06098322176412678,1.3173187815440135,-0.030419330209198736,2.6408978381994395,-0.017123344554792464,-0.0271975080551465,-0.0230825692257732,0.1425551271214088,0.04779086564916271,0.03849411913130618,0.08411357888065817,0.5605015747569911,0.33255673420348403,0.10694169103952447
improved_phase4_sector_20pct_offense,stressed_panic,improved_phase4_sector_20pct_offense,229,0.040364462856485206,0.08138645459530819,0.4959604525986092,-0.1377271184662734,0.2930756361273154,-0.025599346959991772,-0.1261878174332162,-0.1188218239528512,0.5171041255872683,0.022012155931373737,0.011144417146031895,0.0511915435264499,0.28876381925096134,0.21172491634445403,0.4995112644045843
