variant,gate_verdict,ok,fail
phase1_r2a_reference,FAIL,Holdout Sharpe Δ=+0.0213 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0004 ≥ -0.002; SP Sharpe Δ=-0.0016 (intact); Extra cost=0.032% (< 0.15%); Bootstrap P=0.719 ≥ 0.60; Rolling win=66.7% ≥ 55%,Full Sharpe Δ=+0.0095 < +0.01
phase1_plus_phase2_reference,FAIL,Holdout Sharpe Δ=+0.0433 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0002 ≥ -0.002; SP Sharpe Δ=-0.0028 (intact); Extra cost=0.046% (< 0.15%); Bootstrap P=0.844 ≥ 0.60; Rolling win=66.7% ≥ 55%,Full Sharpe Δ=+0.0083 < +0.01
phase5_master_quality_010,FAIL,Full Sharpe Δ=+0.0105 ≥ +0.01; Holdout Sharpe Δ=-0.0106 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0000 ≥ -0.002; SP Sharpe Δ=-0.0019 (intact); Extra cost=0.042% (< 0.15%); Rolling win=73.3% ≥ 55%,Bootstrap P=0.434 < 0.60
phase5_master_quality_012,FAIL,Full Sharpe Δ=+0.0117 ≥ +0.01; Holdout Sharpe Δ=-0.0081 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0000 ≥ -0.002; SP Sharpe Δ=-0.0023 (intact); Extra cost=0.050% (< 0.15%); Rolling win=73.3% ≥ 55%,Bootstrap P=0.449 < 0.60
phase5_positive_only_confidence,FAIL,MaxDD Δ=-0.0000 ≥ -0.01; CVaR Δ=-0.0004 ≥ -0.002; SP Sharpe Δ=-0.0013 (intact); Extra cost=0.022% (< 0.15%),Full Sharpe Δ=+0.0058 < +0.01; Holdout Sharpe Δ=-0.0340 < -0.02; Bootstrap P=0.043 < 0.60; Rolling win=53.3% < 55%
phase5_fragility_guard,PASS,Full Sharpe Δ=+0.0121 ≥ +0.01; Holdout Sharpe Δ=+0.0276 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0004 ≥ -0.002; SP Sharpe Δ=-0.0014 (intact); Extra cost=0.029% (< 0.15%); Bootstrap P=0.841 ≥ 0.60; Rolling win=73.3% ≥ 55%,
phase5_master_quality_plus_frag,FAIL,Holdout Sharpe Δ=-0.0071 ≥ -0.02; MaxDD Δ=+0.0017 ≥ -0.01; CVaR Δ=+0.0001 ≥ -0.002; SP Sharpe Δ=-0.0018 (intact); Extra cost=0.040% (< 0.15%); Rolling win=73.3% ≥ 55%,Full Sharpe Δ=+0.0078 < +0.01; Bootstrap P=0.507 < 0.60
