variant,cost_bps,window,weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,peak_largest_stock_weight,average_growth_allocation,maximum_growth_allocation,annual_total_turnover,cap_event_weeks
leader,300,full_recent,188,2023-01-06,2026-08-07,0.23799751875389963,1.163802635267972,0.9926133391959094,-0.3527952369931069,0.24579519389611437,0.203597082660733,0.23617021276595743,0.6,2.6324168801168244,13
leader,300,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.22950315304372726,0.8660123364021453,0.9264335910985474,-0.35279523699310655,0.25960255107410224,0.203597082660733,0.26305732484076433,0.6,3.0641678522327513,13
leader,300,trailing_2y,105,2024-08-09,2026-08-07,0.39516144663824093,0.9589807707020837,1.3021373570869754,-0.2894895392204354,0.2880893050524263,0.203597082660733,0.3333333333333333,0.6,3.6132685837193064,8
leader,300,trailing_1y,53,2025-08-08,2026-08-07,0.8620408955024574,0.8844356658303942,2.166965213478355,-0.1475004383499503,0.3100104801101503,0.203597082660733,0.5056603773584906,0.6,3.1748513231165574,8
leader,300,ytd,32,2026-01-02,2026-08-07,0.857174637963414,0.4636857428966277,1.965939102288641,-0.1475004383499504,0.3456450467789008,0.203597082660733,0.5562499999999999,0.6,3.3431055804785133,8
control,300,full_recent,188,2023-01-06,2026-08-07,0.23596080312809042,1.1509601740052426,1.018525881992415,-0.3177605521352631,0.23561979934651273,0.147835254402716,0.19574468085106378,0.4,1.8101409814543024,4
control,300,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.2270814109568744,0.8549373008349306,0.9503586833569316,-0.31776055213526366,0.24803375435676683,0.147835254402716,0.21464968152866234,0.4,2.079531744280177,4
control,300,trailing_2y,105,2024-08-09,2026-08-07,0.37469268776883125,0.9013805438072287,1.3032748234255533,-0.26870981003555683,0.27341707828518713,0.147835254402716,0.2628571428571428,0.4,2.331444557184369,3
control,300,trailing_1y,53,2025-08-08,2026-08-07,0.7578814316335658,0.7770551936814765,2.1066076758310732,-0.13977306390522348,0.28839154118154126,0.147835254402716,0.3773584905660376,0.4,1.4200863240355919,3
control,300,ytd,32,2026-01-02,2026-08-07,0.7431636252595817,0.4077184012702848,1.8975963756227119,-0.1397730639052236,0.32027647742614357,0.147835254402716,0.4,0.4,1.2728804086454695,3
leader,500,full_recent,188,2023-01-06,2026-08-07,0.11331959974074302,0.4741738591519742,0.5516936263959736,-0.4625347006879409,0.25249900836951017,0.203602511431365,0.23617021276595743,0.6,2.6356755046354956,13
leader,500,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.09552157547325879,0.3171181860984824,0.47541896490810764,-0.462534700687941,0.2667690579152595,0.203602511431365,0.26305732484076433,0.6,3.0676593601080846,13
leader,500,trailing_2y,105,2024-08-09,2026-08-07,0.23407807860199825,0.5291210429448989,0.8610179767853547,-0.35215565670030735,0.2949421179731989,0.203602511431365,0.3333333333333333,0.6,3.6147810067059996,8
leader,500,trailing_1y,53,2025-08-08,2026-08-07,0.6871094421399992,0.7041640346997977,1.8403485871900116,-0.15490897730910658,0.3110320382641273,0.203602511431365,0.5056603773584906,0.6,3.1751394942806432,8
leader,500,ytd,32,2026-01-02,2026-08-07,0.6889662415627802,0.38062089696286483,1.6871219197871616,-0.15490897730910658,0.3459733478586585,0.203602511431365,0.5562499999999999,0.6,3.3379864491239983,8
control,500,full_recent,188,2023-01-06,2026-08-07,0.12697677590560064,0.54060949798554,0.615419543457436,-0.420256723533203,0.24221093497850849,0.14783525440271597,0.19574468085106378,0.4,1.811531076301346,4
control,500,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.1116333776741858,0.3764758986026884,0.5430018719348743,-0.4202567235332031,0.2550880789481975,0.14783525440271597,0.21464968152866234,0.4,2.080785777134708,4
control,500,trailing_2y,105,2024-08-09,2026-08-07,0.2424925538225029,0.5502471144090069,0.9160547381540661,-0.3220913689156607,0.2802384891450266,0.14783525440271597,0.2628571428571428,0.4,2.331466633955751,3
control,500,trailing_1y,53,2025-08-08,2026-08-07,0.635539746273782,0.6510870458343034,1.8416713094717274,-0.1446846887597545,0.29068391438837576,0.14783525440271597,0.3773584905660376,0.4,1.4174219225089661,3
control,500,ytd,32,2026-01-02,2026-08-07,0.6385034670131409,0.3550883420699089,1.696004887069687,-0.1446846887597547,0.32176416042197203,0.14783525440271597,0.4,0.4,1.269291828359336,3
