tested_variant,cik10,ticker,window,weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,peak_largest_stock_weight,average_growth_allocation,maximum_growth_allocation,annual_total_turnover,cap_event_weeks
leader_60,0000004447,0000004447,full_recent,188,2023-01-06,2026-08-07,0.4106014231086721,2.468598816041406,1.552190411126105,-0.2207193718733691,0.2408678222068787,0.20359029710453994,0.23617021276595743,0.6,2.6318418852720575,14
leader_60,0000004447,0000004447,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.41673983325982067,1.8627257164201203,1.5005431754851823,-0.22071937187336887,0.2542288568113451,0.20359029710453994,0.26305732484076433,0.6,3.063964337050526,14
leader_60,0000004447,0000004447,trailing_2y,105,2024-08-09,2026-08-07,0.6250134539547647,1.6654397094988123,1.8660615818795756,-0.21590012757478905,0.2824464052217788,0.20359029710453994,0.3333333333333333,0.6,3.613462736655251,8
leader_60,0000004447,0000004447,trailing_1y,53,2025-08-08,2026-08-07,1.1048774795822531,1.13522045850016,2.564079340630477,-0.14073267965996406,0.3104542847910098,0.20359029710453994,0.5056603773584906,0.6,3.1745011801747527,8
leader_60,0000004447,0000004447,ytd,32,2026-01-02,2026-08-07,1.090551397072408,0.5742858777142485,2.307800464203409,-0.14073267965996394,0.34649326046603574,0.20359029710453994,0.5562499999999999,0.6,3.3494623239996186,8
leader_60,0000033213,EQT,full_recent,188,2023-01-06,2026-08-07,0.4146137950174249,2.5044018915644735,1.5561028743345748,-0.21799538695058784,0.2423265751665956,0.20359029710453996,0.23617021276595743,0.6,2.666040595737788,17
leader_60,0000033213,EQT,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.4215667189518786,1.892274935128496,1.5058763629254572,-0.21799538695058773,0.25588290555502646,0.20359029710453996,0.26305732484076433,0.6,3.1049156591368785,17
leader_60,0000033213,EQT,trailing_2y,105,2024-08-09,2026-08-07,0.6297318635816673,1.6810904781907428,1.8605354800038993,-0.21590012757478894,0.28530210066364253,0.20359029710453996,0.3333333333333333,0.6,3.6778362640432256,12
leader_60,0000033213,EQT,trailing_1y,53,2025-08-08,2026-08-07,1.1186005848700025,1.1494099877835495,2.546277330319693,-0.1407326796599635,0.31588981052904164,0.20359029710453996,0.5056603773584906,0.6,3.303796700558294,12
leader_60,0000033213,EQT,ytd,32,2026-01-02,2026-08-07,1.0909126938349574,0.5744533022186213,2.308214757580831,-0.1407326796599636,0.34650932261463835,0.20359029710453996,0.5562499999999999,0.6,3.314968744211449,8
leader_60,0000045012,HAL,full_recent,188,2023-01-06,2026-08-07,0.4104460561780825,2.467217795010705,1.5506903491157438,-0.22079416115678785,0.2410599219187438,0.2035902971045399,0.23617021276595743,0.6,2.6313305605711768,14
leader_60,0000045012,HAL,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.416552981218296,1.8615859234866674,1.4989578348461712,-0.22079416115678763,0.2544470654454418,0.2035902971045399,0.26305732484076433,0.6,3.0633520501475595,14
leader_60,0000045012,HAL,trailing_2y,105,2024-08-09,2026-08-07,0.6257877616385032,1.668004883758877,1.8670506405514795,-0.21590012757478827,0.2825726503028578,0.2035902971045399,0.3333333333333333,0.6,3.6124434875033633,8
leader_60,0000045012,HAL,trailing_1y,53,2025-08-08,2026-08-07,1.1048774795822514,1.1352204585001582,2.564079340630477,-0.1407326796599636,0.3104542847910096,0.2035902971045399,0.5056603773584906,0.6,3.1745011801747527,8
leader_60,0000045012,HAL,ytd,32,2026-01-02,2026-08-07,1.0905513970724066,0.5742858777142479,2.307800464203408,-0.1407326796599635,0.3464932604660357,0.2035902971045399,0.5562499999999999,0.6,3.3494623239996195,8
leader_60,0000723125,MU,full_recent,188,2023-01-06,2026-08-07,0.34198972095364377,1.8964261098529622,1.3970753319451896,-0.21799538695058784,0.2299500371087335,0.2138735330992463,0.23617021276595743,0.6,2.8321568874719643,28
leader_60,0000723125,MU,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.3346245923784401,1.3904965521062378,1.3170063064599267,-0.21799538695058773,0.24181903043040823,0.2138735330992463,0.26305732484076433,0.6,3.3038319829969094,28
leader_60,0000723125,MU,trailing_2y,105,2024-08-09,2026-08-07,0.48297723776994705,1.2159503116929984,1.6124599581174353,-0.21590012757478894,0.2672046331112723,0.2138735330992463,0.3333333333333333,0.6,3.975263529243464,23
leader_60,0000723125,MU,trailing_1y,53,2025-08-08,2026-08-07,0.7522523882481471,0.7712554997671179,2.1125741457640697,-0.14042338670388033,0.28562153789610784,0.2138735330992463,0.5056603773584906,0.6,3.87206315575021,23
leader_60,0000723125,MU,ytd,32,2026-01-02,2026-08-07,0.8132320512029423,0.44227554005257885,2.0658531694990225,-0.14042338670388,0.31218190783980604,0.2138735330992463,0.5562499999999999,0.6,4.088972123934481,20
leader_60,0000751978,VICR,full_recent,188,2023-01-06,2026-08-07,0.39655116410471414,2.345309532275253,1.5761258388379242,-0.21799538695058784,0.22911329326678948,0.20765071864521667,0.23617021276595743,0.6,2.7507370432509037,22
leader_60,0000751978,VICR,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.39985876630444617,1.7609718319512329,1.5203822218310326,-0.21799538695058773,0.24086066838234899,0.20765071864521667,0.26305732484076433,0.6,3.2063356090251944,22
leader_60,0000751978,VICR,trailing_2y,105,2024-08-09,2026-08-07,0.5926613520603974,1.559374698197022,1.8933246484699078,-0.21590012757478894,0.26525517120557496,0.20765071864521667,0.3333333333333333,0.6,3.8294832367333753,17
leader_60,0000751978,VICR,trailing_1y,53,2025-08-08,2026-08-07,1.0241943075170332,1.051831366204949,2.6721872837482197,-0.0985538009400011,0.27980136216810136,0.20765071864521667,0.5056603773584906,0.6,3.60422938230293,17
leader_60,0000751978,VICR,ytd,32,2026-01-02,2026-08-07,0.9595061507668448,0.5128035751102462,2.402961002618492,-0.09855380094000121,0.29944776580166066,0.20765071864521667,0.5562499999999999,0.6,4.061199658774412,17
leader_60,0000788965,HNRG,full_recent,188,2023-01-06,2026-08-07,0.4170010543001601,2.5258302221249784,1.5733750528249688,-0.2179953869505875,0.24045343882815498,0.20359029710453994,0.23617021276595743,0.6,2.648555367206213,19
leader_60,0000788965,HNRG,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.42443987665260763,1.9099602992218547,1.5243482999517375,-0.21799538695058795,0.25375493143575567,0.20359029710453994,0.26305732484076433,0.6,3.0839779332519344,19
