effective_date,largest_positive_contribution_share,dominant_company
2023-01-06,0.48010145596957393,"GRID DYNAMICS HOLDINGS, INC."
2023-04-07,0.9603656114973008,"DATADOG, INC."
2023-07-07,0.5020491688852171,"ENGAGESMART, INC."
2023-10-06,0.3735076080937859,LIBERTY ENERGY INC.
2024-01-05,0.9694425095796915,NVIDIA CORP
2024-04-05,0.4893897088753903,HALLADOR ENERGY CO
2024-10-04,0.3643942826264693,"MARATHON DIGITAL HOLDINGS, INC."
2025-04-04,0.38890377168455253,NVIDIA CORP
2025-07-04,0.4229238497010823,APPLOVIN CORP
2025-10-03,1.0,MICRON TECHNOLOGY INC
2026-01-02,0.6766264204056712,VIAVI SOLUTIONS INC.
2026-04-03,0.6590376015094639,MICRON TECHNOLOGY INC
