delay_type,delay_weeks,window,weeks,start,end,cagr,total_return,sharpe_zero_rf,max_drawdown,annual_volatility,peak_largest_stock_weight,average_growth_allocation,maximum_growth_allocation,annual_total_turnover,cap_event_weeks
allocation_signal,1,full_recent,188,2023-01-06,2026-08-07,0.4304375412880461,2.6482103188914956,1.6706350894480138,-0.2087459109799007,0.23067020455651757,0.20359029710454,0.23351063829787233,0.6,2.676004654455475,13
allocation_signal,1,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.4406289963114467,2.010963807777313,1.6290776110758283,-0.2087459109799008,0.24261809778812465,0.20359029710454,0.25987261146496815,0.6,3.116847143461241,13
allocation_signal,1,trailing_2y,105,2024-08-09,2026-08-07,0.6301552163904391,1.6824969829418541,1.9409708163125257,-0.20874591097990025,0.2715195238760317,0.20359029710454,0.32857142857142857,0.6,3.8088823503318503,8
allocation_signal,1,trailing_1y,53,2025-08-08,2026-08-07,0.9918792365966409,1.0184503093154587,2.4153951026791103,-0.14767403857232153,0.3058736521549216,0.20359029710454,0.49622641509433957,0.6,3.188159311424074,8
allocation_signal,1,ytd,32,2026-01-02,2026-08-07,1.0364552313520914,0.5490906810202734,2.2335398559496085,-0.14767403857232142,0.3460989328106653,0.20359029710454,0.5499999999999999,0.6,3.392946354862197,8
allocation_signal,2,full_recent,188,2023-01-06,2026-08-07,0.4173466239761403,2.528939931851063,1.632609774047823,-0.2235396490606818,0.2303336518980998,0.2035902971045399,0.23191489361702125,0.6,2.6737090695834707,13
allocation_signal,2,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.42485586218635363,1.9125268243449982,1.5855291366144788,-0.2235396490606817,0.24224249793014846,0.2035902971045399,0.25796178343949044,0.6,3.1140982902387138,13
allocation_signal,2,trailing_2y,105,2024-08-09,2026-08-07,0.5736243614284582,1.497978520594089,1.8162491339662308,-0.22353964906068147,0.2703959109915909,0.2035902971045399,0.32857142857142857,0.6,3.9408894162028028,8
allocation_signal,2,trailing_1y,53,2025-08-08,2026-08-07,0.8949779752054825,0.9184156485527304,2.24664134422878,-0.15490637962476883,0.3064583123526903,0.2035902971045399,0.49056603773584906,0.6,3.1400987468786363,8
allocation_signal,2,ytd,32,2026-01-02,2026-08-07,0.9981940720765803,0.5311149415089131,2.1781490365643132,-0.15490637962476883,0.346060887360899,0.2035902971045399,0.55,0.6,3.3546711754955543,8
selection_execution,1,full_recent,188,2023-01-06,2026-08-07,0.3936421436099955,2.320185029661549,1.4993361614686807,-0.23917368916727255,0.2413208649225788,0.20282069231556468,0.23617021276595743,0.6,2.757714071862321,12
selection_execution,1,since_incumbent_holdout_start,157,2023-08-11,2026-08-07,0.3961522397058783,1.7389588082506782,1.4401411194910585,-0.23917368916727233,0.2547658066152526,0.20282069231556468,0.26305732484076433,0.6,3.215262766932613,12
selection_execution,1,trailing_2y,105,2024-08-09,2026-08-07,0.586596854590888,1.5397344189513582,1.7724736455974135,-0.23625312447851343,0.2840074667383601,0.20282069231556468,0.3333333333333333,0.6,3.844567307687898,8
selection_execution,1,trailing_1y,53,2025-08-08,2026-08-07,1.0563503546050041,1.0850583284736874,2.4896021077746457,-0.13487725043357401,0.3102370351864525,0.20282069231556468,0.5056603773584906,0.6,3.3331921608977866,8
selection_execution,1,ytd,32,2026-01-02,2026-08-07,1.0874949908799105,0.5728690970356582,2.3306652264288816,-0.13487725043357401,0.3418094864872568,0.20282069231556468,0.5562499999999999,0.6,3.6162652020123156,8
