dimension,state,weeks,leader_annualized_arithmetic_return,control_annualized_arithmetic_return,annualized_return_difference,leader_win_rate
market_direction,falling,31,0.5429932844569708,0.5104925259099855,0.03250075854698535,0.6774193548387096
market_direction,rising,157,0.34151961804400544,0.32268336251236723,0.018836255531638296,0.5987261146496815
volatility,high_vol,105,0.5525956997430195,0.5302186869166097,0.022377012826409762,0.7142857142857143
volatility,low_vol,83,0.1497448599766014,0.13028426616153232,0.019460593815069076,0.4819277108433735
leadership,energy_led,62,0.6043189006645344,0.5810806198842643,0.02323828078027005,0.6451612903225806
leadership,technology_led,126,0.2617746032529669,0.2417425221018001,0.020032081151166784,0.5952380952380952
