feature,feature_family,entity_type,source,lag_rule,live_feature
asset_ret_4w,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_vol_4w,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_ret_13w,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_vol_13w,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_ret_26w,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_vol_26w,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_ret_52w,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_vol_52w,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_mom_multi_avg,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_mom_agreement_count,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_trend_acceleration,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_ma_distance_26w,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_ma_distance_52w,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_downside_vol_13w,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_vol_change_13v26,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_drawdown_26w,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_cvar_proxy_26w,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_vol_adj_mom_26w,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
asset_trend_consistency_13w,cross_asset_momentum,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_bab_bab_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_bab_bab_score_asset_class_neutral_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_bab_bab_score_observed,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_breadth_confirmation_breadth_confirmed_momentum_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_breadth_confirmation_breadth_confirmed_momentum_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_breadth_confirmation_breadth_confirmed_momentum_score_observed,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_carry_carry_yield_trailing_52w_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_carry_carry_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_carry_carry_score_asset_class_neutral_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_contained_recovery_contained_recovery_quality_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_contained_recovery_contained_recovery_quality_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_contained_recovery_contained_recovery_quality_score_observed,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_moving_average_distance_moving_average_distance_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_moving_average_distance_moving_average_distance_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_moving_average_distance_moving_average_distance_score_observed,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_multi_horizon_mom_multi_mom_equal_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_multi_horizon_mom_multi_mom_invvol_score_tradable,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_multi_horizon_mom_multi_mom_equal_score_observed,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_quality_quality_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_quality_quality_score_asset_class_neutral_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_quality_quality_score_observed,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_residual_momentum_residual_mom_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_residual_momentum_residual_mom_score_observed,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_reversal_reversal_1w_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_reversal_reversal_1w_asset_class_neutral_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_reversal_reversal_4w_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_trend_quality_trend_clarity_momentum_raw_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_trend_quality_trend_clarity_momentum_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_trend_quality_trend_clarity_momentum_score_observed,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_tsmom_tsmom_vol_scaled_tradable,volatility_risk,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
l1_tsmom_tsmom_score_tradable,existing_layer1_signal,ETF,weekly returns/prices/layer1/regime,grouped one-week lag,True
