target,model,bucket,n,mean_pred,mean_actual
target_etf_forward_top_quantile_4w,baseline_state_rate,0,1368,0.22906991723391287,0.2565789473684211
target_etf_forward_top_quantile_4w,baseline_state_rate,1,1344,0.2383120975172021,0.24851190476190477
target_etf_forward_top_quantile_4w,baseline_state_rate,2,1360,0.24257008400259922,0.22426470588235295
target_etf_forward_top_quantile_4w,baseline_state_rate,3,1448,0.24881289768302953,0.24033149171270718
target_etf_forward_top_quantile_4w,baseline_state_rate,4,1248,0.2553980684889214,0.2387820512820513
target_etf_forward_top_quantile_4w,logistic_l2,0,1354,0.143829359606754,0.1809453471196455
target_etf_forward_top_quantile_4w,logistic_l2,1,1353,0.20036887184181712,0.21581670362158167
target_etf_forward_top_quantile_4w,logistic_l2,2,1354,0.2402865020723665,0.2466765140324963
target_etf_forward_top_quantile_4w,logistic_l2,3,1353,0.2831956498259136,0.29490022172949004
target_etf_forward_top_quantile_4w,logistic_l2,4,1354,0.39784123700912283,0.27031019202363366
target_etf_forward_top_quantile_4w,logistic_l2_balanced,0,1354,0.3292298924540084,0.18020679468242246
target_etf_forward_top_quantile_4w,logistic_l2_balanced,1,1353,0.43122787186993516,0.21507760532150777
target_etf_forward_top_quantile_4w,logistic_l2_balanced,2,1354,0.4932895669461574,0.24889217134416544
target_etf_forward_top_quantile_4w,logistic_l2_balanced,3,1353,0.5517092099006436,0.286770140428677
target_etf_forward_top_quantile_4w,logistic_l2_balanced,4,1354,0.6688320380895718,0.2776957163958641
target_etf_forward_top_quantile_4w,decision_tree_depth3,0,1389,0.09295143753653154,0.14614830813534918
target_etf_forward_top_quantile_4w,decision_tree_depth3,1,1371,0.1993363447921836,0.24507658643326038
target_etf_forward_top_quantile_4w,decision_tree_depth3,2,1359,0.2818665650655809,0.2678440029433407
target_etf_forward_top_quantile_4w,decision_tree_depth3,3,1330,0.3085893661165643,0.2721804511278195
target_etf_forward_top_quantile_4w,decision_tree_depth3,4,1319,0.34987177600300284,0.2812736921910538
target_etf_forward_top_quantile_4w,random_forest_small,0,1354,0.18462415934151227,0.14771048744460857
