version,role,state,component_type,component,risk_contribution,avg_weight
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,sleeve,dual_momentum_topn,0.19191926259918032,0.12268522154338005
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,sleeve,cta_trend_long_only,0.17936801576835487,0.11321799294679753
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,sleeve,composite_selective_signals,0.2149635465494049,0.20214929705572277
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,sleeve,taa_10m_sma,0.1367048713550139,0.1483209322109735
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,sleeve,cash::BIL,-1.167135458349974e-05,0.03632391789975976
improved_phaseggg_confirmed_only_robust_offense,production_candidate,neutral_mixed,sleeve,dual_momentum_topn,0.14845869362905478,0.0889063830588072
improved_phaseggg_confirmed_only_robust_offense,production_candidate,neutral_mixed,sleeve,cta_trend_long_only,0.16859616672038835,0.10829655866459888
improved_phaseggg_confirmed_only_robust_offense,production_candidate,neutral_mixed,sleeve,composite_selective_signals,0.1631728181357653,0.15031605485636715
improved_phaseggg_confirmed_only_robust_offense,production_candidate,neutral_mixed,sleeve,taa_10m_sma,0.1346581739723753,0.10789285734521203
improved_phaseggg_confirmed_only_robust_offense,production_candidate,neutral_mixed,sleeve,cash::BIL,0.0001926046705239871,0.22864629393340052
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_confirmed,sleeve,dual_momentum_topn,0.07109042397548743,0.05803854147385643
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_confirmed,sleeve,cta_trend_long_only,0.22011501385051413,0.16369675120941143
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_confirmed,sleeve,composite_selective_signals,0.0896810169466212,0.13289825283276144
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_confirmed,sleeve,taa_10m_sma,0.1141226169952222,0.12037823004052893
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_confirmed,sleeve,cash::BIL,-3.899211198120124e-05,0.08427027380857775
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_fragile,sleeve,dual_momentum_topn,0.10373047768437406,0.10120617063886612
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_fragile,sleeve,cta_trend_long_only,0.16448099906072475,0.12086297504143714
