version,role,state,avg_return_file_turnover,avg_weight_diff_turnover,p95_weight_diff_turnover,issue_flag
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,0.06496956464325286,0.12993912928650578,0.6728998744490503,TURNOVER_BOUNDARY_RISK
improved_phaseggg_confirmed_only_robust_offense,production_candidate,neutral_mixed,0.05872521062517768,0.11721218510177461,0.6093881259795729,CONSTRAINTS_CLEAN
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_confirmed,0.08582789004708997,0.17165578009418,0.6732097444157549,TURNOVER_BOUNDARY_RISK
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_fragile,0.10214778239171207,0.20429556478342414,0.9754179839135674,TURNOVER_BOUNDARY_RISK
improved_phaseggg_confirmed_only_robust_offense,production_candidate,stressed_panic,0.051260935217516304,0.10252187043503268,0.7978590387808334,CONSTRAINTS_CLEAN
improved_phase2b_regime_confidence_boost,production,calm_trend,0.06221673587774529,0.12443347175549065,0.5839955314400148,CONSTRAINTS_CLEAN
improved_phase2b_regime_confidence_boost,production,neutral_mixed,0.05169514339442678,0.103180570182791,0.5025621184178212,CONSTRAINTS_CLEAN
improved_phase2b_regime_confidence_boost,production,recovery_confirmed,0.05768650516719116,0.11537301033438237,0.4818872913383474,CONSTRAINTS_CLEAN
improved_phase2b_regime_confidence_boost,production,recovery_fragile,0.09516440829708403,0.19032881659416812,0.8834692119228488,CONSTRAINTS_CLEAN
improved_phase2b_regime_confidence_boost,production,stressed_panic,0.04964628057966474,0.09929256115932954,0.8289572811350515,CONSTRAINTS_CLEAN
improved_phase2b_combo_abc,official_shadow,calm_trend,0.06232535589628734,0.12465071179257474,0.5839955314400148,CONSTRAINTS_CLEAN
improved_phase2b_combo_abc,official_shadow,neutral_mixed,0.052523562268833764,0.10483404720594817,0.5035318305191389,CONSTRAINTS_CLEAN
improved_phase2b_combo_abc,official_shadow,recovery_confirmed,0.05818334315009728,0.11636668630019464,0.4835660195716312,CONSTRAINTS_CLEAN
improved_phase2b_combo_abc,official_shadow,recovery_fragile,0.09352157454414818,0.18704314908829645,0.8599173762370372,CONSTRAINTS_CLEAN
improved_phase2b_combo_abc,official_shadow,stressed_panic,0.049640061875598794,0.09928012375119766,0.8289565122749766,CONSTRAINTS_CLEAN
