version,role,state,avg_sleeve_hhi,avg_etf_hhi,avg_pairwise_sleeve_corr,flag
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,0.2370779410175093,0.19899048063846123,0.5836400184717803,RISK_CONCENTRATION_ACCEPTABLE
improved_phaseggg_confirmed_only_robust_offense,production_candidate,neutral_mixed,0.298229098615646,0.291154387546825,0.5041446975885592,RISK_CONCENTRATION_ACCEPTABLE
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_confirmed,0.18595656937522168,0.1708524700985126,0.5867168065799404,RISK_CONCENTRATION_ACCEPTABLE
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_fragile,0.20029808729876494,0.20095545138609988,0.39995910628287673,RISK_CONCENTRATION_ACCEPTABLE
improved_phaseggg_confirmed_only_robust_offense,production_candidate,stressed_panic,0.3558233537902366,0.37047421719870405,0.45454867812796124,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_regime_confidence_boost,production,calm_trend,0.2692369841933576,0.17041147979362273,0.5836400184717803,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_regime_confidence_boost,production,neutral_mixed,0.334149470345157,0.2774834451079102,0.5041446975885592,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_regime_confidence_boost,production,recovery_confirmed,0.2393785618563328,0.1527645240697932,0.5867168065799404,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_regime_confidence_boost,production,recovery_fragile,0.23731487986212274,0.19557074720882212,0.39995910628287673,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_regime_confidence_boost,production,stressed_panic,0.3683623072015902,0.44559411658526227,0.45454867812796124,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_combo_abc,official_shadow,calm_trend,0.26881825941901794,0.17020434221902872,0.5836400184717803,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_combo_abc,official_shadow,neutral_mixed,0.33442718481307887,0.27819478924406726,0.5041446975885592,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_combo_abc,official_shadow,recovery_confirmed,0.24022904469391035,0.15216668977115647,0.5867168065799404,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_combo_abc,official_shadow,recovery_fragile,0.2341616874037375,0.1942707233369641,0.39995910628287673,RISK_CONCENTRATION_ACCEPTABLE
improved_phase2b_combo_abc,official_shadow,stressed_panic,0.3685198825229376,0.44589205205205873,0.45454867812796124,RISK_CONCENTRATION_ACCEPTABLE
