strategy_name,split,year,market_state,n,mean_turnover,mean_bil_exposure,mean_core_exposure,mean_ml_sleeve_exposure,mean_net_return
mlx12_decision_focused,holdout,2020,calm_trend,8,,0.0,,,0.0005577413562745251
mlx12_decision_focused,holdout,2020,neutral_mixed,14,,0.0,,,-0.0001084626045245611
mlx12_decision_focused,holdout,2020,recovery_confirmed,11,,0.0,,,-0.0002519590292566288
mlx12_decision_focused,holdout,2020,recovery_fragile,1,,0.0,,,-0.000401118092797
mlx12_decision_focused,holdout,2020,stressed_panic,18,,0.0,,,-0.00014556345163826856
mlx12_decision_focused,holdout,2021,calm_trend,37,,0.0,,,-0.00016432377345653527
mlx12_decision_focused,holdout,2021,neutral_mixed,16,,0.0,,,-0.00029524027837513154
mlx12_decision_focused,holdout,2022,neutral_mixed,13,,0.0,,,-9.85488564377967e-05
mlx12_decision_focused,holdout,2022,stressed_panic,39,,0.0,,,0.00021605200399137583
mlx12_decision_focused,holdout,2023,calm_trend,26,,0.0,,,0.0005372233846332648
mlx12_decision_focused,holdout,2023,neutral_mixed,17,,0.0,,,0.000593047255116541
mlx12_decision_focused,holdout,2023,recovery_fragile,9,,0.0,,,0.0004155378049907965
mlx12_decision_focused,holdout,2024,calm_trend,27,,0.0,,,0.0009361512598433593
mlx12_decision_focused,holdout,2024,neutral_mixed,25,,0.0,,,0.0008239202836983988
mlx12_decision_focused,holdout,2025,calm_trend,3,,0.0,,,0.0011319322846085
mlx12_decision_focused,holdout,2025,neutral_mixed,24,,0.0,,,0.0005869642109034316
mlx12_decision_focused,holdout,2025,recovery_confirmed,9,,0.0,,,0.0007206640655998094
mlx12_decision_focused,holdout,2025,recovery_fragile,4,,0.0,,,0.000720117180239675
mlx12_decision_focused,holdout,2025,stressed_panic,12,,0.0,,,0.0006525935975366
mlx12_decision_focused,holdout,2026,neutral_mixed,12,,0.0,,,0.0005575883824991345
mlx12_decision_focused,holdout,2026,recovery_confirmed,1,,0.0,,,0.0002623380002606
mlx12_decision_focused,holdout,2026,stressed_panic,2,,0.0,,,0.0001407034339258503
mlx12_decision_focused,holdout,2026,unknown,4,,0.0,,,0.00020720748850284998
mlx12_decision_focused,train,2000,unknown,52,,0.0,,,-0.0012665982558697083
mlx12_decision_focused,train,2001,unknown,52,,0.0,,,-0.0020596194273895573
mlx12_decision_focused,train,2002,unknown,52,,0.0,,,-0.004539846398168952
mlx12_decision_focused,train,2003,unknown,52,,0.0,,,0.0019231229034873656
mlx12_decision_focused,train,2004,unknown,53,,0.0,,,0.0010741585825331187
mlx12_decision_focused,train,2005,calm_trend,6,,0.0,,,-0.0009587188975386667
mlx12_decision_focused,train,2005,neutral_mixed,46,,0.0,,,0.0006650366210067812
mlx12_decision_focused,train,2006,calm_trend,7,,0.0,,,-0.0003867010511487285
mlx12_decision_focused,train,2006,neutral_mixed,36,,0.0,,,0.00044816829366260826
mlx12_decision_focused,train,2006,recovery_confirmed,3,,0.0,,,0.0007999114317298666
mlx12_decision_focused,train,2006,recovery_fragile,3,,0.0,,,-0.0009749450969525667
mlx12_decision_focused,train,2006,stressed_panic,3,,0.0,,,0.00030715612615446665
mlx12_decision_focused,train,2007,calm_trend,9,,0.0,,,0.001873544149664611
mlx12_decision_focused,train,2007,neutral_mixed,22,,0.0,,,0.0006044558754157136
mlx12_decision_focused,train,2007,recovery_fragile,2,,0.0,,,-0.00028548629467090004
mlx12_decision_focused,train,2007,stressed_panic,19,,0.0,,,0.000782083142111098
mlx12_decision_focused,train,2008,neutral_mixed,12,,0.0,,,0.00019037280677263328
mlx12_decision_focused,train,2008,recovery_fragile,1,,0.0,,,-0.0010100685678526
mlx12_decision_focused,train,2008,stressed_panic,39,,0.0,,,0.0002680785770159189
mlx12_decision_focused,train,2009,calm_trend,16,,0.0,,,-7.133955726390501e-05
mlx12_decision_focused,train,2009,neutral_mixed,9,,0.0,,,-0.0001745448807792749
mlx12_decision_focused,train,2009,recovery_fragile,8,,0.0,,,0.0003616749284255442
mlx12_decision_focused,train,2009,stressed_panic,19,,0.0,,,-1.6118124639150196e-06
mlx12_decision_focused,train,2010,calm_trend,24,,0.0,,,0.0001302631002137092
mlx12_decision_focused,train,2010,neutral_mixed,29,,0.0,,,5.554485266402717e-05
mlx12_decision_focused,train,2011,calm_trend,16,,0.0,,,0.00020233951953943123
mlx12_decision_focused,train,2011,neutral_mixed,22,,0.0,,,-0.00016086481755115103
mlx12_decision_focused,train,2011,stressed_panic,14,,0.0,,,-0.00014390719637091015
mlx12_decision_focused,train,2012,calm_trend,18,,0.0,,,-9.869165915720459e-05
mlx12_decision_focused,train,2012,neutral_mixed,28,,0.0,,,3.435344292427282e-05
mlx12_decision_focused,train,2012,recovery_confirmed,4,,0.0,,,-0.00040953557471903423
mlx12_decision_focused,train,2012,recovery_fragile,2,,0.0,,,-2.8269155900249995e-05
mlx12_decision_focused,train,2013,calm_trend,16,,0.0,,,-0.000246512979634297
mlx12_decision_focused,train,2013,neutral_mixed,36,,0.0,,,-0.00012802799897527564
mlx12_decision_focused,train,2014,calm_trend,15,,0.0,,,-0.00034401764484634435
mlx12_decision_focused,train,2014,neutral_mixed,25,,0.0,,,-1.9267457615691797e-05
mlx12_decision_focused,train,2014,recovery_confirmed,1,,0.0,,,-0.0015323124882502
mlx12_decision_focused,train,2014,recovery_fragile,6,,0.0,,,-0.00021578111340519998
mlx12_decision_focused,train,2014,stressed_panic,5,,0.0,,,-0.00071741608783034
mlx12_decision_focused,train,2015,neutral_mixed,29,,0.0,,,-0.00011271797971433203
mlx12_decision_focused,train,2015,recovery_confirmed,1,,0.0,,,-0.0005915576627741
mlx12_decision_focused,train,2015,recovery_fragile,7,,0.0,,,-0.00047381359609957146
mlx12_decision_focused,train,2015,stressed_panic,15,,0.0,,,-0.00024367574862498167
mlx12_decision_focused,train,2016,calm_trend,18,,0.0,,,1.296567950864511e-05
mlx12_decision_focused,train,2016,neutral_mixed,18,,0.0,,,-0.00035092167732126686
mlx12_decision_focused,train,2016,recovery_confirmed,4,,0.0,,,0.000510941948603
mlx12_decision_focused,train,2016,recovery_fragile,2,,0.0,,,0.0003486580240218
mlx12_decision_focused,train,2016,stressed_panic,11,,0.0,,,-2.7439631737835995e-06
mlx12_decision_focused,train,2017,calm_trend,37,,0.0,,,-1.9614742933154726e-05
mlx12_decision_focused,train,2017,neutral_mixed,15,,0.0,,,5.8506626867072545e-05
mlx12_decision_focused,validation,2018,neutral_mixed,20,,0.0,,,8.57952751300306e-05
mlx12_decision_focused,validation,2018,recovery_fragile,4,,0.0,,,2.7700376220404794e-05
mlx12_decision_focused,validation,2018,stressed_panic,28,,0.0,,,0.00028760360698458184
mlx12_decision_focused,validation,2019,calm_trend,12,,0.0,,,0.00033217232727774043
mlx12_decision_focused,validation,2019,neutral_mixed,25,,0.0,,,0.00040700744185243607
mlx12_decision_focused,validation,2019,recovery_confirmed,10,,0.0,,,0.0003958843696192316
mlx12_decision_focused,validation,2019,stressed_panic,5,,0.0,,,0.00043042572782005993
mlx9_ensemble,holdout,2020,calm_trend,8,,0.0,,,-0.0005059590910284752
mlx9_ensemble,holdout,2020,neutral_mixed,14,,0.0,,,0.005832865110172028
mlx9_ensemble,holdout,2020,recovery_confirmed,11,,0.0,,,-0.0025173560248181186
mlx9_ensemble,holdout,2020,recovery_fragile,1,,0.0,,,0.0119339485355821
mlx9_ensemble,holdout,2020,stressed_panic,18,,0.0,,,-0.0012654012982355337
mlx9_ensemble,holdout,2021,calm_trend,37,,0.0,,,0.00035249619242838095
mlx9_ensemble,holdout,2021,neutral_mixed,16,,0.0,,,0.005116908862934737
mlx9_ensemble,holdout,2022,neutral_mixed,13,,0.0,,,0.0014358464177008307
mlx9_ensemble,holdout,2022,stressed_panic,39,,0.0,,,-0.00023420104445089963
mlx9_ensemble,holdout,2023,calm_trend,26,,0.0,,,0.0004836146532762844
mlx9_ensemble,holdout,2023,neutral_mixed,17,,0.0,,,0.003018503678997635
mlx9_ensemble,holdout,2023,recovery_fragile,9,,0.0,,,-0.0001407557969814499
mlx9_ensemble,holdout,2024,calm_trend,27,,0.0,,,0.001227336908488689
mlx9_ensemble,holdout,2024,neutral_mixed,25,,0.0,,,0.003358224576838932
mlx9_ensemble,holdout,2025,calm_trend,3,,0.0,,,0.007945249984645367
mlx9_ensemble,holdout,2025,neutral_mixed,24,,0.0,,,0.0034457301073830917
mlx9_ensemble,holdout,2025,recovery_confirmed,9,,0.0,,,0.002843763795477311
mlx9_ensemble,holdout,2025,recovery_fragile,4,,0.0,,,0.00283225909220885
mlx9_ensemble,holdout,2025,stressed_panic,12,,0.0,,,0.001908964316454458
mlx9_ensemble,holdout,2026,neutral_mixed,12,,0.0,,,0.005020774120587925
mlx9_ensemble,holdout,2026,recovery_confirmed,1,,0.0,,,0.0012809997230561
mlx9_ensemble,holdout,2026,stressed_panic,2,,0.0,,,-0.0031365577373812003
mlx9_ensemble,holdout,2026,unknown,4,,0.0,,,
mlx9_ensemble,train,2000,unknown,52,,0.0,,,
mlx9_ensemble,train,2001,unknown,52,,0.0,,,
mlx9_ensemble,train,2002,unknown,52,,0.0,,,
mlx9_ensemble,train,2003,unknown,52,,0.0,,,
mlx9_ensemble,train,2004,unknown,53,,0.0,,,
mlx9_ensemble,train,2005,calm_trend,6,,0.0,,,-0.0003822094459710666
mlx9_ensemble,train,2005,neutral_mixed,46,,0.0,,,0.00021835244606686175
mlx9_ensemble,train,2006,calm_trend,7,,0.0,,,-0.0009883546407464714
mlx9_ensemble,train,2006,neutral_mixed,36,,0.0,,,0.0012870264204932558
mlx9_ensemble,train,2006,recovery_confirmed,3,,0.0,,,0.011279388106947166
mlx9_ensemble,train,2006,recovery_fragile,3,,0.0,,,-0.0049111292450542
mlx9_ensemble,train,2006,stressed_panic,3,,0.0,,,0.0069303719246221
mlx9_ensemble,train,2007,calm_trend,9,,0.0,,,0.0046801188590382
mlx9_ensemble,train,2007,neutral_mixed,22,,0.0,,,0.0014728020646091501
mlx9_ensemble,train,2007,recovery_fragile,2,,0.0,,,0.01195649249538555
mlx9_ensemble,train,2007,stressed_panic,19,,0.0,,,0.002868315578418668
mlx9_ensemble,train,2008,neutral_mixed,12,,0.0,,,0.0006979907862481584
mlx9_ensemble,train,2008,recovery_fragile,1,,0.0,,,-0.0008882503258019
mlx9_ensemble,train,2008,stressed_panic,39,,0.0,,,0.0002905657509562742
mlx9_ensemble,train,2009,calm_trend,16,,0.0,,,0.006114191655972256
mlx9_ensemble,train,2009,neutral_mixed,9,,0.0,,,0.005732538812784088
mlx9_ensemble,train,2009,recovery_fragile,8,,0.0,,,0.0015362149699351252
