task_id,barrier_id,split,market_state,n_labels,positive_count,neutral_count,negative_count,positive_rate,neutral_rate,negative_rate,average_time_to_barrier,imbalance_warning
task_1_production_triple_barrier,h4_u1_l1,holdout,recovery_confirmed,20,13,1,6,0.65,0.05,0.3,2.3,False
task_1_production_triple_barrier,h4_u1_l1,holdout,recovery_fragile,14,4,5,5,0.2857142857142857,0.35714285714285715,0.35714285714285715,3.0,False
task_1_production_triple_barrier,h4_u1_l1,holdout,stressed_panic,71,20,36,15,0.28169014084507044,0.5070422535211268,0.2112676056338028,3.2535211267605635,False
task_1_production_triple_barrier,h4_u1_l1,train,calm_trend,182,95,31,56,0.521978021978022,0.17032967032967034,0.3076923076923077,2.2857142857142856,False
task_1_production_triple_barrier,h4_u1_l1,train,neutral_mixed,327,148,113,66,0.4525993883792049,0.345565749235474,0.2018348623853211,2.7217125382262997,False
task_1_production_triple_barrier,h4_u1_l1,train,recovery_confirmed,13,8,3,2,0.6153846153846154,0.23076923076923078,0.15384615384615385,2.3076923076923075,False
task_1_production_triple_barrier,h4_u1_l1,train,recovery_fragile,31,13,10,8,0.41935483870967744,0.3225806451612903,0.25806451612903225,3.0,False
task_1_production_triple_barrier,h4_u1_l1,train,stressed_panic,125,35,64,26,0.28,0.512,0.208,3.24,False
task_1_production_triple_barrier,h4_u1_l1,train,unknown,4,0,4,0,0.0,1.0,0.0,2.5,True
task_1_production_triple_barrier,h4_u1_l1,validation,calm_trend,12,6,4,2,0.5,0.3333333333333333,0.16666666666666666,2.75,False
task_1_production_triple_barrier,h4_u1_l1,validation,neutral_mixed,45,18,13,14,0.4,0.28888888888888886,0.3111111111111111,2.577777777777778,False
task_1_production_triple_barrier,h4_u1_l1,validation,recovery_confirmed,10,3,7,0,0.3,0.7,0.0,3.7,False
task_1_production_triple_barrier,h4_u1_l1,validation,recovery_fragile,4,1,2,1,0.25,0.5,0.25,3.0,False
task_1_production_triple_barrier,h4_u1_l1,validation,stressed_panic,33,4,22,7,0.12121212121212122,0.6666666666666666,0.21212121212121213,3.6666666666666665,False
task_1_production_triple_barrier,h8_u2_l2,holdout,calm_trend,101,59,13,29,0.5841584158415841,0.12871287128712872,0.2871287128712871,4.3861386138613865,False
task_1_production_triple_barrier,h8_u2_l2,holdout,neutral_mixed,119,76,18,25,0.6386554621848739,0.15126050420168066,0.21008403361344538,4.53781512605042,False
task_1_production_triple_barrier,h8_u2_l2,holdout,recovery_confirmed,20,14,2,4,0.7,0.1,0.2,4.55,False
task_1_production_triple_barrier,h8_u2_l2,holdout,recovery_fragile,14,4,7,3,0.2857142857142857,0.5,0.21428571428571427,6.928571428571429,False
task_1_production_triple_barrier,h8_u2_l2,holdout,stressed_panic,70,17,46,7,0.24285714285714285,0.6571428571428571,0.1,6.942857142857143,False
task_1_production_triple_barrier,h8_u2_l2,train,calm_trend,182,93,38,51,0.510989010989011,0.2087912087912088,0.2802197802197802,4.56043956043956,False
task_1_production_triple_barrier,h8_u2_l2,train,neutral_mixed,327,138,137,52,0.42201834862385323,0.41896024464831805,0.15902140672782875,5.801223241590214,False
task_1_production_triple_barrier,h8_u2_l2,train,recovery_confirmed,13,9,4,0,0.6923076923076923,0.3076923076923077,0.0,5.0,False
task_1_production_triple_barrier,h8_u2_l2,train,recovery_fragile,31,17,6,8,0.5483870967741935,0.1935483870967742,0.25806451612903225,5.225806451612903,False
task_1_production_triple_barrier,h8_u2_l2,train,stressed_panic,125,31,78,16,0.248,0.624,0.128,6.576,False
task_1_production_triple_barrier,h8_u2_l2,train,unknown,8,0,8,0,0.0,1.0,0.0,4.5,True
task_1_production_triple_barrier,h8_u2_l2,validation,calm_trend,12,9,2,1,0.75,0.16666666666666666,0.08333333333333333,5.75,False
task_1_production_triple_barrier,h8_u2_l2,validation,neutral_mixed,45,13,22,10,0.28888888888888886,0.4888888888888889,0.2222222222222222,5.711111111111111,False
task_1_production_triple_barrier,h8_u2_l2,validation,recovery_confirmed,10,9,1,0,0.9,0.1,0.0,6.0,True
task_1_production_triple_barrier,h8_u2_l2,validation,recovery_fragile,4,0,1,3,0.0,0.25,0.75,7.0,False
task_1_production_triple_barrier,h8_u2_l2,validation,stressed_panic,33,2,30,1,0.06060606060606061,0.9090909090909091,0.030303030303030304,7.9393939393939394,True
task_2_phase4b_triple_barrier,h13_u3_l3,holdout,calm_trend,101,54,28,19,0.5346534653465347,0.27722772277227725,0.18811881188118812,8.811881188118813,False
task_2_phase4b_triple_barrier,h13_u3_l3,holdout,neutral_mixed,115,70,32,13,0.6086956521739131,0.2782608695652174,0.11304347826086956,7.6,False
task_2_phase4b_triple_barrier,h13_u3_l3,holdout,recovery_confirmed,20,20,0,0,1.0,0.0,0.0,6.55,True
task_2_phase4b_triple_barrier,h13_u3_l3,holdout,recovery_fragile,14,5,6,3,0.35714285714285715,0.42857142857142855,0.21428571428571427,9.928571428571429,False
task_2_phase4b_triple_barrier,h13_u3_l3,holdout,stressed_panic,69,27,31,11,0.391304347826087,0.4492753623188406,0.15942028985507245,10.710144927536232,False
task_2_phase4b_triple_barrier,h13_u3_l3,train,calm_trend,182,98,42,42,0.5384615384615384,0.23076923076923078,0.23076923076923078,8.186813186813186,False
task_2_phase4b_triple_barrier,h13_u3_l3,train,neutral_mixed,327,126,168,33,0.3853211009174312,0.5137614678899083,0.10091743119266056,10.293577981651376,False
task_2_phase4b_triple_barrier,h13_u3_l3,train,recovery_confirmed,13,8,5,0,0.6153846153846154,0.38461538461538464,0.0,7.6923076923076925,False
task_2_phase4b_triple_barrier,h13_u3_l3,train,recovery_fragile,31,19,8,4,0.6129032258064516,0.25806451612903225,0.12903225806451613,8.838709677419354,False
task_2_phase4b_triple_barrier,h13_u3_l3,train,stressed_panic,125,35,75,15,0.28,0.6,0.12,10.664,False
task_2_phase4b_triple_barrier,h13_u3_l3,train,unknown,13,0,13,0,0.0,1.0,0.0,7.0,True
task_2_phase4b_triple_barrier,h13_u3_l3,validation,calm_trend,12,10,2,0,0.8333333333333334,0.16666666666666666,0.0,8.583333333333334,True
task_2_phase4b_triple_barrier,h13_u3_l3,validation,neutral_mixed,45,11,26,8,0.24444444444444444,0.5777777777777777,0.17777777777777778,10.377777777777778,False
task_2_phase4b_triple_barrier,h13_u3_l3,validation,recovery_confirmed,10,7,3,0,0.7,0.3,0.0,8.6,False
task_2_phase4b_triple_barrier,h13_u3_l3,validation,recovery_fragile,4,0,1,3,0.0,0.25,0.75,10.25,False
task_2_phase4b_triple_barrier,h13_u3_l3,validation,stressed_panic,33,5,28,0,0.15151515151515152,0.8484848484848485,0.0,12.757575757575758,True
task_2_phase4b_triple_barrier,h4_u1_l1,holdout,calm_trend,101,57,13,31,0.5643564356435643,0.12871287128712872,0.3069306930693069,2.1881188118811883,False
task_2_phase4b_triple_barrier,h4_u1_l1,holdout,neutral_mixed,121,82,9,30,0.6776859504132231,0.0743801652892562,0.24793388429752067,2.041322314049587,False
task_2_phase4b_triple_barrier,h4_u1_l1,holdout,recovery_confirmed,20,9,1,10,0.45,0.05,0.5,1.6,False
task_2_phase4b_triple_barrier,h4_u1_l1,holdout,recovery_fragile,14,2,6,6,0.14285714285714285,0.42857142857142855,0.42857142857142855,3.0714285714285716,False
task_2_phase4b_triple_barrier,h4_u1_l1,holdout,stressed_panic,71,26,25,20,0.36619718309859156,0.352112676056338,0.28169014084507044,2.915492957746479,False
task_2_phase4b_triple_barrier,h4_u1_l1,train,calm_trend,182,98,32,52,0.5384615384615384,0.17582417582417584,0.2857142857142857,2.4285714285714284,False
task_2_phase4b_triple_barrier,h4_u1_l1,train,neutral_mixed,327,154,110,63,0.4709480122324159,0.3363914373088685,0.1926605504587156,2.743119266055046,False
task_2_phase4b_triple_barrier,h4_u1_l1,train,recovery_confirmed,13,8,4,1,0.6153846153846154,0.3076923076923077,0.07692307692307693,2.5384615384615383,False
task_2_phase4b_triple_barrier,h4_u1_l1,train,recovery_fragile,31,15,8,8,0.4838709677419355,0.25806451612903225,0.25806451612903225,2.903225806451613,False
task_2_phase4b_triple_barrier,h4_u1_l1,train,stressed_panic,125,41,56,28,0.328,0.448,0.224,3.128,False
task_2_phase4b_triple_barrier,h4_u1_l1,train,unknown,4,0,4,0,0.0,1.0,0.0,2.5,True
task_2_phase4b_triple_barrier,h4_u1_l1,validation,calm_trend,12,8,2,2,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.75,False
task_2_phase4b_triple_barrier,h4_u1_l1,validation,neutral_mixed,45,19,13,13,0.4222222222222222,0.28888888888888886,0.28888888888888886,2.6,False
task_2_phase4b_triple_barrier,h4_u1_l1,validation,recovery_confirmed,10,5,5,0,0.5,0.5,0.0,3.3,False
task_2_phase4b_triple_barrier,h4_u1_l1,validation,recovery_fragile,4,1,2,1,0.25,0.5,0.25,3.0,False
task_2_phase4b_triple_barrier,h4_u1_l1,validation,stressed_panic,33,7,21,5,0.21212121212121213,0.6363636363636364,0.15151515151515152,3.5454545454545454,False
task_2_phase4b_triple_barrier,h8_u2_l2,holdout,calm_trend,101,60,21,20,0.594059405940594,0.2079207920792079,0.19801980198019803,4.861386138613861,False
task_2_phase4b_triple_barrier,h8_u2_l2,holdout,neutral_mixed,119,75,16,28,0.6302521008403361,0.13445378151260504,0.23529411764705882,4.050420168067227,False
task_2_phase4b_triple_barrier,h8_u2_l2,holdout,recovery_confirmed,20,15,1,4,0.75,0.05,0.2,3.95,False
task_2_phase4b_triple_barrier,h8_u2_l2,holdout,recovery_fragile,14,3,7,4,0.21428571428571427,0.5,0.2857142857142857,6.214285714285714,False
task_2_phase4b_triple_barrier,h8_u2_l2,holdout,stressed_panic,70,24,30,16,0.34285714285714286,0.42857142857142855,0.22857142857142856,6.414285714285715,False
task_2_phase4b_triple_barrier,h8_u2_l2,train,calm_trend,182,95,40,47,0.521978021978022,0.21978021978021978,0.25824175824175827,4.873626373626373,False
task_2_phase4b_triple_barrier,h8_u2_l2,train,neutral_mixed,327,134,144,49,0.40978593272171254,0.44036697247706424,0.14984709480122324,5.963302752293578,False
task_2_phase4b_triple_barrier,h8_u2_l2,train,recovery_confirmed,13,8,5,0,0.6153846153846154,0.38461538461538464,0.0,5.230769230769231,False
task_2_phase4b_triple_barrier,h8_u2_l2,train,recovery_fragile,31,19,5,7,0.6129032258064516,0.16129032258064516,0.22580645161290322,5.193548387096774,False
task_2_phase4b_triple_barrier,h8_u2_l2,train,stressed_panic,125,38,67,20,0.304,0.536,0.16,6.36,False
task_2_phase4b_triple_barrier,h8_u2_l2,train,unknown,8,0,8,0,0.0,1.0,0.0,4.5,True
task_2_phase4b_triple_barrier,h8_u2_l2,validation,calm_trend,12,9,2,1,0.75,0.16666666666666666,0.08333333333333333,5.25,False
task_2_phase4b_triple_barrier,h8_u2_l2,validation,neutral_mixed,45,13,23,9,0.28888888888888886,0.5111111111111111,0.2,6.066666666666666,False
task_2_phase4b_triple_barrier,h8_u2_l2,validation,recovery_confirmed,10,6,4,0,0.6,0.4,0.0,6.3,False
task_2_phase4b_triple_barrier,h8_u2_l2,validation,recovery_fragile,4,0,1,3,0.0,0.25,0.75,7.0,False
task_2_phase4b_triple_barrier,h8_u2_l2,validation,stressed_panic,33,5,28,0,0.15151515151515152,0.8484848484848485,0.0,7.878787878787879,True
task_3_phase4b_vs_production_switch,h13_u3_l3,holdout,calm_trend,101,6,95,0,0.0594059405940594,0.9405940594059405,0.0,12.851485148514852,True
task_3_phase4b_vs_production_switch,h13_u3_l3,holdout,neutral_mixed,115,0,115,0,0.0,1.0,0.0,12.91304347826087,True
task_3_phase4b_vs_production_switch,h13_u3_l3,holdout,recovery_confirmed,20,2,18,0,0.1,0.9,0.0,12.85,True
task_3_phase4b_vs_production_switch,h13_u3_l3,holdout,recovery_fragile,14,0,14,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,holdout,stressed_panic,69,0,69,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,train,calm_trend,182,1,181,0,0.005494505494505495,0.9945054945054945,0.0,12.989010989010989,True
task_3_phase4b_vs_production_switch,h13_u3_l3,train,neutral_mixed,327,0,327,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,train,recovery_confirmed,13,0,13,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,train,recovery_fragile,31,0,31,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,train,stressed_panic,125,0,125,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,train,unknown,13,0,13,0,0.0,1.0,0.0,7.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,validation,calm_trend,12,2,10,0,0.16666666666666666,0.8333333333333334,0.0,12.916666666666666,True
task_3_phase4b_vs_production_switch,h13_u3_l3,validation,neutral_mixed,45,0,45,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,validation,recovery_confirmed,10,0,10,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,validation,recovery_fragile,4,0,4,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h13_u3_l3,validation,stressed_panic,33,0,33,0,0.0,1.0,0.0,13.0,True
task_3_phase4b_vs_production_switch,h4_u1_l1,holdout,calm_trend,101,17,81,3,0.16831683168316833,0.801980198019802,0.0297029702970297,3.7524752475247523,True
task_3_phase4b_vs_production_switch,h4_u1_l1,holdout,neutral_mixed,121,6,109,6,0.049586776859504134,0.9008264462809917,0.049586776859504134,3.8016528925619837,True
task_3_phase4b_vs_production_switch,h4_u1_l1,holdout,recovery_confirmed,20,2,18,0,0.1,0.9,0.0,3.85,True
