task_id,barrier_id,model_name,split,actual_label,predicted_label,count
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,-1,-1,127
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,-1,0,7
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,-1,1,24
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,0,-1,22
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,0,0,184
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,0,1,19
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,1,-1,62
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,1,0,28
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,train,1,1,209
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,-1,-1,1
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,-1,0,3
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,-1,1,20
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,0,-1,5
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,0,0,18
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,0,1,25
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,1,-1,3
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,1,0,6
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,validation,1,1,23
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,-1,-1,43
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,-1,0,12
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,-1,1,39
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,0,-1,7
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,0,0,29
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,0,1,21
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,1,-1,80
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,1,0,13
task_1_production_triple_barrier,h4_u1_l1,logistic_regression,holdout,1,1,83
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,-1,-1,124
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,-1,0,3
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,-1,1,31
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,0,-1,29
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,0,0,161
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,0,1,35
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,1,-1,28
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,1,0,19
task_1_production_triple_barrier,h4_u1_l1,random_forest,train,1,1,252
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,-1,-1,8
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,-1,0,4
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,-1,1,12
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,0,-1,5
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,0,0,14
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,0,1,29
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,1,-1,4
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,1,0,6
task_1_production_triple_barrier,h4_u1_l1,random_forest,validation,1,1,22
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,-1,-1,38
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,-1,0,12
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,-1,1,44
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,0,-1,15
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,0,0,25
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,0,1,17
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,1,-1,70
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,1,0,17
task_1_production_triple_barrier,h4_u1_l1,random_forest,holdout,1,1,89
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,-1,-1,92
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,-1,0,14
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,-1,1,52
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,0,-1,11
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,0,0,174
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,0,1,40
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,1,-1,2
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,1,0,14
task_1_production_triple_barrier,h4_u1_l1,gradient_boosting,train,1,1,283
