period,diagnostic,macro_quadrant,condition,n,mean_4w,sharpe_4w
dev,A_macro_only,expansion,all,270,0.00565,0.125
dev,A_macro_only,overheating,all,248,0.00965,0.255
dev,A_macro_only,slowdown,all,117,-0.00907,-0.132
dev,A_macro_only,stress,all,370,0.01509,0.368
holdout,A_macro_only,expansion,all,17,0.0014,0.037
holdout,A_macro_only,overheating,all,16,0.02238,0.721
holdout,A_macro_only,slowdown,all,67,0.01189,0.306
holdout,A_macro_only,stress,all,0,,
dev,B_macro_plus_spy_trend,expansion,spy_above_200dma=above_200dma,211,0.00478,0.119
dev,B_macro_plus_spy_trend,expansion,spy_above_200dma=below_200dma,59,0.00878,0.146
dev,B_macro_plus_spy_trend,overheating,spy_above_200dma=above_200dma,217,0.00643,0.199
dev,B_macro_plus_spy_trend,overheating,spy_above_200dma=below_200dma,31,0.03216,0.526
dev,B_macro_plus_spy_trend,slowdown,spy_above_200dma=above_200dma,38,0.00973,0.244
dev,B_macro_plus_spy_trend,slowdown,spy_above_200dma=below_200dma,79,-0.01811,-0.234
dev,B_macro_plus_spy_trend,stress,spy_above_200dma=above_200dma,304,0.01268,0.352
dev,B_macro_plus_spy_trend,stress,spy_above_200dma=below_200dma,66,0.02618,0.454
holdout,B_macro_plus_spy_trend,expansion,spy_above_200dma=above_200dma,17,0.0014,0.037
holdout,B_macro_plus_spy_trend,expansion,spy_above_200dma=below_200dma,0,,
holdout,B_macro_plus_spy_trend,overheating,spy_above_200dma=above_200dma,16,0.02238,0.721
holdout,B_macro_plus_spy_trend,overheating,spy_above_200dma=below_200dma,0,,
holdout,B_macro_plus_spy_trend,slowdown,spy_above_200dma=above_200dma,58,0.00702,0.218
holdout,B_macro_plus_spy_trend,slowdown,spy_above_200dma=below_200dma,9,0.04331,0.703
holdout,B_macro_plus_spy_trend,stress,spy_above_200dma=above_200dma,0,,
holdout,B_macro_plus_spy_trend,stress,spy_above_200dma=below_200dma,0,,
dev,C_macro_plus_credit,expansion,credit_trend_improving=credit_improving,104,0.00298,0.074
dev,C_macro_plus_credit,expansion,credit_trend_improving=credit_worsening,166,0.00733,0.153
dev,C_macro_plus_credit,overheating,credit_trend_improving=credit_improving,116,0.00419,0.109
dev,C_macro_plus_credit,overheating,credit_trend_improving=credit_worsening,132,0.01444,0.391
dev,C_macro_plus_credit,slowdown,credit_trend_improving=credit_improving,45,-0.01053,-0.175
dev,C_macro_plus_credit,slowdown,credit_trend_improving=credit_worsening,72,-0.00816,-0.111
dev,C_macro_plus_credit,stress,credit_trend_improving=credit_improving,226,0.02012,0.599
dev,C_macro_plus_credit,stress,credit_trend_improving=credit_worsening,144,0.00719,0.145
holdout,C_macro_plus_credit,expansion,credit_trend_improving=credit_improving,13,-0.00568,-0.138
holdout,C_macro_plus_credit,expansion,credit_trend_improving=credit_worsening,4,,
holdout,C_macro_plus_credit,overheating,credit_trend_improving=credit_improving,12,0.02083,0.613
holdout,C_macro_plus_credit,overheating,credit_trend_improving=credit_worsening,4,,
holdout,C_macro_plus_credit,slowdown,credit_trend_improving=credit_improving,36,0.0011,0.029
holdout,C_macro_plus_credit,slowdown,credit_trend_improving=credit_worsening,31,0.02443,0.668
holdout,C_macro_plus_credit,stress,credit_trend_improving=credit_improving,0,,
holdout,C_macro_plus_credit,stress,credit_trend_improving=credit_worsening,0,,
dev,D_macro_plus_neutral_mixed_state,expansion,state=neutral_mixed,101,0.01096,0.336
dev,D_macro_plus_neutral_mixed_state,overheating,state=neutral_mixed,107,0.00908,0.255
dev,D_macro_plus_neutral_mixed_state,slowdown,state=neutral_mixed,21,-0.02235,-0.506
dev,D_macro_plus_neutral_mixed_state,stress,state=neutral_mixed,205,0.01544,0.479
holdout,D_macro_plus_neutral_mixed_state,expansion,state=neutral_mixed,10,-0.01548,-0.367
holdout,D_macro_plus_neutral_mixed_state,overheating,state=neutral_mixed,3,0.05623,4.059
holdout,D_macro_plus_neutral_mixed_state,slowdown,state=neutral_mixed,43,0.00325,0.101
holdout,D_macro_plus_neutral_mixed_state,stress,state=neutral_mixed,0,,
