annual_return,annual_volatility,sharpe,max_drawdown,calmar,cvar_5,average_turnover,annual_cost_drag,average_bil_weight,average_spy_weight,average_offensive_weight,average_ml_exposure,average_number_of_etfs_held,active_weeks,strategy_name,strategy_type,model_name,target,sequence_length,seed,top_n,weighting,wrapper,split,cost_bps,comparison_label,category,source,comparison_name,source_path
0.1376163843092677,0.18180838524447115,0.7569308980123218,-0.300480734180428,0.4579873804043422,-0.05330915365275561,0.29460784978678484,0.01531960818891281,0.0,0.0,0.942525513790459,1.0,14.954819277108435,332.0,transformer_encoder_top_quintile_forward_4w_seq26_seed0__top15__inverse_vol__raw_ml,transformer,transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26.0,0.0,15.0,inverse_vol,raw_ml,holdout,10.0,Best raw Transformer,transformer,transformer_summary,,
0.11155601308531948,0.11304410988034996,0.986836140364982,-0.13130275828023275,0.8496090603613308,-0.03288149041086786,0.3056132883761278,0.015891890995558648,0.25150602409638556,0.0,0.7035373140421952,0.7484939759036144,15.533132530120483,332.0,transformer_encoder_top_quintile_forward_4w_seq26_seed0__top15__inverse_vol__bil_fallback_original,transformer,transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26.0,0.0,15.0,inverse_vol,bil_fallback_original,holdout,10.0,Best overlay Transformer,transformer,transformer_summary,,
0.15439387535880078,0.19251158983971733,0.8019978199096851,-0.3182895551463313,0.4850736471318367,-0.060627983563085554,0.0030120481927710845,0.00015662650602409636,0.0,0.9969879518072289,0.9969879518072289,1.0,0.9969879518072289,332.0,,,,,,,,,,,,SPY,baseline,computed,,
0.09490986896628573,0.11986196314047522,0.791826418319661,-0.2075726303450739,0.45723691417555967,-0.03705295982571703,0.0030120481927710845,0.00015662650602409636,0.0,0.5981927710843372,0.5981927710843372,1.0,1.9939759036144578,332.0,,,,,,,,,,,,60/40,baseline,computed,,
0.15110738135524948,0.1769362804380123,0.8540214645700565,-0.27837486196556693,0.5428197800918548,-0.05612544890410194,0.4164317346459591,0.021654450201589875,0.025580882007796943,0.00031059184455527915,0.8717706765521336,1.0,9.96987951807229,332.0,,,,,,,,,,,,Simple momentum top10,baseline_momentum,computed,,
0.11392906586638984,0.16286252240568863,0.6995413320603857,-0.2656797829551969,0.42882098366363974,-0.053906289532715576,0.39953057281571314,0.020775589786417085,0.06085098630291233,0.011000947543597928,0.8498086698013464,1.0,14.954819277108435,332.0,,,,,,,,,,,,Simple momentum top15,baseline_momentum,computed,,
0.1165506543306145,0.1208412276084091,0.9644941270234494,-0.1134123166378794,1.0276719300493231,-0.0362705959528764,0.3417441582211503,0.0177706962274998,0.2515060240963855,0.0,0.7057961226141306,0.7484939759036144,10.548192771084338,332.0,lstm_classifier_top_quintile_forward_4w_seq26__top10__inverse_vol__bil_fallback,model,lstm_classifier_top_quintile_forward_4w_seq26,top_quintile_forward_4w,,,10.0,inverse_vol,bil_fallback,holdout,10.0,Best defensive-overlay sequence model,prior_mlx,data/research/ml_lab/sequence_models/sequence_comparison_table.csv,,
0.1803039232358081,0.1988782534356271,0.9066045186995212,-0.2939825671554346,0.6133150172148737,-0.0609487635628642,0.437319694390663,0.022740624108312,,,,,9.96987951807229,332.0,mlx4_best_mlp,mlx4_baseline,,,,,,,,holdout,10.0,MLX-4 best MLP,prior_mlx,data/research/ml_lab/sequence_models/sequence_comparison_table.csv,,
0.1684881990309057,0.2078376432363644,0.8106721978140008,-0.3754967642139729,0.4487074592602733,-0.0652353386329169,0.6193395087666357,0.0322056544558624,,,,,9.96987951807229,332.0,mlx3_best_tabular_ml,mlx3_baseline,,,,,,,,holdout,10.0,MLX-3 best tabular ML,prior_mlx,data/research/ml_lab/sequence_models/sequence_comparison_table.csv,,
0.0806746221962884,0.0860435891927344,0.937601777810317,-0.139754039463866,0.5772614695487723,-0.0272982669707991,0.055975228867502,0.0029107119011096,0.2553057903879187,0.0657504340022573,0.4094562090273949,,,328.0,,,,,,,,,,,,Current production,current_production,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_phase2b_regime_confidence_boost.csv,current_production_improved_phase2b_regime_confidence_boost,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_phase2b_regime_confidence_boost.csv
0.080400692141159,0.0852674107394025,0.9429240485193426,-0.1367412154152335,0.5879770184652177,-0.0271497089929461,0.0564538231817843,0.0029355988054522,0.2564607925553641,0.0656763948684815,0.4091468627597091,,,328.0,,,,,,,,,,,,Official shadow,official_shadow,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_phase2b_combo_abc.csv,official_shadow_improved_phase2b_combo_abc,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_phase2b_combo_abc.csv
