model_name,target,sequence_length,seed,epoch,train_loss,validation_loss,best_epoch_so_far,early_stop_triggered
transformer_encoder_top_quintile_forward_4w_seq13_seed0,top_quintile_forward_4w,13,0,1,1.1043287515640259,1.0904284715652466,1,False
transformer_encoder_top_quintile_forward_4w_seq13_seed0,top_quintile_forward_4w,13,0,2,1.0698119848966599,1.0765697956085205,2,False
transformer_encoder_top_quintile_forward_4w_seq13_seed0,top_quintile_forward_4w,13,0,3,1.0538935959339142,1.0695360501607258,3,False
transformer_encoder_top_quintile_forward_4w_seq13_seed0,top_quintile_forward_4w,13,0,4,1.0444087460637093,1.0655606190363567,4,False
transformer_encoder_top_quintile_forward_4w_seq13_seed0,top_quintile_forward_4w,13,0,5,1.0372654348611832,1.0624547402064006,5,False
transformer_encoder_top_quintile_forward_4w_seq13_seed0,top_quintile_forward_4w,13,0,6,1.0297128483653069,1.059730847676595,6,False
transformer_encoder_top_quintile_forward_4w_seq13_seed0,top_quintile_forward_4w,13,0,7,1.0226617380976677,1.0589090585708618,7,False
transformer_encoder_top_quintile_forward_4w_seq13_seed0,top_quintile_forward_4w,13,0,8,1.01366413757205,1.05971892674764,7,False
transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26,0,1,1.103557825088501,1.087932864824931,1,False
transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26,0,2,1.068265624344349,1.075979471206665,2,False
transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26,0,3,1.0490811318159103,1.0708257754643757,3,False
transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26,0,4,1.0369237586855888,1.0679748058319092,4,False
transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26,0,5,1.0298095792531967,1.0656940937042236,5,False
transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26,0,6,1.0206260085105896,1.0687331358591716,5,False
transformer_encoder_top_quintile_forward_4w_seq26_seed0,top_quintile_forward_4w,26,0,7,1.0125189647078514,1.0740569432576497,5,True
