portfolio,signal,signal_on_weeks,mean_fwd_4w_on,mean_fwd_4w_off,lift_vs_off,diagnostic_label
spy,etf_breadth_existing,218,0.0081,0.01268,-0.00457,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
spy,stock_breadth_diagnostic,97,0.00988,0.00948,0.0004,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
spy,aggression_score_high,131,0.01369,0.00683,0.00686,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ggg1,etf_breadth_existing,218,0.00684,0.00758,-0.00074,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ggg1,stock_breadth_diagnostic,97,0.00758,0.00687,0.00071,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
ggg1,aggression_score_high,131,0.00623,0.00766,-0.00142,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
phase4b_best,etf_breadth_existing,218,0.00693,0.00745,-0.00052,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
phase4b_best,stock_breadth_diagnostic,97,0.00838,0.00655,0.00183,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
phase4b_best,aggression_score_high,131,0.00717,0.00705,0.00013,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
