date,active_member_count,pct_members_above_50d_ma,pct_members_above_100d_ma,pct_members_above_200d_ma,pct_members_positive_4w_return,pct_members_positive_13w_return,pct_members_positive_26w_return,pct_members_with_13w_high,pct_members_with_52w_high,pct_members_in_drawdown_less_than_10pct,equal_weight_current_constituent_return,median_member_13w_return,diagnostic_label,breadth_thrust_4w,breadth_thrust_8w,broad_bull_diagnostic_flag,narrow_bull_diagnostic_warning,neutral_risk_on_diagnostic,pct_members_above_50d_ma_lag1w,pct_members_above_100d_ma_lag1w,pct_members_above_200d_ma_lag1w,pct_members_positive_4w_return_lag1w,pct_members_positive_13w_return_lag1w,pct_members_positive_26w_return_lag1w,pct_members_with_13w_high_lag1w,pct_members_with_52w_high_lag1w,pct_members_in_drawdown_less_than_10pct_lag1w,equal_weight_current_constituent_return_lag1w,median_member_13w_return_lag1w,breadth_thrust_4w_lag1w,breadth_thrust_8w_lag1w,broad_bull_diagnostic_flag_lag1w,narrow_bull_diagnostic_warning_lag1w,neutral_risk_on_diagnostic_lag1w
2020-01-03,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,,,0,1,0,,,,,,,,,,,,,,,,
2020-01-10,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00702393478822448,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,,,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,0.0
2020-01-17,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02233881522925037,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,,,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00702393478822448,,,,0.0,1.0,0.0
2020-01-24,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009978592767696106,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,,,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02233881522925037,,,,0.0,1.0,0.0
2020-01-31,486,0.0,0.0,0.0,0.47484909456740443,0.0,0.0,0.0,0.0,0.0,-0.023539862478828427,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,0.0,,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009978592767696106,,,,0.0,1.0,0.0
2020-02-07,486,0.0,0.0,0.0,0.5975855130784709,0.0,0.0,0.0,0.0,0.0,0.0277533705513442,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,0.0,,0,1,0,0.0,0.0,0.0,0.47484909456740443,0.0,0.0,0.0,0.0,0.0,-0.023539862478828427,,0.0,,0.0,1.0,0.0
2020-02-14,486,0.0,0.0,0.0,0.5915492957746479,0.0,0.0,0.0,0.0,0.0,0.020522491010727385,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,0.0,,0,1,0,0.0,0.0,0.0,0.5975855130784709,0.0,0.0,0.0,0.0,0.0,0.0277533705513442,,0.0,,0.0,1.0,0.0
2020-02-21,486,0.0,0.0,0.0,0.5835010060362174,0.0,0.0,0.0,0.0,0.0,-0.007585543200430263,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,0.0,,0,1,0,0.0,0.0,0.0,0.5915492957746479,0.0,0.0,0.0,0.0,0.0,0.020522491010727385,,0.0,,0.0,1.0,0.0
2020-02-28,486,0.04225352112676056,0.0,0.0,0.08048289738430583,0.0,0.0,0.0,0.0,0.0,-0.11646079582015775,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,0.04225352112676056,0.04225352112676056,0,1,0,0.0,0.0,0.0,0.5835010060362174,0.0,0.0,0.0,0.0,0.0,-0.007585543200430263,,0.0,,0.0,1.0,0.0
2020-03-06,486,0.1529175050301811,0.0,0.0,0.11871227364185111,0.0,0.0,0.026156941649899398,0.0,0.0,-0.002589280995021083,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,0.1529175050301811,0.1529175050301811,0,1,0,0.04225352112676056,0.0,0.0,0.08048289738430583,0.0,0.0,0.0,0.0,0.0,-0.11646079582015775,,0.04225352112676056,0.04225352112676056,0.0,1.0,0.0
