metric,value,diagnostic_label
total_tickers_attempted,503,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
good_tickers,497,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
failed_tickers,6,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
coverage_pct,98.8,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
date_range,2020-01-01 to 2026-04-30,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
price_file_mb,5.8,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
survivorship_bias_warning,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
