signal,state,active_in_state,state_total_weeks,diagnostic_label
broad_stock_bull_diagnostic,neutral_mixed,40,493,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
broad_stock_bull_diagnostic,calm_trend,46,295,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
broad_stock_bull_diagnostic,stressed_panic,0,229,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
broad_stock_bull_diagnostic,recovery_fragile,1,49,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
broad_stock_bull_diagnostic,recovery_confirmed,10,44,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
narrow_bull_warning_diagnostic,neutral_mixed,6,493,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
narrow_bull_warning_diagnostic,calm_trend,4,295,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
narrow_bull_warning_diagnostic,stressed_panic,27,229,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
narrow_bull_warning_diagnostic,recovery_fragile,1,49,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
narrow_bull_warning_diagnostic,recovery_confirmed,0,44,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_risk_on_diagnostic,neutral_mixed,80,493,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_risk_on_diagnostic,calm_trend,0,295,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_risk_on_diagnostic,stressed_panic,0,229,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_risk_on_diagnostic,recovery_fragile,0,49,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_risk_on_diagnostic,recovery_confirmed,0,44,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_chop_warning_diagnostic,neutral_mixed,394,493,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_chop_warning_diagnostic,calm_trend,0,295,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_chop_warning_diagnostic,stressed_panic,0,229,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_chop_warning_diagnostic,recovery_fragile,0,49,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_stock_chop_warning_diagnostic,recovery_confirmed,0,44,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_stock_confirmed_diagnostic,neutral_mixed,0,493,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_stock_confirmed_diagnostic,calm_trend,0,295,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_stock_confirmed_diagnostic,stressed_panic,0,229,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_stock_confirmed_diagnostic,recovery_fragile,8,49,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_stock_confirmed_diagnostic,recovery_confirmed,10,44,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
fake_recovery_warning_diagnostic,neutral_mixed,0,493,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
fake_recovery_warning_diagnostic,calm_trend,0,295,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
fake_recovery_warning_diagnostic,stressed_panic,0,229,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
fake_recovery_warning_diagnostic,recovery_fragile,2,49,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
fake_recovery_warning_diagnostic,recovery_confirmed,0,44,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
diagnostic_aggression_score_high,neutral_mixed,49,493,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
diagnostic_aggression_score_high,calm_trend,69,295,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
diagnostic_aggression_score_high,stressed_panic,2,229,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
diagnostic_aggression_score_high,recovery_fragile,2,49,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
diagnostic_aggression_score_high,recovery_confirmed,9,44,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
