state,portfolio,signal,signal_on_weeks,signal_off_weeks,mean_fwd_4w_on,mean_fwd_4w_off,lift_4w,diagnostic_label
neutral_mixed,ggg1,broad_stock_bull_diagnostic,40,79,0.00677,0.01021,-0.00344,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,ggg1,neutral_stock_risk_on_diagnostic,80,39,0.00853,0.01013,-0.0016,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,ggg1,diagnostic_aggression_score_high,49,70,0.00514,0.0118,-0.00666,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,phase4b_best,broad_stock_bull_diagnostic,40,79,0.00857,0.01024,-0.00168,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,phase4b_best,neutral_stock_risk_on_diagnostic,80,39,0.00969,0.00966,3e-05,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,phase4b_best,diagnostic_aggression_score_high,49,70,0.00723,0.01139,-0.00416,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,bench_60_40,broad_stock_bull_diagnostic,40,79,0.0026,0.00666,-0.00406,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,bench_60_40,neutral_stock_risk_on_diagnostic,80,39,0.00445,0.00703,-0.00258,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,bench_60_40,diagnostic_aggression_score_high,49,70,0.0057,0.00501,0.00069,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,spy,broad_stock_bull_diagnostic,10,10,0.02041,0.00765,0.01276,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,spy,neutral_stock_risk_on_diagnostic,0,20,,0.01403,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,spy,diagnostic_aggression_score_high,9,11,0.02161,0.00783,0.01378,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,qqq,broad_stock_bull_diagnostic,10,10,0.02524,0.01357,0.01167,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,qqq,neutral_stock_risk_on_diagnostic,0,20,,0.01941,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,qqq,diagnostic_aggression_score_high,9,11,0.02803,0.01235,0.01568,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,ggg1,broad_stock_bull_diagnostic,10,10,0.02072,0.01391,0.0068,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,ggg1,neutral_stock_risk_on_diagnostic,0,20,,0.01731,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,ggg1,diagnostic_aggression_score_high,9,11,0.01679,0.01774,-0.00096,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
