catalog_position_one_based,version_name
1,baseline_hrp_default
2,improved_hrp_selective
3,improved_hrp_recovery_tilt
4,improved_hrp_recovery_concentrated
5,baseline_max_div_default
6,improved_max_div_selective
7,improved_max_div_recovery_tilt
8,improved_inverse_vol_recovery_tilt
9,improved_herc_recovery_tilt
10,improved_hrp_recovery_split
11,improved_hrp_recovery_split_confirmed_offense
12,improved_hrp_recovery_split_confirmed_offense_neutral_ease
13,improved_hrp_neutral_ease
14,improved_hrp_fragile_participation
15,improved_hrp_beta_participation
16,improved_hrp_neutral_fragile_combo
17,improved_hrp_strength_weighted_selective
18,improved_hrp_good_state_offense
19,improved_hrp_layer3_expression_relax
20,improved_hrp_fragile_expression
21,improved_hrp_neutral_ease_beta_diag
22,improved_hrp_good_state_fragile_combo
23,improved_hrp_good_state_transition_aware
24,improved_hrp_good_state_stabilizer
25,improved_hrp_good_state_strong_offense
26,improved_hrp_good_state_mix_rotation
27,improved_hrp_good_state_combo_plus
28,improved_hrp_stacked_defense_continuous_overlay
29,improved_hrp_stacked_defense_self_gated_overlay
30,improved_hrp_stacked_defense_asymmetric_speed
31,improved_hrp_stacked_defense_continuous_self_gated_combo
32,improved_hrp_self_gated_relief_targeted
33,improved_hrp_continuous_overlay_careful
34,improved_hrp_targeted_relief_continuous_combo
35,improved_hrp_separate_canary_proxy
36,improved_hrp_threshold_recentering
37,improved_hrp_trend_horizon_ensemble
38,improved_hrp_cta_vol_managed_local
39,improved_hrp_non_self_gated_relief_narrow
40,improved_hrp_non_self_gated_relief_flat
41,improved_hrp_non_self_gated_relief_narrow_plus_confirmed
42,improved_hrp_confirmed_leadership
43,improved_hrp_calm_confirmed_leadership
44,improved_hrp_calm_confirmed_fragile_leadership
45,improved_hrp_overlay_cash_wider_cap
46,improved_hrp_overlay_cash_wider_cap_persistence_gated
47,improved_hrp_phase1_dynamic_risk_budget
48,improved_hrp_phase1_continuous_confidence
49,improved_hrp_phase1_confidence_gated
50,improved_hrp_phase1_internal_redeploy
51,improved_hrp_phase1_leadership
52,improved_hrp_phase1_combo_f_a_plus_e
53,improved_hrp_phase1_combo_g_a_e_d_restricted
54,improved_phase2a_erc_dynamic_risk_budget
55,improved_phase2a_principled_continuous_map
56,improved_phase2a_herc_dynamic_risk_budget
57,improved_phase2a_combo_erc_plus_principled_continuous
58,improved_phase2a_combo_herc_plus_principled_continuous
