entry_id,name,repository,head_commit,planned_environment,queue_status,track,batch,license_from_github,license_integration_status
ast-0054,pysystemtrade,robcarver17/pysystemtrade,b4a25e6e1e33a54a3ecfb45c0f6db5e2b60b84f8,python_container,ready,trade_buffering,8,GPL-3.0,concept_only_no_code_copy
ast-0056,vectorbt,polakowo/vectorbt,34b6d5935e3ea3eccd549e2592bc0f455b8045f5,python_container,ready,vectorbt_equivalence,13,LicenseRef-Commons-Clause,sandbox_only
ast-0006,QLib (Microsoft),microsoft/qlib,79633dd9506ea689e5400dea0197717b5b3d74b7,python_container,ready,machine_learning_sandbox,12,MIT,eligible_pending_tests
ast-0011,FinClaw,NeuZhou/finclaw,345d7c6a8ce31d547c14e6eede8cd1f6f8673673,python_container,ready,machine_learning_sandbox,12,MISSING,sandbox_only_until_license_resolved
ast-0076,ml-quant-trading,initial-d/ml-quant-trading,f157cc8203b8a9b14d0469813c297aa32e7fe107,python_container,ready,machine_learning_sandbox,12,MIT,eligible_pending_tests
ast-0183,cvxportfolio,cvxgrp/cvxportfolio,351c782b9b8b395c1a5f886b77e0d55f1bc9396e,python_container,ready,portfolio_libraries,11,GPL-3.0,concept_and_sandbox_only
ast-0184,skfolio,skfolio/skfolio,c06db8406385cf4bce83577d0f0710ee5a27e67e,python_container,ready,portfolio_libraries,11,BSD-3-Clause,eligible_pending_tests
ast-0185,Riskfolio-Lib,dcajasn/Riskfolio-Lib,632a9e48fbaf2b9f8e83864a492332364b6ed32c,python_container,ready,portfolio_libraries,11,BSD-3-Clause,eligible_pending_tests
ast-0186,Deepdow,jankrepl/deepdow,384e18acc17c982ac5a4362187b348bdbdb07b98,python_container,ready,machine_learning_sandbox,12,Apache-2.0,eligible_pending_tests
ast-0187,PyPortfolioOpt,robertmartin8/PyPortfolioOpt,a6638d2e06dae6f444fd022cfd4b3c528902a85b,python_container,ready,portfolio_libraries,11,MIT,eligible_pending_tests
