trial_id,batch,track,repository_entry_id,configuration_id,status,decision,reason,evidence_path
batch08-symmetric_0.000-10,8,trade_buffering,ast-0054,symmetric_0.000,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.000-25,8,trade_buffering,ast-0054,symmetric_0.000,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.000-50,8,trade_buffering,ast-0054,symmetric_0.000,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.000-100,8,trade_buffering,ast-0054,symmetric_0.000,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.010-10,8,trade_buffering,ast-0054,symmetric_0.010,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.010-25,8,trade_buffering,ast-0054,symmetric_0.010,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.010-50,8,trade_buffering,ast-0054,symmetric_0.010,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.010-100,8,trade_buffering,ast-0054,symmetric_0.010,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.025-10,8,trade_buffering,ast-0054,symmetric_0.025,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.025-25,8,trade_buffering,ast-0054,symmetric_0.025,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.025-50,8,trade_buffering,ast-0054,symmetric_0.025,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.025-100,8,trade_buffering,ast-0054,symmetric_0.025,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.050-10,8,trade_buffering,ast-0054,symmetric_0.050,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.050-25,8,trade_buffering,ast-0054,symmetric_0.050,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.050-50,8,trade_buffering,ast-0054,symmetric_0.050,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.050-100,8,trade_buffering,ast-0054,symmetric_0.050,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.100-10,8,trade_buffering,ast-0054,symmetric_0.100,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.100-25,8,trade_buffering,ast-0054,symmetric_0.100,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.100-50,8,trade_buffering,ast-0054,symmetric_0.100,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-symmetric_0.100-100,8,trade_buffering,ast-0054,symmetric_0.100,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-asymmetric_0.050_0.020-10,8,trade_buffering,ast-0054,asymmetric_0.050_0.020,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-asymmetric_0.050_0.020-25,8,trade_buffering,ast-0054,asymmetric_0.050_0.020,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-asymmetric_0.050_0.020-50,8,trade_buffering,ast-0054,asymmetric_0.050_0.020,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-asymmetric_0.050_0.020-100,8,trade_buffering,ast-0054,asymmetric_0.050_0.020,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-cost_aware_10bps-10,8,trade_buffering,ast-0054,cost_aware_10bps,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-cost_aware_25bps-25,8,trade_buffering,ast-0054,cost_aware_25bps,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-cost_aware_50bps-50,8,trade_buffering,ast-0054,cost_aware_50bps,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch08-cost_aware_100bps-100,8,trade_buffering,ast-0054,cost_aware_100bps,completed,retain_for_comparison,development-selected only after all rules ran,evidence/trade_buffering_batch_08/scoreboard.csv
batch09-baseline-10,9,fragility_guard,,baseline,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-baseline-25,9,fragility_guard,,baseline,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-baseline-50,9,fragility_guard,,baseline,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-baseline-100,9,fragility_guard,,baseline,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.50_b0.00-10,9,fragility_guard,,guard_s0.04_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.50_b0.00-25,9,fragility_guard,,guard_s0.04_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.50_b0.00-50,9,fragility_guard,,guard_s0.04_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
batch09-guard_s0.04_c0.50_b0.00-100,9,fragility_guard,,guard_s0.04_c0.50_b0.00,completed,retain_for_comparison,development-selected after every predeclared rule ran,evidence/fragility_guard_batch_09/scoreboard.csv
