date,market_state,market_state_stable,market_state_reason,risk_state,signal_environment,risk_regime_score,market_drawdown,market_trend_positive,breadth_sma_43,breadth_26w_mom,breadth_13w_mom,breadth_change_4w,canary_breadth_default,canary_breadth_pair,recent_stress_26w,avg_corr_risk_off_z,google_fear_z_tradable,transition_persistence_prob,transition_good_state_prob,transition_non_stress_prob,refined_state,z_dd_neg,z_breadth_decay,z_stress,z_corr,z_inv_trans,deterioration_z,deterioration_rank_neutral_mixed,confidence_score_p2b,defensive_overlay_hint,ggg1_gross_return,ggg1_net_return,ggg1_turnover,ggg1_cost,ggg1_wealth,ggg1_drawdown,production_gross_return,production_net_return,production_turnover,production_cost,production_wealth,production_drawdown,shadow_gross_return,shadow_net_return,shadow_turnover,shadow_cost,shadow_wealth,shadow_drawdown,p_regime_confidence,p_transition_quality,p_tail_risk,p_existing,p_stress_forecast,p_regime_confidence_refreshed,p_regime_confidence_blend25,ggg1_sleeve_weight_dual_momentum_topn,ggg1_sleeve_weight_cta_trend_long_only,ggg1_sleeve_weight_composite_selective_signals,ggg1_sleeve_weight_composite_regime_offense_component,ggg1_sleeve_weight_composite_regime_defense_component,ggg1_sleeve_weight_taa_10m_sma,ggg1_sleeve_weight_cash::BIL,qqq_active_int_efa_spy_strength_x_market_trend,qqq_active_int_market_trend_x_mom13,qqq_any_shortlist_rule_active,qqq_mean_shortlist_rule_active,ooo2_leadlag_EFA_minus_SPY_13w_signal,ooo2_leadlag_GLD_minus_SPY_13w_signal,ooo2_leadlag_DBA_minus_SPY_13w_signal,ooo2_leadlag_HYG_minus_LQD_13w_signal,ooo2_breadth_ret13_positive_signal,ooo2_breadth_ret26_positive_signal,ooo2_canary_breadth_pair_signal,ooo2_recent_stress_26w_signal,ooo2_market_drawdown_signal,ooo2_market_trend_positive_signal,ooo2_breadth_ret13_positive_x_recovery_confirmed_signal,ooo2_breadth_ret13_positive_x_neutral_mixed_signal,ooo2_breadth_ret13_positive_x_stressed_panic_signal,ooo2_leadlag_HYG_minus_LQD_13w_x_calm_trend_signal,ooo3event_efa_spy_raw_top20_event,ooo3event_efa_spy_raw_top10_event,ooo3event_efa_spy_raw_top30_event,ooo3event_efa_spy_vol_filtered_top20_event,ooo3event_efa_spy_low_or_normal_vol_top20_event,ooo3event_efa_spy_strength_scaled_score_event,ooo3event_efa_spy_drawdown_aware_top20_event,ooo3event_efa_spy_market_trend_confirmed_top20_event,ooo3event_market_trend_raw_event,ooo3event_market_trend_breadth_confirmed_event,ooo3event_market_trend_ex_high_vol_drawdown_event,ooo3event_market_trend_recent_stress_filtered_event,ooo3event_market_trend_calm_neutral_event,ooo3event_market_trend_vol_scaled_score_event,ooo3event_market_drawdown_top20_event,ooo3event_market_drawdown_vol_filtered_top20_event,ooo3event_leadlag_GLD_minus_SPY_13w_top20_event,ooo3event_leadlag_GLD_minus_SPY_13w_vol_filtered_top20_event,ooo3event_leadlag_DBA_minus_SPY_13w_top20_event,ooo3event_leadlag_DBA_minus_SPY_13w_vol_filtered_top20_event,ooo3event_breadth_ret13_positive_x_recovery_confirmed_top20_event,ooo3event_breadth_ret13_positive_x_recovery_confirmed_vol_filtered_top20_event,ooo3event_breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,state_run_id,state_age_weeks,state_run_length,state_dwell_bucket,prev_market_state,prev2_market_state,path2_current,path3_current,ggg1_fwd_return_4w,production_fwd_return_4w,shadow_fwd_return_4w,ggg1_future_min_path_return_4w,ggg1_fwd_return_8w,production_fwd_return_8w,shadow_fwd_return_8w,ggg1_future_min_path_return_8w,ggg1_trailing_vol_13w_lag1,ggg1_trailing_mean_260w_lag1,ggg1_expected_4w_from_trailing_mean,ggg1_minus_production_fwd_4w,ggg1_minus_shadow_fwd_4w
2005-01-07,neutral_mixed,neutral_mixed,mixed inputs,neutral,mixed,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32,new_state_1_2w,,,START->neutral_mixed,START->START->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2005-01-14,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0016880275919384,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,32,new_state_1_2w,neutral_mixed,,neutral_mixed->neutral_mixed,START->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2005-01-21,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0140150661794797,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,-0.0016880275919384,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,32,young_3_6w,neutral_mixed,neutral_mixed,neutral_mixed->neutral_mixed,neutral_mixed->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2005-01-28,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0085272625787478,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,-0.0140150661794797,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,32,young_3_6w,neutral_mixed,neutral_mixed,neutral_mixed->neutral_mixed,neutral_mixed->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2005-02-04,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,-0.0085272625787478,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,32,young_3_6w,neutral_mixed,neutral_mixed,neutral_mixed->neutral_mixed,neutral_mixed->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2005-02-11,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,32,young_3_6w,neutral_mixed,neutral_mixed,neutral_mixed->neutral_mixed,neutral_mixed->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2005-02-18,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0031462903133329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0089445588854462,-0.0142023845404176,-0.0192871286148364,-0.0148181550574274,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,32,mature_7_13w,neutral_mixed,neutral_mixed,neutral_mixed->neutral_mixed,neutral_mixed->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2005-02-25,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0250824136884977,0.0048865493440639,-0.0160750997540542,-0.0061580948920983,0.5714285714285714,0.0,0.0,0.0,-0.0031462903133329,0.0,0.0,0.5714285714285714,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,32,mature_7_13w,neutral_mixed,neutral_mixed,neutral_mixed->neutral_mixed,neutral_mixed->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
2005-03-04,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0280595329904358,0.0139029861951442,-0.0248149652227741,-0.0065170271024955,0.5428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.5428571428571428,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,32,mature_7_13w,neutral_mixed,neutral_mixed,neutral_mixed->neutral_mixed,neutral_mixed->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2005-03-11,neutral_mixed,neutral_mixed,mixed inputs,neutral,reversal_friendly,,-0.0190661274081795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,neutral_mixed,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0313437458657983,0.0001207419465277,-0.0357278466161865,-0.0041828152421712,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,32,mature_7_13w,neutral_mixed,neutral_mixed,neutral_mixed->neutral_mixed,neutral_mixed->neutral_mixed->neutral_mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
