target,model,bucket,n_obs,mean_prediction,positive_rate,avg_forward_return
ggg1_tail_risk_4w,decision_tree_depth3,0,87,0.05581409606091671,0.19540229885057472,0.007147935311874336
ggg1_tail_risk_4w,decision_tree_depth3,1,89,0.12250494642664705,0.4044943820224719,0.00024282256698182874
ggg1_tail_risk_4w,decision_tree_depth3,2,80,0.17763207449304091,0.1625,0.009022255301645266
ggg1_tail_risk_4w,decision_tree_depth3,3,91,0.21374598051415516,0.38461538461538464,0.004023180982251284
ggg1_tail_risk_4w,decision_tree_depth3,4,83,0.2488076715920178,0.40963855421686746,0.00011079755071823056
ggg1_tail_risk_4w,decision_tree_depth3,5,81,0.2839171958915245,0.24691358024691357,0.007294539596495889
ggg1_tail_risk_4w,decision_tree_depth3,6,89,0.3347851828517323,0.23595505617977527,0.0005200908773764817
ggg1_tail_risk_4w,decision_tree_depth3,7,81,0.3760232747667228,0.25925925925925924,0.0066221626495784
ggg1_tail_risk_4w,decision_tree_depth3,8,81,0.47880302075252335,0.1111111111111111,0.01256001834313465
ggg1_tail_risk_4w,decision_tree_depth3,9,84,0.6652874027337337,0.2261904761904762,0.009750683127353917
ggg1_tail_risk_4w,hist_gradient_depth3,0,85,0.029043948572283207,0.27058823529411763,0.0036963731417335105
ggg1_tail_risk_4w,hist_gradient_depth3,1,85,0.06417033482793742,0.3411764705882353,0.001110446239406197
ggg1_tail_risk_4w,hist_gradient_depth3,2,84,0.1115399067857405,0.32142857142857145,0.0020629251202451933
ggg1_tail_risk_4w,hist_gradient_depth3,3,85,0.1565317694679711,0.23529411764705882,0.004546635834830563
ggg1_tail_risk_4w,hist_gradient_depth3,4,84,0.2051327608110834,0.27380952380952384,0.004876432191334058
ggg1_tail_risk_4w,hist_gradient_depth3,5,85,0.26125207208331946,0.25882352941176473,0.006828720987476788
ggg1_tail_risk_4w,hist_gradient_depth3,6,84,0.3334754115027697,0.21428571428571427,0.008114815060933426
ggg1_tail_risk_4w,hist_gradient_depth3,7,85,0.42376225793572536,0.2235294117647059,0.008767417455077208
