target,model,split_id,feature,importance,abs_importance,importance_type,feature_family
stress_transition_4w,logistic_sequence_l2,0,risk_state_lag1_calm,1.105255229102814,1.105255229102814,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,recovery_count_last_13w,1.044893009429533,1.044893009429533,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,stress_memory_neutral_lag,0.957969173265189,0.957969173265189,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,risk_state_lag1_stressed,-0.9540376060299163,0.9540376060299163,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,time_since_last_recovery_confirmed,-0.6506162650765247,0.6506162650765247,coefficient,dwell_time
stress_transition_4w,logistic_sequence_l2,0,recent_transition_instability_lag,0.634843877400139,0.634843877400139,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,recovery_count_last_26w,-0.6229766755462306,0.6229766755462306,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,transition_volatility_last_13w,-0.5956152365570406,0.5956152365570406,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,state_changes_last_13w,-0.59561523655704,0.59561523655704,coefficient,other
stress_transition_4w,logistic_sequence_l2,0,state_entropy_last_13w,0.5408214347808398,0.5408214347808398,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,stress_count_last_13w,-0.5017901705892088,0.5017901705892088,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,recovery_count_last_8w,-0.4701592951701249,0.4701592951701249,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,refined_state_lag1_neutral_healthy,-0.38589693938502634,0.38589693938502634,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,recovery_fragile_after_stress_lag,0.34916780437995887,0.34916780437995887,coefficient,other
stress_transition_4w,logistic_sequence_l2,0,path3_lag_stressed_panic->neutral_mixed->neutral_mixed,0.33881983902194657,0.33881983902194657,coefficient,state_ngram
stress_transition_4w,logistic_sequence_l2,0,state_lag4_stressed_panic,0.31377025416097765,0.31377025416097765,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,refined_state_lag1_calm_trend,-0.29614575939794174,0.29614575939794174,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,state_lag1_calm_trend,-0.29614575939794174,0.29614575939794174,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,stress_count_last_4w,0.29466628433832187,0.29466628433832187,coefficient,state_memory
stress_transition_4w,logistic_sequence_l2,0,path4_lag_stressed_panic->stressed_panic->stressed_panic->stressed_panic,0.28417410424289685,0.28417410424289685,coefficient,state_ngram
stress_transition_4w,logistic_sequence_l2,0,refined_state_lag1_neutral_deteriorating,0.26920161402651244,0.26920161402651244,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,state_age_lag1,0.25780532491518376,0.25780532491518376,coefficient,dwell_time
stress_transition_4w,logistic_sequence_l2,0,state_lag4_calm_trend,-0.25566250282061315,0.25566250282061315,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,state_lag1_stressed_panic,0.24099463756329711,0.24099463756329711,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,refined_state_lag1_stressed_panic,0.24099463756329711,0.24099463756329711,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,path2_lag_calm_trend->calm_trend,-0.23913583915428283,0.23913583915428283,coefficient,state_ngram
stress_transition_4w,logistic_sequence_l2,0,state_lag2_calm_trend,-0.2366167417120006,0.2366167417120006,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,state_lag2_stressed_panic,0.22730371248404488,0.22730371248404488,coefficient,state_identity
stress_transition_4w,logistic_sequence_l2,0,path4_lag_neutral_mixed->neutral_mixed->neutral_mixed->stressed_panic,0.224782784901637,0.224782784901637,coefficient,state_ngram
stress_transition_4w,logistic_sequence_l2,0,path3_lag_neutral_mixed->neutral_mixed->stressed_panic,0.22478278490163678,0.22478278490163678,coefficient,state_ngram
stress_transition_4w,logistic_sequence_l2,0,path3_lag_recovery_fragile->neutral_mixed->neutral_mixed,-0.2205334832480626,0.2205334832480626,coefficient,state_ngram
stress_transition_4w,logistic_sequence_l2,0,path3_lag_stressed_panic->stressed_panic->stressed_panic,0.21811270291374227,0.21811270291374227,coefficient,state_ngram
stress_transition_4w,logistic_sequence_l2,0,path3_lag_calm_trend->calm_trend->calm_trend,-0.20546866151361684,0.20546866151361684,coefficient,state_ngram
stress_transition_4w,logistic_sequence_l2,0,path4_lag_neutral_mixed->neutral_mixed->stressed_panic->neutral_mixed,0.191409410191532,0.191409410191532,coefficient,state_ngram
