row_type,market_state,state_dwell_bucket,n_weeks,weekly_mean,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,avg_fwd_return_4w,avg_fwd_return_8w,stress_transition_4w_rate,stress_transition_8w_rate,refined_state
current_state_x_dwell_bucket,calm_trend,mature_7_13w,78,0.00015931474081734275,0.008318111514160176,0.079027063467879,0.10525649251210151,-0.07422773267386296,-0.024501353983016474,0.004384426614050881,0.008653940534858545,0.0,0.01282051282051282,
current_state_x_dwell_bucket,calm_trend,new_state_1_2w,76,0.0012754620568846515,0.0685277495425698,0.06876416507013046,0.99656193705952,-0.04688089275924512,-0.02380839817823965,0.004102671700967156,0.016221472094737385,0.0,0.039473684210526314,
current_state_x_dwell_bucket,calm_trend,old_14w_plus,50,0.0011603310491060358,0.062157520317538406,0.10120848737581882,0.614153238816109,-0.06575358196655212,-0.033254506797934395,-0.0015555193160039394,0.00422521963258629,0.06,0.12,
current_state_x_dwell_bucket,calm_trend,young_3_6w,91,0.0008548262727054168,0.04543386186707976,0.0739897926221792,0.6140558076582647,-0.07709841896116931,-0.02602095747542176,0.010272565711947446,0.011679789186896165,0.04395604395604396,0.08791208791208792,
current_state_x_dwell_bucket,neutral_mixed,mature_7_13w,103,0.0004547035186948175,0.023920829783245834,0.07710096149864204,0.31025332652521,-0.08972538487247272,-0.02664962869766108,0.003488559060349044,0.005756368489484457,0.14563106796116504,0.30097087378640774,
current_state_x_dwell_bucket,neutral_mixed,new_state_1_2w,162,0.002877954043839222,0.16118225849716405,0.08074588801789159,1.9961667702688395,-0.05021915108776598,-0.02272444431775861,0.007689712541458371,0.014918693503895183,0.175,0.2125,
current_state_x_dwell_bucket,neutral_mixed,old_14w_plus,86,0.0017772952827008908,0.09673471423666125,0.07584998314890996,1.2753425936397378,-0.04743542566544734,-0.02640461868588706,0.0030420637994599264,0.007858724750645767,0.20930232558139536,0.27710843373493976,
current_state_x_dwell_bucket,neutral_mixed,young_3_6w,142,0.002608552386861116,0.1450726823180355,0.0706942022005374,2.052115701178854,-0.07470590720722003,-0.01992769172343173,0.007773873637581131,0.01171374618358781,0.14788732394366197,0.2112676056338028,
current_state_x_dwell_bucket,recovery_confirmed,new_state_1_2w,30,0.0020037038245210225,0.10969849527619413,0.07474334521617607,1.4676690608229965,-0.03718947092924896,-0.0197428283985219,0.013249638374460911,0.027720177875645714,0.0,0.0,
current_state_x_dwell_bucket,recovery_confirmed,young_3_6w,14,-0.002594386081070784,-0.12635693684769966,0.06634540147631911,-1.9045319500071256,-0.058883344789412484,,0.023945424915634783,0.0430810383524185,0.0,0.0,
current_state_x_dwell_bucket,recovery_fragile,new_state_1_2w,34,0.0015810629627148849,0.08561901899413726,0.05341769462161679,1.6028213048245143,-0.02136969735954597,-0.0143548634245116,0.0023070327623233217,0.010606382773003369,0.11764705882352941,0.23529411764705882,
current_state_x_dwell_bucket,recovery_fragile,young_3_6w,15,0.0005784278086835802,0.030526204927214584,0.06633320951025895,0.46019490316526096,-0.04771582703334254,,0.007005029774331957,0.020368180556035488,0.06666666666666667,0.2,
current_state_x_dwell_bucket,stressed_panic,mature_7_13w,64,0.0009459501161193838,0.05039486495473011,0.03315474983283823,1.5199892989334622,-0.025127895813298662,-0.00992027985609275,0.005666243371120223,0.010867731992453226,0.109375,0.171875,
current_state_x_dwell_bucket,stressed_panic,new_state_1_2w,49,-0.0001280823041293327,-0.006638573046861662,0.11292064299139169,-0.058789720559488334,-0.1268843573329197,-0.048564096645016507,0.003244538847426509,0.005975192886473807,0.20833333333333334,0.3404255319148936,
current_state_x_dwell_bucket,stressed_panic,old_14w_plus,63,0.0005688064104768572,0.03001104395892873,0.04530609603013278,0.6624063114810992,-0.03947191989906351,-0.010832005755471125,0.0011459808128664018,0.003767386892057714,0.06349206349206349,0.19047619047619047,
current_state_x_dwell_bucket,stressed_panic,young_3_6w,53,0.0014541942008880482,0.0784913538550649,0.0907861678868933,0.8645739288484343,-0.07157870083128837,-0.019488354432548465,0.0016814807579850922,0.00648122257199825,0.07547169811320754,0.3018867924528302,
refined_state_x_dwell_bucket,,mature_7_13w,78,0.00015931474081734275,0.008318111514160176,0.079027063467879,0.10525649251210151,-0.07422773267386296,-0.024501353983016474,0.004384426614050881,0.008653940534858545,0.0,0.01282051282051282,calm_trend
refined_state_x_dwell_bucket,,new_state_1_2w,76,0.0012754620568846515,0.0685277495425698,0.06876416507013046,0.99656193705952,-0.04688089275924512,-0.02380839817823965,0.004102671700967156,0.016221472094737385,0.0,0.039473684210526314,calm_trend
refined_state_x_dwell_bucket,,old_14w_plus,50,0.0011603310491060358,0.062157520317538406,0.10120848737581882,0.614153238816109,-0.06575358196655212,-0.033254506797934395,-0.0015555193160039394,0.00422521963258629,0.06,0.12,calm_trend
refined_state_x_dwell_bucket,,young_3_6w,91,0.0008548262727054168,0.04543386186707976,0.0739897926221792,0.6140558076582647,-0.07709841896116931,-0.02602095747542176,0.010272565711947446,0.011679789186896165,0.04395604395604396,0.08791208791208792,calm_trend
refined_state_x_dwell_bucket,,mature_7_13w,32,9.102182424586833e-05,0.004744137418805527,0.06806861023789379,0.06969640488068121,-0.05027327698405171,-0.02004514762640705,0.005395943515106458,0.012511676642753877,0.1875,0.34375,neutral_deteriorating
refined_state_x_dwell_bucket,,new_state_1_2w,63,0.0020456448000122666,0.11211641102599845,0.07792859156647086,1.4387070107685234,-0.05025829715953212,-0.01787267782882085,0.005048979965183862,0.008209506341193386,0.36065573770491804,0.4098360655737705,neutral_deteriorating
refined_state_x_dwell_bucket,,old_14w_plus,20,0.0031158823915147997,0.17559450423403833,0.08878010582997832,1.9778586947206076,-0.03008735124301032,-0.0202456001158186,0.009621900185521276,0.010229681638132222,0.2,0.15789473684210525,neutral_deteriorating
refined_state_x_dwell_bucket,,young_3_6w,56,0.001649379255440959,0.08947624023589196,0.07635699249879739,1.1718146211337643,-0.07914761484026833,-0.026070345017908402,0.0065886904936044,0.007839743438717387,0.26785714285714285,0.32142857142857145,neutral_deteriorating
refined_state_x_dwell_bucket,,mature_7_13w,40,0.0011460020432380823,0.06136730361428078,0.1003229026635967,0.6116978475000664,-0.08919238546929031,-0.0327940074625507,0.004025215344735503,0.0041278824641370945,0.2,0.375,neutral_healthy
refined_state_x_dwell_bucket,,new_state_1_2w,76,0.0038786037552555573,0.22298827669243448,0.08866048194146282,2.5150808095049633,-0.05776115632983192,-0.028936229063835202,0.010411710336652094,0.02188111978459507,0.013157894736842105,0.02631578947368421,neutral_healthy
refined_state_x_dwell_bucket,,old_14w_plus,35,0.0028599212399171283,0.1600970334869678,0.08043989899049314,1.990268952300512,-0.032457059362679175,-0.0291178845386536,0.0032320372774855555,0.013816509400736246,0.17142857142857143,0.24242424242424243,neutral_healthy
refined_state_x_dwell_bucket,,young_3_6w,59,0.00415942761101858,0.24090587523000906,0.07414276917684805,3.2492160449981515,-0.03366231422465782,-0.0162358262075344,0.010229676509512894,0.017847306010400136,0.01694915254237288,0.1016949152542373,neutral_healthy
refined_state_x_dwell_bucket,,mature_7_13w,31,-6.18812154782226e-05,-0.00321275080605099,0.0439174747199636,-0.07315427006076393,-0.020861974051786247,-0.01780810141293325,0.0008271863530040251,0.0008844194607513297,0.03225806451612903,0.16129032258064516,neutral_mixed
refined_state_x_dwell_bucket,,new_state_1_2w,23,0.0018512629261634261,0.10095355827338293,0.054666586359479706,1.8467141447158721,-0.016388248579520148,-0.0127217113588812,0.005698967094415854,0.009706346529617717,0.21739130434782608,0.30434782608695654,neutral_mixed
refined_state_x_dwell_bucket,,old_14w_plus,31,-0.00030862893274577095,-0.015923047826958192,0.056698965009795634,-0.2808348939739418,-0.040745085864532515,-0.02317794450657095,-0.0014174781183505254,6.339977273517317e-05,0.25806451612903225,0.3870967741935484,neutral_mixed
refined_state_x_dwell_bucket,,young_3_6w,27,0.0012089989473884667,0.06484577048400952,0.04128809914766501,1.5705680770648118,-0.012688229993200073,-0.011861376004175452,0.004865647216052349,0.006345750773618052,0.18518518518518517,0.2222222222222222,neutral_mixed
refined_state_x_dwell_bucket,,new_state_1_2w,30,0.0020037038245210225,0.10969849527619413,0.07474334521617607,1.4676690608229965,-0.03718947092924896,-0.0197428283985219,0.013249638374460911,0.027720177875645714,0.0,0.0,recovery_confirmed
refined_state_x_dwell_bucket,,young_3_6w,14,-0.002594386081070784,-0.12635693684769966,0.06634540147631911,-1.9045319500071256,-0.058883344789412484,,0.023945424915634783,0.0430810383524185,0.0,0.0,recovery_confirmed
refined_state_x_dwell_bucket,,new_state_1_2w,34,0.0015810629627148849,0.08561901899413726,0.05341769462161679,1.6028213048245143,-0.02136969735954597,-0.0143548634245116,0.0023070327623233217,0.010606382773003369,0.11764705882352941,0.23529411764705882,recovery_fragile
refined_state_x_dwell_bucket,,young_3_6w,15,0.0005784278086835802,0.030526204927214584,0.06633320951025895,0.46019490316526096,-0.04771582703334254,,0.007005029774331957,0.020368180556035488,0.06666666666666667,0.2,recovery_fragile
refined_state_x_dwell_bucket,,mature_7_13w,64,0.0009459501161193838,0.05039486495473011,0.03315474983283823,1.5199892989334622,-0.025127895813298662,-0.00992027985609275,0.005666243371120223,0.010867731992453226,0.109375,0.171875,stressed_panic
refined_state_x_dwell_bucket,,new_state_1_2w,49,-0.0001280823041293327,-0.006638573046861662,0.11292064299139169,-0.058789720559488334,-0.1268843573329197,-0.048564096645016507,0.003244538847426509,0.005975192886473807,0.20833333333333334,0.3404255319148936,stressed_panic
refined_state_x_dwell_bucket,,old_14w_plus,63,0.0005688064104768572,0.03001104395892873,0.04530609603013278,0.6624063114810992,-0.03947191989906351,-0.010832005755471125,0.0011459808128664018,0.003767386892057714,0.06349206349206349,0.19047619047619047,stressed_panic
refined_state_x_dwell_bucket,,young_3_6w,53,0.0014541942008880482,0.0784913538550649,0.0907861678868933,0.8645739288484343,-0.07157870083128837,-0.019488354432548465,0.0016814807579850922,0.00648122257199825,0.07547169811320754,0.3018867924528302,stressed_panic
