version,state,n_weeks,ann_return,sharpe,max_dd
improved_phase2b_regime_confidence_boost,calm_trend,295,0.03558351868547227,0.38492758455722786,-0.16468334175541033
improved_phase2b_regime_confidence_boost,neutral_mixed,493,0.11043252730450281,1.4636780756082162,-0.08966981616920844
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,0.026147257209693242,0.38912386726476333,-0.049659472655325
improved_phase2b_regime_confidence_boost,recovery_fragile,49,0.06973508185847388,1.3304864198616866,-0.03088452173353262
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.03369319983341135,0.4978150573949313,-0.12080985474854333
improved_phaseyy_conservative_decomposition,calm_trend,295,0.04279054667757021,0.5433273564968766,-0.13594935513779172
improved_phaseyy_conservative_decomposition,neutral_mixed,493,0.1093011212049424,1.4549012878511045,-0.0894913426629671
improved_phaseyy_conservative_decomposition,recovery_confirmed,44,0.015280365036848043,0.21598369668030998,-0.05440771505019604
improved_phaseyy_conservative_decomposition,recovery_fragile,49,0.0579258387079431,1.0112112961837558,-0.03555558556500649
improved_phaseyy_conservative_decomposition,stressed_panic,229,0.03571630258452396,0.48310263286637595,-0.12144563670115471
improved_phasezz_recovery_offense_rebudget,calm_trend,295,0.042388084659215286,0.5380147314190663,-0.13572352815878552
improved_phasezz_recovery_offense_rebudget,neutral_mixed,493,0.11020120096169728,1.4629725976457812,-0.08990818152594116
improved_phasezz_recovery_offense_rebudget,recovery_confirmed,44,0.015538539252774042,0.21661053852452242,-0.05399178512298741
improved_phasezz_recovery_offense_rebudget,recovery_fragile,49,0.06471436671791286,1.1279632335462015,-0.033884732088853675
improved_phasezz_recovery_offense_rebudget,stressed_panic,229,0.035691331254136704,0.48209462539876824,-0.12157094559450887
improved_phasezz_recovery_neutral_offense_rebudget,calm_trend,295,0.042236232998524637,0.5352805209438481,-0.1364237692071868
improved_phasezz_recovery_neutral_offense_rebudget,neutral_mixed,493,0.1108014029299298,1.456409964763562,-0.09127393955944119
improved_phasezz_recovery_neutral_offense_rebudget,recovery_confirmed,44,0.01706865567196858,0.23700322866360185,-0.05302063996220352
improved_phasezz_recovery_neutral_offense_rebudget,recovery_fragile,49,0.06614833350853644,1.1487331560221232,-0.03358925064018636
improved_phasezz_recovery_neutral_offense_rebudget,stressed_panic,229,0.035710764606007306,0.48072099749377745,-0.12153028041703973
improved_phasezz_confirmed_freer_fragile_conservative,calm_trend,295,0.04223480390122858,0.5358055051575963,-0.1357381602760077
improved_phasezz_confirmed_freer_fragile_conservative,neutral_mixed,493,0.11048998181252867,1.463208412400606,-0.08968593288098847
improved_phasezz_confirmed_freer_fragile_conservative,recovery_confirmed,44,0.015566985296749491,0.21560879568967645,-0.05409484981787993
improved_phasezz_confirmed_freer_fragile_conservative,recovery_fragile,49,0.06272382055852588,1.0931571027905667,-0.03401771518919161
improved_phasezz_confirmed_freer_fragile_conservative,stressed_panic,229,0.035687500609748124,0.48220164305168656,-0.12152457213802748
improved_phasezz_conservative_decomposition_repair,calm_trend,295,0.042563937468028,0.54030714253035,-0.1358592737470069
improved_phasezz_conservative_decomposition_repair,neutral_mixed,493,0.10977609233164576,1.4588102589235048,-0.08962443918923135
improved_phasezz_conservative_decomposition_repair,recovery_confirmed,44,0.01550555025891276,0.217655868570696,-0.053912389242279146
improved_phasezz_conservative_decomposition_repair,recovery_fragile,49,0.061037649373353986,1.065259180641806,-0.03474713182700273
improved_phasezz_conservative_decomposition_repair,stressed_panic,229,0.03570415502364477,0.4826185742997447,-0.12149614635797223
