version,state,avg_offensive_total,avg_defensive_total,avg_explicit_cash,defense_to_offense_ratio
improved_phase2b_regime_confidence_boost,recovery_confirmed,0.42720297040177857,0.17788775316154726,0.06383761565651909,0.41640102126220296
improved_phase2b_regime_confidence_boost,recovery_fragile,0.45843794814584216,0.13906982567823584,0.12351317074439858,0.3033558330864743
improved_phaseyy_conservative_decomposition,recovery_confirmed,0.5553436730832169,0.37178930246247466,0.07286702445430811,0.6694760748751034
improved_phaseyy_conservative_decomposition,recovery_fragile,0.4789499073115448,0.39152195064929507,0.1295281420391599,0.8174590801092273
improved_phasezz_recovery_offense_rebudget,recovery_confirmed,0.5910660310263304,0.3311064126669642,0.07782755630670517,0.560185149012927
improved_phasezz_recovery_offense_rebudget,recovery_fragile,0.5060156185001563,0.36314389376705647,0.13084048773278695,0.7176535278563626
improved_phasezz_recovery_neutral_offense_rebudget,recovery_confirmed,0.5946623190078818,0.3265644171367822,0.07877326385533566,0.5491594249348324
improved_phasezz_recovery_neutral_offense_rebudget,recovery_fragile,0.5094072078861388,0.35975400852638095,0.13083878358747994,0.7062208837193998
improved_phasezz_confirmed_freer_fragile_conservative,recovery_confirmed,0.6101949511240721,0.30910293425234053,0.08070211462358705,0.5065642278470608
improved_phasezz_confirmed_freer_fragile_conservative,recovery_fragile,0.4994355348468637,0.3702943784061127,0.13027008674702328,0.7414257748392931
improved_phasezz_conservative_decomposition_repair,recovery_confirmed,0.5786405362746477,0.3454985570217256,0.07586090670362626,0.5970866805255017
improved_phasezz_conservative_decomposition_repair,recovery_fragile,0.49296011627706954,0.376989223837658,0.13005065988527226,0.7647458919897085
