Date,gross_return,net_return,turnover,cost,adverse_loss,wealth,drawdown
2023-01-06,0.05150585023876286,0.04650585023876297,1.0,0.005,0.0,1.046505850238763,0.0
2023-01-13,0.002010437734401904,0.002010437734401904,0.0,0.0,0.0,1.0486097850893554,0.0
2023-01-20,0.0312216099926772,0.0312216099926772,0.0,0.0,0.0,1.0813490708339204,0.0
2023-01-27,0.02294388928114688,0.02294388928114688,0.0,0.0,0.0,1.1061594241894048,0.0
2023-02-03,-0.03121120643309927,-0.03121120643309927,0.0,0.0,0.0,1.071634854053111,-0.03121120643309927
2023-02-10,-0.012663157638056477,-0.012663157638056477,0.0,0.0,0.0,1.058064572965801,-0.04347913164401951
2023-02-17,-0.012031781139011488,-0.012031781139011488,0.0,0.0,0.0,1.0453341715929347,-0.05498778138697591
2023-02-24,0.03527499065626838,0.03527499065626838,0.0,0.0,0.0,1.0822083247285534,-0.02165248420534205
2023-03-03,-0.04917818078978353,-0.04917818078978353,0.0,0.0,0.0,1.028987288082844,-0.06976583521232738
2023-03-10,-0.017729896426565528,-0.017729896426565528,0.0,0.0,0.0,1.0107434500408825,-0.08625879060646546
2023-03-17,0.022724704427053544,0.022724704427053544,0.0,0.0,0.0,1.0337122961946419,-0.06549429170017906
2023-03-24,0.036043620574927715,0.036043620574927715,0.0,0.0,0.0,1.0709710299823187,-0.031811322525116315
2023-03-31,-0.02449592764130637,-0.02449592764130637,0.0,0.0,0.0,1.0447366011259365,-0.05552800231167321
2023-04-07,0.018215907079490945,0.016037839565036682,0.4356135028908164,0.002178067514454082,0.0,1.061491919122516,-0.040380711939077996
2023-04-14,-0.02848608623711535,-0.02848608623711535,0.0,0.0,0.0,1.031254168774391,-0.06771650973358068
2023-04-21,-0.014590815730270212,-0.014590815730270212,0.0,0.0,0.0,1.0162073292267308,-0.08131928634843122
2023-04-28,-0.01238232170254161,-0.01238232170254161,0.0,0.0,0.0,1.0036243231597648,-0.09269468648678547
2023-05-05,0.0242431034545616,0.0242431034545616,0.0,0.0,0.0,1.0279552914556414,-0.07069878990641121
2023-05-12,0.05299685046418179,0.05299685046418179,0.0,0.0,0.0,1.0824336843207805,-0.021448752638898005
2023-05-19,0.01943987952446191,0.01943987952446191,0.0,0.0,0.0,1.103476064737196,-0.00242583428168619
2023-05-26,0.023630255204107886,0.023630255204107886,0.0,0.0,0.0,1.1295514857585607,0.0
2023-06-02,0.011595981817398515,0.011595981817398515,0.0,0.0,0.0,1.1426497442492325,0.0
2023-06-09,-0.003503050159539556,-0.003503050159539556,0.0,0.0,0.0,1.1386469848803424,-0.003503050159539556
2023-06-16,-0.01065901692409743,-0.01065901692409743,0.0,0.0,0.0,1.1265101273979303,-0.014124728012700483
2023-06-23,0.05916865669997029,0.05916865669997029,0.0,0.0,0.0,1.1931642183949782,0.0
2023-06-30,-0.023371610013867783,-0.023371610013867783,0.0,0.0,0.0,1.1652780496001494,-0.023371610013867783
2023-07-07,0.011587091336243027,0.008238817975749102,0.6696546720988045,0.0033482733604940224,0.0,1.174878563341941,-0.01532534647882311
2023-07-14,0.007235821456098801,0.007235821456098801,0.0,0.0,0.0,1.1833797748588812,-0.008200416493597817
2023-07-21,0.006430600466564407,0.006430600466564407,0.0,0.0,0.0,1.1909896173912116,-0.0018225496291632837
2023-07-28,-0.007106728610668744,-0.007106728610668744,0.0,0.0,0.0,1.182525577402288,-0.008916325874238074
2023-08-04,-0.03322413239459099,-0.03322413239459099,0.0,0.0,0.0,1.1432371910586843,-0.04184422107751007
2023-08-11,-0.026862040246194874,-0.026862040246194874,0.0,0.0,0.0,1.112527507621519,-0.06758224017305015
2023-08-18,0.001745794384337973,0.001745794384337973,0.0,0.0,0.0,1.1144697518967464,-0.06595443048408722
2023-08-25,0.04621212706361866,0.04621212706361866,0.0,0.0,0.0,1.1659717696799583,-0.022790197942407886
2023-09-01,-0.04254329685343394,-0.04254329685343394,0.0,0.0,0.0,1.1163674865597402,-0.06436392463942942
2023-09-08,-0.012491607923044046,-0.012491607923044046,0.0,0.0,0.0,1.1024222616196018,-0.07605152365148926
2023-09-15,-0.017180447026119205,-0.017180447026119205,0.0,0.0,0.0,1.0834821543534316,-0.0919253715042585
2023-09-22,0.021424526646725228,0.021424526646725228,0.0,0.0,0.0,1.106695246640628,-0.07247030242883645
2023-09-29,-0.0045109442892297125,-0.0045109442892297125,0.0,0.0,0.0,1.1017030060378767,-0.07665433722118598
2023-10-06,0.016113483765165526,0.013179163160863316,0.5868641208604776,0.0029343206043023883,0.0,1.1162225297092634,-0.0644854140775486
2023-10-13,-0.016392433948613117,-0.016392433948613117,0.0,0.0,0.0,1.0979249256190504,-0.07982077513524655
2023-10-20,-0.03752403232977142,-0.03752403232977142,0.0,0.0,0.0,1.0567263552144592,-0.11434961011825562
