version,role,from_stage,to_stage,market_state,delta_cash,delta_offense,delta_defense,delta_real_asset,drag_flag,interpretation
improved_phaseggg_confirmed_only_robust_offense,production_candidate,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,calm_trend,0.009205273831963142,-0.008305199472648279,-0.0009000743593148575,0.0,NEUTRAL,neutral/review
improved_phaseggg_confirmed_only_robust_offense,production_candidate,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,neutral_mixed,0.09274365701656483,-0.05655240152272646,-0.0361912554938384,0.0,ACCIDENTAL_GOOD_STATE_DRAG,accidental bottleneck
improved_phaseggg_confirmed_only_robust_offense,production_candidate,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,recovery_confirmed,0.08427027380857775,-0.05762464774105261,-0.026645626067525244,0.0,ACCIDENTAL_GOOD_STATE_DRAG,accidental bottleneck
improved_phaseggg_confirmed_only_robust_offense,production_candidate,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,recovery_fragile,0.13020046748786923,-0.085690364814473,-0.04451010267339633,0.0,ACCIDENTAL_GOOD_STATE_DRAG,accidental bottleneck
improved_phaseggg_confirmed_only_robust_offense,production_candidate,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,stressed_panic,0.5005012321153275,-0.25290324417707044,-0.24759798793825719,0.0,STRESS_PROTECTION,intended protection
improved_phase2b_regime_confidence_boost,production,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,calm_trend,0.0063977817154469915,-0.0018540049326072978,-0.0015881947202139785,0.0,NEUTRAL,neutral/review
improved_phase2b_regime_confidence_boost,production,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,neutral_mixed,0.08734059670573714,-0.04240869198125153,-0.01295075405489242,0.0,NEEDS_REVIEW,neutral/review
improved_phase2b_regime_confidence_boost,production,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,recovery_confirmed,0.06383761565651909,-0.029221049195018087,-0.011111075902652794,0.0,NEEDS_REVIEW,neutral/review
improved_phase2b_regime_confidence_boost,production,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,recovery_fragile,0.12351317074439858,-0.07737150622756749,-0.014940441083955185,0.0,ACCIDENTAL_GOOD_STATE_DRAG,accidental bottleneck
improved_phase2b_regime_confidence_boost,production,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,stressed_panic,0.5005910974661116,-0.23333958303047542,-0.07672396668712225,0.0,STRESS_PROTECTION,intended protection
improved_phase2b_combo_abc,official_shadow,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,calm_trend,0.00782245346217838,-0.002645487367578647,-0.0018652942445232838,0.0,NEUTRAL,neutral/review
improved_phase2b_combo_abc,official_shadow,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,neutral_mixed,0.08922448964454596,-0.04342281981605608,-0.013096826669948587,0.0,NEEDS_REVIEW,neutral/review
improved_phase2b_combo_abc,official_shadow,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,recovery_confirmed,0.06373368696666491,-0.029706054624242154,-0.01112443829328491,0.0,NEEDS_REVIEW,neutral/review
improved_phase2b_combo_abc,official_shadow,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,recovery_fragile,0.13461722638562235,-0.08300902563700453,-0.016135941623854642,0.0,ACCIDENTAL_GOOD_STATE_DRAG,accidental bottleneck
improved_phase2b_combo_abc,official_shadow,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,stressed_panic,0.5007839938694457,-0.23340651764691067,-0.07676755873496824,0.0,STRESS_PROTECTION,intended protection
