component,role_flag,needs_redesign,reason
composite_regime_offense_component,INSUFFICIENT_DATA,UNKNOWN,component return/position panel not persisted
composite_regime_defense_component,INSUFFICIENT_DATA,UNKNOWN,component return/position panel not persisted
composite_regime_cash_component,INSUFFICIENT_DATA,UNKNOWN,component return/position panel not persisted
