version,role,market_state,sleeve,BIL_contribution,SPY_contribution,offense_contribution,defense_contribution,cash_contribution,real_asset_contribution,mixed_sleeve_proxy
improved_phase2b_regime_confidence_boost,production,calm_trend,dual_momentum_topn,0.0005977248920936817,0.03273153587134893,0.10183292438606167,0.015323489471127955,0.0005977248920936817,0.02554939361725957,False
improved_phase2b_combo_abc,official_shadow,calm_trend,dual_momentum_topn,0.0005942207417018224,0.03267977749324735,0.1017104838658074,0.015271862445527626,0.0005942207417018224,0.025535348050317614,False
improved_phase2b_regime_confidence_boost,production,calm_trend,taa_10m_sma,0.0,0.027144370991431518,0.10018744649787466,0.04106553203210107,0.0,0.0281988825546915,False
improved_phase2b_combo_abc,official_shadow,calm_trend,taa_10m_sma,0.0,0.027089902765712194,0.09998894624750293,0.04099104285243284,0.0,0.02819477246042216,False
improved_phase2b_regime_confidence_boost,production,recovery_confirmed,taa_10m_sma,0.0,0.026516090110748715,0.09029935214373275,0.04948931555916056,0.0,0.03809908545865389,False
improved_phase2b_combo_abc,official_shadow,recovery_confirmed,taa_10m_sma,0.0,0.02648796089638401,0.09030804239482035,0.04941902667033376,0.0,0.03814732170576098,False
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,dual_momentum_topn,0.0004932914502355003,0.02627918495122954,0.08717975985102407,0.013238608842985942,0.0004932914502355003,0.021773561399134528,False
improved_phase2b_regime_confidence_boost,production,recovery_fragile,taa_10m_sma,0.0,0.025420554934695676,0.07813792175412253,0.04019827394858198,0.0,0.020733629975531298,False
improved_phase2b_combo_abc,official_shadow,recovery_fragile,taa_10m_sma,0.0,0.025231327936308657,0.07749938672693231,0.039852474219781595,0.0,0.02052246419162245,False
improved_phase2b_regime_confidence_boost,production,neutral_mixed,taa_10m_sma,0.00046855977312767707,0.024438730847462016,0.07676760841031201,0.03582074828916172,0.00046855977312767707,0.021661208514923567,False
improved_phase2b_combo_abc,official_shadow,neutral_mixed,taa_10m_sma,0.0004685293509185937,0.024383305941393704,0.0767109085914302,0.03575380552956586,0.0004685293509185937,0.02163880890055415,False
improved_phaseggg_confirmed_only_robust_offense,production_candidate,calm_trend,taa_10m_sma,0.0,0.023844576991023304,0.0865523996857546,0.035895011321969816,0.0,0.025873521203249056,False
improved_phase2b_regime_confidence_boost,production,neutral_mixed,dual_momentum_topn,0.0023448528193583933,0.02170030337610453,0.06261025458447272,0.016810618352595043,0.0023448528193583933,0.022522787551685387,False
improved_phase2b_combo_abc,official_shadow,neutral_mixed,dual_momentum_topn,0.0023374692228596873,0.021678340463858907,0.06256329234985182,0.016726945294349264,0.0023374692228596873,0.022432008599093004,False
improved_phaseggg_confirmed_only_robust_offense,production_candidate,recovery_fragile,taa_10m_sma,0.0,0.021593688430109368,0.07139803568271264,0.03292621747668069,0.0,0.019386853935892484,False
improved_phase2b_regime_confidence_boost,production,recovery_fragile,dual_momentum_topn,0.02989962969328589,0.021310613579270197,0.054163880232091136,0.03449703723631674,0.02989962969328589,0.02517782535126031,False
improved_phase2b_combo_abc,official_shadow,recovery_fragile,dual_momentum_topn,0.0296981195567472,0.021263687826505073,0.05399946100867836,0.033783099697164296,0.0296981195567472,0.02485423854281246,False
