variant_name,event_count,event_frequency,event_start_count,event_transition_count,transition_frequency,dominant_market_state,max_state_overlap,high_bil_overlap,low_bil_overlap,max_variant_overlap,raw_parent_event_overlap,incrementality_flag,base_signal,complexity_level
efa_spy_raw_top20_event,145,0.13063063063063063,34,67,0.06036036036036036,neutral_mixed,0.47586206896551725,0.2482758620689655,0.2413793103448276,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_EFA_minus_SPY_13w_signal,LOW
efa_spy_raw_top10_event,84,0.07567567567567568,20,40,0.036036036036036036,neutral_mixed,0.5,0.30952380952380953,0.16666666666666666,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_EFA_minus_SPY_13w_signal,LOW
efa_spy_raw_top30_event,219,0.1972972972972973,39,77,0.06936936936936937,neutral_mixed,0.4337899543378995,0.2420091324200913,0.2785388127853881,1.0,0.6621004566210046,INCREMENTAL_SELECTIVE,leadlag_EFA_minus_SPY_13w_signal,LOW
efa_spy_vol_filtered_top20_event,109,0.0981981981981982,24,48,0.043243243243243246,neutral_mixed,0.4036697247706422,0.24770642201834864,0.22935779816513763,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_EFA_minus_SPY_13w_signal,LOW
efa_spy_low_or_normal_vol_top20_event,89,0.08018018018018018,21,42,0.03783783783783784,neutral_mixed,0.3146067415730337,0.30337078651685395,0.24719101123595505,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_EFA_minus_SPY_13w_signal,LOW
efa_spy_strength_scaled_score_event,211,0.1900900900900901,35,70,0.06306306306306306,calm_trend,0.33649289099526064,0.27014218009478674,0.27014218009478674,1.0,0.4075829383886256,INCREMENTAL_SELECTIVE,leadlag_EFA_minus_SPY_13w_signal,MEDIUM
efa_spy_drawdown_aware_top20_event,145,0.13063063063063063,34,67,0.06036036036036036,neutral_mixed,0.47586206896551725,0.2482758620689655,0.2413793103448276,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_EFA_minus_SPY_13w_signal,LOW
efa_spy_market_trend_confirmed_top20_event,107,0.0963963963963964,32,64,0.05765765765765766,neutral_mixed,0.5327102803738317,0.14018691588785046,0.32710280373831774,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_EFA_minus_SPY_13w_signal,LOW
market_trend_raw_event,865,0.7792792792792793,35,70,0.06306306306306306,neutral_mixed,0.48786127167630056,0.12254335260115606,0.3202312138728324,0.9653179190751445,1.0,TOO_BROAD,market_trend_positive_signal,LOW
market_trend_breadth_confirmed_event,344,0.3099099099099099,66,132,0.11891891891891893,calm_trend,0.4883720930232558,0.0029069767441860465,0.42151162790697677,1.0,1.0,INCREMENTAL_SELECTIVE,market_trend_positive_signal,LOW
market_trend_ex_high_vol_drawdown_event,595,0.536036036036036,44,88,0.07927927927927927,neutral_mixed,0.46050420168067224,0.05378151260504202,0.334453781512605,1.0,1.0,TOO_BROAD,market_trend_positive_signal,LOW
market_trend_recent_stress_filtered_event,527,0.47477477477477475,17,34,0.03063063063063063,neutral_mixed,0.5142314990512334,0.0967741935483871,0.3377609108159393,0.9430740037950665,1.0,TOO_BROAD,market_trend_positive_signal,LOW
market_trend_calm_neutral_event,716,0.645045045045045,61,122,0.10990990990990991,neutral_mixed,0.5893854748603352,0.08519553072625698,0.3407821229050279,0.9581005586592178,1.0,TOO_BROAD,market_trend_positive_signal,LOW
market_trend_vol_scaled_score_event,178,0.16036036036036036,21,42,0.03783783783783784,neutral_mixed,0.43258426966292135,0.08426966292134831,0.3651685393258427,1.0,1.0,INCREMENTAL_SELECTIVE,market_trend_positive_signal,MEDIUM
market_drawdown_top20_event,169,0.15225225225225225,21,42,0.03783783783783784,stressed_panic,0.6804733727810651,0.6035502958579881,0.047337278106508875,1.0,1.0,INCREMENTAL_SELECTIVE,market_drawdown_signal,LOW
market_drawdown_vol_filtered_top20_event,136,0.12252252252252252,13,26,0.023423423423423424,stressed_panic,0.6764705882352942,0.6102941176470589,0.03676470588235294,1.0,1.0,INCREMENTAL_SELECTIVE,market_drawdown_signal,LOW
leadlag_GLD_minus_SPY_13w_top20_event,197,0.17747747747747747,39,77,0.06936936936936937,stressed_panic,0.5685279187817259,0.5736040609137056,0.04568527918781726,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_GLD_minus_SPY_13w_signal,LOW
leadlag_GLD_minus_SPY_13w_vol_filtered_top20_event,124,0.11171171171171171,33,66,0.05945945945945946,stressed_panic,0.6048387096774194,0.5806451612903226,0.024193548387096774,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_GLD_minus_SPY_13w_signal,LOW
leadlag_DBA_minus_SPY_13w_top20_event,226,0.2036036036036036,51,101,0.09099099099099099,stressed_panic,0.5132743362831859,0.42035398230088494,0.13716814159292035,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_DBA_minus_SPY_13w_signal,LOW
leadlag_DBA_minus_SPY_13w_vol_filtered_top20_event,153,0.13783783783783785,39,78,0.07027027027027027,stressed_panic,0.5424836601307189,0.47058823529411764,0.13725490196078433,1.0,1.0,INCREMENTAL_SELECTIVE,leadlag_DBA_minus_SPY_13w_signal,LOW
breadth_ret13_positive_x_recovery_confirmed_top20_event,1058,0.9531531531531532,1,1,0.0009009009009009009,neutral_mixed,0.4224952741020794,0.21455576559546313,0.2637051039697543,0.7892249527410208,1.0,TOO_BROAD,breadth_ret13_positive_x_recovery_confirmed_signal,LOW
breadth_ret13_positive_x_recovery_confirmed_vol_filtered_top20_event,776,0.6990990990990991,23,46,0.04144144144144144,neutral_mixed,0.39948453608247425,0.20618556701030927,0.2603092783505155,0.7731958762886598,1.0,TOO_BROAD,breadth_ret13_positive_x_recovery_confirmed_signal,LOW
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,44,0.03963963963963964,19,37,0.03333333333333333,recovery_confirmed,1.0,0.0,0.09090909090909091,0.9772727272727273,1.0,DUPLICATES_STATE_ENGINE,breadth_ret13_positive_x_recovery_confirmed_signal,LOW
