variant_name,base_signal,horizon_weeks,event_count,positive_barrier_hit_rate,negative_barrier_hit_rate,neutral_no_hit_rate,avg_final_return,median_final_return,avg_max_favorable_excursion,avg_max_adverse_excursion,precision_beats_old_production,precision_avoids_bad_outcome,all_weeks_avg_return,all_weeks_positive_rate,all_weeks_negative_rate,payoff_ratio,return_lift_vs_all_weeks,positive_barrier_lift_vs_all_weeks,negative_barrier_lift_vs_all_weeks,holdout_2016_event_count,holdout_2016_avg_return,holdout_2016_positive_rate,holdout_2016_negative_rate,raw_avg_final_return,raw_positive_barrier_hit_rate,raw_negative_barrier_hit_rate,raw_return_lift_vs_all_weeks,return_lift_vs_raw,positive_barrier_lift_vs_raw,negative_barrier_lift_vs_raw
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,43,0.3953488372093023,0.11627906976744186,0.4883720930232558,0.016731987480889613,0.013727337002283235,0.020024492479787544,-0.0009855808832227096,0.6744186046511628,0.8837209302325582,0.0058361528368151006,0.2918287937743191,0.14883268482490272,20.317452195613104,0.010895834644074513,0.10352004343498322,-0.032553615057460863,34,0.01895253959888968,0.4411764705882353,0.14705882352941177,0.0058361528368151006,0.2918287937743191,0.14883268482490272,0.0,0.010895834644074513,0.10352004343498322,-0.032553615057460863
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,8,43,0.6744186046511628,0.046511627906976744,0.27906976744186046,0.032721388263432204,0.037708997274219724,0.03855966406780535,-0.001915702087011678,0.813953488372093,0.9534883720930233,0.011708500898439634,0.3583984375,0.142578125,20.128215305102547,0.021012887364992572,0.31602016715116277,-0.09606649709302326,34,0.03739808853288591,0.7058823529411765,0.058823529411764705,0.011708500898439634,0.3583984375,0.142578125,0.0,0.021012887364992572,0.31602016715116277,-0.09606649709302326
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,13,43,0.8372093023255814,0.046511627906976744,0.11627906976744186,0.045828379362982896,0.045929218434888286,0.057282055824236025,-0.004011733598225587,0.7906976744186046,0.9534883720930233,0.019256241606548433,0.39548577036310106,0.1197252208047105,14.278629031990612,0.026572137756434463,0.4417235319624804,-0.07321359289773376,34,0.05324794861914638,0.9117647058823529,0.029411764705882353,0.019256241606548433,0.39548577036310106,0.1197252208047105,0.0,0.026572137756434463,0.4417235319624804,-0.07321359289773376
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,1028,0.2918287937743191,0.14883268482490272,0.5593385214007782,0.0058361528368151006,0.005900537400383765,0.012545562114770491,-0.00558866398043546,0.48443579766536965,0.8511673151750972,0.0058361528368151006,0.2918287937743191,0.14883268482490272,2.2448231202823115,0.0,0.0,0.0,533,0.006229324293793807,0.3133208255159475,0.1425891181988743,0.0058361528368151006,0.2918287937743191,0.14883268482490272,0.0,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,8,1024,0.3583984375,0.142578125,0.4990234375,0.011708500898439634,0.011690330124712989,0.022343626325225668,-0.00967757880132008,0.48046875,0.857421875,0.011708500898439634,0.3583984375,0.142578125,2.308803346781104,0.0,0.0,0.0,529,0.012610556297759005,0.391304347826087,0.1266540642722117,0.011708500898439634,0.3583984375,0.142578125,0.0,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,13,1019,0.39548577036310106,0.1197252208047105,0.4847890088321884,0.019256241606548433,0.019751183512809467,0.03254844075109487,-0.01251748288098143,0.48773307163886165,0.8802747791952895,0.019256241606548433,0.39548577036310106,0.1197252208047105,2.6002384872878626,0.0,0.0,0.0,524,0.020791099479903943,0.4541984732824427,0.11068702290076336,0.019256241606548433,0.39548577036310106,0.1197252208047105,0.0,0.0,0.0,0.0
breadth_ret13_positive_x_recovery_confirmed_vol_filtered_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,4,776,0.3234536082474227,0.16494845360824742,0.5115979381443299,0.005357059478081391,0.005519089639353547,0.01173350305229031,-0.005555821827035526,0.48582474226804123,0.8350515463917526,0.0058361528368151006,0.2918287937743191,0.14883268482490272,2.1119293270337054,-0.0004790933587337093,0.03162481447310361,0.016115768783344697,433,0.005694855163638889,0.3418013856812933,0.16397228637413394,0.0058361528368151006,0.2918287937743191,0.14883268482490272,0.0,-0.0004790933587337093,0.03162481447310361,0.016115768783344697
breadth_ret13_positive_x_recovery_confirmed_vol_filtered_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,8,774,0.39147286821705424,0.16149870801033592,0.4470284237726098,0.010883319632145607,0.011484091427281129,0.02106387833289095,-0.009703633690761677,0.4974160206718346,0.838501291989664,0.011708500898439634,0.3583984375,0.142578125,2.1707206809491137,-0.0008251812662940262,0.03307443071705424,0.018920583010335917,431,0.011844535644160058,0.43155452436194897,0.14617169373549885,0.011708500898439634,0.3583984375,0.142578125,0.0,-0.0008251812662940262,0.03307443071705424,0.018920583010335917
breadth_ret13_positive_x_recovery_confirmed_vol_filtered_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,13,769,0.43953185955786733,0.14174252275682706,0.4187256176853056,0.01869797696030647,0.01890455637406374,0.03110255448760355,-0.012524659215706115,0.5266579973992198,0.8582574772431729,0.019256241606548433,0.39548577036310106,0.1197252208047105,2.483305449828165,-0.000558264646241962,0.04404608919476627,0.022017301952116555,426,0.021289568600319615,0.5070422535211268,0.12441314553990611,0.019256241606548433,0.39548577036310106,0.1197252208047105,0.0,-0.000558264646241962,0.04404608919476627,0.022017301952116555
efa_spy_drawdown_aware_top20_event,leadlag_EFA_minus_SPY_13w_signal,4,134,0.2835820895522388,0.13432835820895522,0.582089552238806,0.005218611183460852,0.0062815377194238575,0.011777289021282592,-0.006100326661500001,0.44776119402985076,0.8656716417910447,0.0058361528368151006,0.2918287937743191,0.14883268482490272,1.9305997325701718,-0.0006175416533542484,-0.008246704222080292,-0.0145043266159475,72,0.004294835088859474,0.2777777777777778,0.20833333333333334,0.005218611183460852,0.2835820895522388,0.13432835820895522,-0.0006175416533542484,0.0,0.0,0.0
