variant_name,base_signal,event_count,event_frequency,event_start_count,event_transition_count,incrementality_flag
efa_spy_raw_top20_event,leadlag_EFA_minus_SPY_13w_signal,145,0.13063063063063063,34,67,INCREMENTAL_SELECTIVE
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,84,0.07567567567567568,20,40,INCREMENTAL_SELECTIVE
efa_spy_raw_top30_event,leadlag_EFA_minus_SPY_13w_signal,219,0.1972972972972973,39,77,INCREMENTAL_SELECTIVE
efa_spy_vol_filtered_top20_event,leadlag_EFA_minus_SPY_13w_signal,109,0.0981981981981982,24,48,INCREMENTAL_SELECTIVE
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,89,0.08018018018018018,21,42,INCREMENTAL_SELECTIVE
efa_spy_strength_scaled_score_event,leadlag_EFA_minus_SPY_13w_signal,211,0.1900900900900901,35,70,INCREMENTAL_SELECTIVE
efa_spy_drawdown_aware_top20_event,leadlag_EFA_minus_SPY_13w_signal,145,0.13063063063063063,34,67,INCREMENTAL_SELECTIVE
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,107,0.0963963963963964,32,64,INCREMENTAL_SELECTIVE
market_trend_raw_event,market_trend_positive_signal,865,0.7792792792792793,35,70,TOO_BROAD
market_trend_breadth_confirmed_event,market_trend_positive_signal,344,0.3099099099099099,66,132,INCREMENTAL_SELECTIVE
market_trend_ex_high_vol_drawdown_event,market_trend_positive_signal,595,0.536036036036036,44,88,TOO_BROAD
market_trend_recent_stress_filtered_event,market_trend_positive_signal,527,0.47477477477477475,17,34,TOO_BROAD
market_trend_calm_neutral_event,market_trend_positive_signal,716,0.645045045045045,61,122,TOO_BROAD
market_trend_vol_scaled_score_event,market_trend_positive_signal,178,0.16036036036036036,21,42,INCREMENTAL_SELECTIVE
market_drawdown_top20_event,market_drawdown_signal,169,0.15225225225225225,21,42,INCREMENTAL_SELECTIVE
market_drawdown_vol_filtered_top20_event,market_drawdown_signal,136,0.12252252252252252,13,26,INCREMENTAL_SELECTIVE
leadlag_GLD_minus_SPY_13w_top20_event,leadlag_GLD_minus_SPY_13w_signal,197,0.17747747747747747,39,77,INCREMENTAL_SELECTIVE
leadlag_GLD_minus_SPY_13w_vol_filtered_top20_event,leadlag_GLD_minus_SPY_13w_signal,124,0.11171171171171171,33,66,INCREMENTAL_SELECTIVE
leadlag_DBA_minus_SPY_13w_top20_event,leadlag_DBA_minus_SPY_13w_signal,226,0.2036036036036036,51,101,INCREMENTAL_SELECTIVE
leadlag_DBA_minus_SPY_13w_vol_filtered_top20_event,leadlag_DBA_minus_SPY_13w_signal,153,0.13783783783783785,39,78,INCREMENTAL_SELECTIVE
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,1058,0.9531531531531532,1,1,TOO_BROAD
breadth_ret13_positive_x_recovery_confirmed_vol_filtered_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,776,0.6990990990990991,23,46,TOO_BROAD
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,44,0.03963963963963964,19,37,DUPLICATES_STATE_ENGINE
