,decisions,mean_ic,t_stat,bootstrap_p,nonzero_density,deciles_interpretable,decile_spread_annualised,monotonicity,inconclusive
growth_top5,39,-0.004373505179553636,-0.8140865708113721,0.3645,1.0,True,-0.03561769247946833,-0.05174825174825175,False
cash_conversion_breadth20,39,0.01801150298406492,1.8329480406735832,0.09575,1.0,True,-0.029285917742924328,-0.0725718725718725,False
balance_sheet_quality,39,-0.017493039805451305,-2.003159319668587,0.092,0.9958789548739516,True,-0.02395830262674037,-0.1229215229215229,False
