method,lookback_weeks,diagonal_shrinkage,cost_bps,observations,years,total_return,annual_return,annual_volatility,sharpe_zero_rf,sortino_zero_target,max_drawdown,max_drawdown_duration_weeks,calmar,cvar_5_weekly,positive_week_share,worst_week,best_week,average_annual_turnover,total_cost,development_sharpe,oos_2016_2020_annual_return,oos_2016_2020_sharpe,oos_2021_present_annual_return,oos_2021_present_sharpe,maximum_realized_asset_weight,maximum_sleeve_weight,minimum_total_sleeve_exposure,unpriced_exposure_events,fully_invested_pass
equal_weight,104,0.25,10.0,1126,21.653846153846153,4.992324772247511,0.0862011656543138,0.10251546813088935,0.8587815153675791,1.2269243321335623,-0.24292556610738403,109,0.35484600091951213,-0.03365545958912695,0.5737122557726465,-0.10803684685289175,0.10521449842640342,2.447602131438721,0.053,0.8671791373240503,0.06910656183411357,0.6175784877653886,0.11306064928142923,1.1071570887073827,0.35,0.5,1.0,0,True
equal_weight,104,0.25,50.0,1126,21.653846153846153,3.8494439006536014,0.07563780454513758,0.10247357019650281,0.7635918256215636,1.081045591395389,-0.24416116669789412,113,0.3097863823640959,-0.033851909665969064,0.5674955595026643,-0.10803684685289175,0.10521449842640342,2.447602131438721,0.265,0.7765157247056331,0.058004851436620264,0.5308175248641075,0.10048915968482186,0.9958204821950557,0.35,0.5,1.0,0,True
inverse_volatility,104,0.25,10.0,1126,21.653846153846153,4.59001235403433,0.08272059498730866,0.09462406611481361,0.8881751147920599,1.2672095621476782,-0.2381772987388283,103,0.34730679802534564,-0.031035799049725005,0.5746003552397868,-0.1095327991584705,0.10458336456207748,2.652588727017706,0.057438748204268024,0.9388796995818129,0.06667419821489906,0.6185880252458364,0.10816401280848487,1.1153036698309413,0.35,0.7760804766575882,1.0,0,True
inverse_volatility,104,0.25,50.0,1126,21.653846153846153,3.4440464154305976,0.07131003873502029,0.09460651520821073,0.7761874085937387,1.0958425054079428,-0.23934727423813762,110,0.2979354536708475,-0.031225495678545507,0.5639431616341031,-0.1095327991584705,0.10458336456207748,2.652588727017706,0.2871937410213401,0.8241720336552127,0.05496811128716428,0.5230921078309518,0.09458253063527788,0.9871856402672539,0.35,0.7760804766575882,1.0,0,True
minimum_variance,104,0.25,10.0,1126,21.653846153846153,4.112124096948341,0.0782613610745202,0.08802759527904735,0.9009141452045025,1.282173652921629,-0.23390268432554384,97,0.33458940969483136,-0.028810557611691042,0.5790408525754884,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.06284887736018278,0.9902491363392318,0.06303311921725574,0.6133760567842634,0.0971610962528513,1.1015690223603842,0.35,0.8,1.0,0,True
minimum_variance,104,0.25,50.0,1126,21.653846153846153,2.976836317533322,0.06582856277216576,0.08805136475279825,0.7688190479561966,1.0811597241046211,-0.2350043235630217,103,0.2801163900906374,-0.029043407142118446,0.5701598579040853,-0.11096301469862585,0.10397996466937298,2.902434833685173,0.31424438680091393,0.8601860421200926,0.049892412753816506,0.5002415140250087,0.08174693144339962,0.9385742972885484,0.35,0.8,1.0,0,True
maximum_diversification,104,0.25,10.0,1126,21.653846153846153,4.59001235403433,0.08272059498730866,0.09462406611481361,0.8881751147920599,1.2672095621476782,-0.2381772987388283,103,0.34730679802534564,-0.031035799049725005,0.5746003552397868,-0.1095327991584705,0.10458336456207748,2.652588727017706,0.057438748204268024,0.9388796995818129,0.06667419821489906,0.6185880252458364,0.10816401280848487,1.1153036698309413,0.35,0.7760804766575882,1.0,0,True
maximum_diversification,104,0.25,50.0,1126,21.653846153846153,3.4440464154305976,0.07131003873502029,0.09460651520821073,0.7761874085937387,1.0958425054079428,-0.23934727423813762,110,0.2979354536708475,-0.031225495678545507,0.5639431616341031,-0.1095327991584705,0.10458336456207748,2.652588727017706,0.2871937410213401,0.8241720336552127,0.05496811128716428,0.5230921078309518,0.09458253063527788,0.9871856402672539,0.35,0.7760804766575882,1.0,0,True
hrp_two_sleeve,104,0.25,10.0,1126,21.653846153846153,4.361970398242321,0.0806400432306349,0.0905236834442369,0.9029141022919895,1.2883364176867864,-0.2342879410311931,99,0.3441920351329498,-0.029586859819401862,0.5808170515097691,-0.11077145455942546,0.10406078281474668,2.8109130974257073,0.06086707976348743,0.9800962618958551,0.06465589617263445,0.6174885364865332,0.10357880948442166,1.1151485452884433,0.35,0.8,1.0,0,True
hrp_two_sleeve,104,0.25,50.0,1126,21.653846153846153,3.2045377981396204,0.06857261606121834,0.09052910221698675,0.7786607428686911,1.0982484717126055,-0.23540204278094878,109,0.29130000424434704,-0.029811524903740352,0.5701598579040853,-0.11077145455942546,0.10406078281474668,2.8109130974257073,0.30433539881743715,0.8534815332602871,0.05208861305552848,0.511495468302751,0.0889532825374606,0.9697434280904017,0.35,0.8,1.0,0,True
equal_weight_vol_target_10,104,0.25,10.0,1126,21.653846153846153,4.203552590014425,0.0791444246672135,0.09879011415602434,0.8213148108218217,1.1603514277175757,-0.2429255661073838,109,0.3257970164911674,-0.032634533279509825,0.5737122557726465,-0.10803684685289175,0.10521449842640342,2.3928401531457233,0.051814192546963164,0.8639824167993615,0.057728157390698254,0.5398374136387625,0.09917697921708202,1.0606871056004537,0.35,0.5,0.6240807176458768,0,True
equal_weight_vol_target_10,104,0.25,50.0,1126,21.653846153846153,3.2306845535113613,0.06887858956448611,0.09878302726197774,0.724480968949661,1.0145131997930557,-0.24416116669789445,113,0.2821029670525411,-0.032854212599795526,0.5674955595026643,-0.10803684685289175,0.10521449842640342,2.3928401531457233,0.25907096273481584,0.770877667521517,0.047037228450145685,0.45299925959296816,0.08752323828595654,0.9460522277233124,0.35,0.5,0.6240807176458768,0,True
