decision_at,symbol,weight
2023-01-06,AAPL,0.0
2023-01-06,AMBA,0.0
2023-01-06,CEVA,0.0
2023-01-06,CNX,0.0
2023-01-06,CTRA,0.08
2023-01-06,CVT,0.0
2023-01-06,DDOG,0.08
2023-01-06,DT,0.0
2023-01-06,EB,0.0
2023-01-06,ENPH,0.08
2023-01-06,GDYN,0.08
2023-01-06,GPOR,0.0
2023-01-06,GTE,0.0
2023-01-06,KOS,0.0
2023-01-06,MDRX,0.0
2023-01-06,MXL,0.0
2023-01-06,NOW,0.0
2023-01-06,PANW,0.0
2023-01-06,QLYS,0.0
2023-01-06,RMBS,0.0
2023-01-06,SONO,0.0
2023-01-06,VRNS,0.0
2023-01-06,XLE,0.24
2023-01-06,XLK,0.36
2023-01-06,ZM,0.0
2023-01-06,cash::USD,0.08
2023-01-27,AAPL,0.0
2023-01-27,AMBA,0.0
2023-01-27,CEVA,0.0
2023-01-27,CNX,0.0
2023-01-27,CTRA,0.08
2023-01-27,CVT,0.0
2023-01-27,DDOG,0.08
2023-01-27,DT,0.0
2023-01-27,EB,0.0
2023-01-27,EFA,0.24
2023-01-27,ENPH,0.08
2023-01-27,GDYN,0.08
2023-01-27,GPOR,0.0
2023-01-27,GTE,0.0
2023-01-27,KOS,0.0
2023-01-27,MDRX,0.0
2023-01-27,MXL,0.0
2023-01-27,NOW,0.0
2023-01-27,PANW,0.0
2023-01-27,QLYS,0.0
2023-01-27,RMBS,0.0
2023-01-27,SONO,0.0
2023-01-27,VRNS,0.0
2023-01-27,XLK,0.36
2023-01-27,ZM,0.0
2023-01-27,cash::USD,0.08
2023-03-24,AAPL,0.025
2023-03-24,AMBA,0.025
2023-03-24,CEVA,0.025
2023-03-24,CNX,0.025
2023-03-24,CTRA,0.04
2023-03-24,CVT,0.025
2023-03-24,DDOG,0.04
2023-03-24,DT,0.025
2023-03-24,EB,0.025
2023-03-24,EFA,0.12
2023-03-24,ENPH,0.04
2023-03-24,GDYN,0.04
2023-03-24,GPOR,0.025
2023-03-24,GTE,0.025
2023-03-24,KOS,0.025
2023-03-24,MDRX,0.025
2023-03-24,MXL,0.025
2023-03-24,NOW,0.025
2023-03-24,PANW,0.025
2023-03-24,QLYS,0.025
2023-03-24,RMBS,0.025
2023-03-24,SONO,0.025
2023-03-24,VRNS,0.025
2023-03-24,XLK,0.18
2023-03-24,ZM,0.025
2023-03-24,cash::USD,0.065
2023-03-31,AAPL,0.0
2023-03-31,AMBA,0.0
2023-03-31,CEVA,0.0
2023-03-31,CNX,0.0
2023-03-31,CTRA,0.08
2023-03-31,CVT,0.0
2023-03-31,DDOG,0.08
2023-03-31,DT,0.0
2023-03-31,EB,0.0
2023-03-31,ENPH,0.08
2023-03-31,GDYN,0.08
2023-03-31,GLD,0.06
2023-03-31,GPOR,0.0
2023-03-31,GTE,0.0
2023-03-31,KOS,0.0
2023-03-31,MDRX,0.0
2023-03-31,MXL,0.0
2023-03-31,NOW,0.0
2023-03-31,PANW,0.0
2023-03-31,QLYS,0.0
2023-03-31,RMBS,0.0
2023-03-31,SONO,0.0
2023-03-31,VRNS,0.0
2023-03-31,XLK,0.54
2023-03-31,ZM,0.0
2023-03-31,cash::USD,0.08
2023-04-28,AMBA,0.0
2023-04-28,CEVA,0.0
2023-04-28,CNX,0.0
2023-04-28,CTRA,0.08
2023-04-28,CVT,0.0
2023-04-28,DDOG,0.08
2023-04-28,DT,0.0
2023-04-28,EB,0.0
2023-04-28,EFA,0.0097090134060377
2023-04-28,ENPH,0.08
2023-04-28,EWJ,0.0141529889267825
2023-04-28,GDYN,0.08
2023-04-28,GLD,0.0180669908787932
2023-04-28,GPOR,0.0
2023-04-28,GTE,0.0
2023-04-28,HYG,0.008155810478002
2023-04-28,KLIC,0.0
2023-04-28,KOS,0.0
2023-04-28,LQD,0.0118480289800843
2023-04-28,MLNK,0.0
2023-04-28,NOW,0.0
2023-04-28,PANW,0.0
2023-04-28,QLYS,0.0
2023-04-28,RMBS,0.0
2023-04-28,SLV,0.06
2023-04-28,SWKS,0.0
2023-04-28,UUP,0.0275506675685126
2023-04-28,VEA,0.0028671673302997
2023-04-28,VRNS,0.0
2023-04-28,XLE,0.0080442960885545
2023-04-28,XLK,0.4396050363429328
2023-04-28,ZM,0.0
2023-04-28,cash::USD,0.08
2023-05-26,AMBA,0.0
2023-05-26,CEVA,0.0
2023-05-26,CNX,0.0
2023-05-26,CTRA,0.08
2023-05-26,CVT,0.0
2023-05-26,DDOG,0.08
2023-05-26,DT,0.0
2023-05-26,EB,0.0
2023-05-26,EFA,0.0191719488340378
2023-05-26,ENPH,0.08
2023-05-26,EWJ,0.0019425602804686
2023-05-26,GDYN,0.08
2023-05-26,GLD,0.0079919205557084
2023-05-26,GPOR,0.0
2023-05-26,GTE,0.0
2023-05-26,KLIC,0.0
2023-05-26,KOS,0.0
2023-05-26,MLNK,0.0
2023-05-26,NOW,0.0
2023-05-26,PANW,0.0
2023-05-26,QLYS,0.0
2023-05-26,QQQ,0.0717158365273213
2023-05-26,RMBS,0.0
2023-05-26,SLV,0.0112348321028066
2023-05-26,SPY,0.0108089851811341
2023-05-26,SWKS,0.0
2023-05-26,VEA,0.0131687486213292
2023-05-26,VRNS,0.0
2023-05-26,XLI,0.0180394034695187
2023-05-26,XLK,0.4459257644276745
2023-05-26,ZM,0.0
2023-05-26,cash::USD,0.08
2023-06-30,AMBA,0.0
2023-06-30,CEVA,0.0
2023-06-30,CNX,0.0
2023-06-30,CTRA,0.08
2023-06-30,CVT,0.0
2023-06-30,DDOG,0.08
2023-06-30,DT,0.0
2023-06-30,EB,0.0
2023-06-30,ENPH,0.08
2023-06-30,GDYN,0.08
2023-06-30,GPOR,0.0
2023-06-30,GTE,0.0
2023-06-30,KLIC,0.0
2023-06-30,KOS,0.0
2023-06-30,MLNK,0.0
2023-06-30,NOW,0.0
2023-06-30,PANW,0.0
2023-06-30,QLYS,0.0
2023-06-30,QQQ,0.2771960326632538
2023-06-30,RMBS,0.0
2023-06-30,SWKS,0.0
2023-06-30,VRNS,0.0
2023-06-30,VUG,0.0353147308224235
2023-06-30,XLK,0.2874892365143225
2023-06-30,ZM,0.0
2023-06-30,cash::USD,0.08
2023-07-07,ADSK,0.0
2023-07-07,BSY,0.0
2023-07-07,CRM,0.0
2023-07-07,CTLP,0.08
2023-07-07,CTRA,0.0
2023-07-07,EB,0.0
2023-07-07,ESMT,0.08
2023-07-07,HPK,0.0
2023-07-07,MPWR,0.08
2023-07-07,PANW,0.0
2023-07-07,PRCH,0.08
2023-07-07,QQQ,0.2771960326632538
2023-07-07,RMBS,0.0
2023-07-07,SD,0.0
2023-07-07,SNOW,0.0
2023-07-07,SONO,0.0
2023-07-07,SPLK,0.0
2023-07-07,SWKS,0.0
2023-07-07,TBCH,0.0
2023-07-07,TTD,0.0
2023-07-07,VEEV,0.0
2023-07-07,VLO,0.08
2023-07-07,VMW,0.0
2023-07-07,VRNS,0.0
2023-07-07,VRSK,0.0
2023-07-07,VUG,0.0353147308224235
2023-07-07,XLK,0.2874892365143225
2023-07-07,YOU,0.0
2023-07-14,ADSK,0.025
2023-07-14,BSY,0.025
2023-07-14,CRM,0.025
2023-07-14,CTLP,0.04
2023-07-14,CTRA,0.025
2023-07-14,EB,0.025
2023-07-14,ESMT,0.04
2023-07-14,HPK,0.025
2023-07-14,MPWR,0.04
2023-07-14,PANW,0.025
2023-07-14,PRCH,0.04
2023-07-14,QQQ,0.1385980163316269
2023-07-14,RMBS,0.025
2023-07-14,SD,0.025
2023-07-14,SNOW,0.025
2023-07-14,SONO,0.025
2023-07-14,SPLK,0.025
2023-07-14,SWKS,0.025
2023-07-14,TBCH,0.025
2023-07-14,TTD,0.025
2023-07-14,VEEV,0.025
2023-07-14,VLO,0.04
2023-07-14,VMW,0.025
2023-07-14,VRNS,0.025
2023-07-14,VRSK,0.025
2023-07-14,VUG,0.0176573654112117
2023-07-14,XLK,0.1437446182571612
2023-07-14,YOU,0.025
2023-07-28,ADSK,0.025
2023-07-28,BSY,0.025
2023-07-28,CRM,0.025
2023-07-28,CTLP,0.04
2023-07-28,CTRA,0.025
2023-07-28,EB,0.025
2023-07-28,ESMT,0.04
2023-07-28,HPK,0.025
2023-07-28,MPWR,0.04
2023-07-28,PANW,0.025
2023-07-28,PRCH,0.04
2023-07-28,QQQ,0.1385449347214933
2023-07-28,RMBS,0.025
2023-07-28,SD,0.025
2023-07-28,SNOW,0.025
2023-07-28,SONO,0.025
2023-07-28,SPLK,0.025
2023-07-28,SWKS,0.025
2023-07-28,TBCH,0.025
2023-07-28,TTD,0.025
2023-07-28,VEEV,0.025
2023-07-28,VLO,0.04
2023-07-28,VMW,0.025
2023-07-28,VRNS,0.025
2023-07-28,VRSK,0.025
2023-07-28,VUG,0.0178288779029603
2023-07-28,XLK,0.1436261873755462
2023-07-28,YOU,0.025
2023-08-25,ADSK,0.025
2023-08-25,BSY,0.025
2023-08-25,CRM,0.025
2023-08-25,CTLP,0.04
2023-08-25,CTRA,0.025
2023-08-25,DBA,0.0035448280749624
2023-08-25,EB,0.025
2023-08-25,EFA,0.0060971749017678
2023-08-25,ESMT,0.04
2023-08-25,EWJ,0.0059110335117809
2023-08-25,GLD,0.0051780310572189
2023-08-25,HPK,0.025
2023-08-25,MPWR,0.04
2023-08-25,PANW,0.025
2023-08-25,PRCH,0.04
2023-08-25,QQQ,0.0441575561814489
2023-08-25,RMBS,0.025
2023-08-25,SD,0.025
2023-08-25,SLV,0.0053324949485069
2023-08-25,SNOW,0.025
2023-08-25,SONO,0.025
2023-08-25,SPLK,0.025
2023-08-25,SWKS,0.025
2023-08-25,TBCH,0.025
2023-08-25,TTD,0.025
2023-08-25,VEA,0.0056312216770876
2023-08-25,VEEV,0.025
2023-08-25,VLO,0.04
2023-08-25,VMW,0.025
2023-08-25,VRNS,0.025
2023-08-25,VRSK,0.025
2023-08-25,XLK,0.2241476596472264
2023-08-25,YOU,0.025
2023-09-29,ADSK,0.0
2023-09-29,BSY,0.0
2023-09-29,CRM,0.0
2023-09-29,CTLP,0.08
2023-09-29,CTRA,0.0
2023-09-29,EB,0.0
2023-09-29,ESMT,0.08
2023-09-29,HPK,0.0
2023-09-29,MPWR,0.08
2023-09-29,PANW,0.0
2023-09-29,PRCH,0.08
2023-09-29,RMBS,0.0
2023-09-29,SD,0.0
2023-09-29,SNOW,0.0
2023-09-29,SONO,0.0
2023-09-29,SPLK,0.0
2023-09-29,SWKS,0.0
2023-09-29,TBCH,0.0
2023-09-29,TTD,0.0
2023-09-29,USO,0.06
2023-09-29,VEEV,0.0
2023-09-29,VLO,0.08
2023-09-29,VMW,0.0
2023-09-29,VRNS,0.0
2023-09-29,VRSK,0.0
2023-09-29,XLK,0.54
2023-09-29,YOU,0.0
2023-10-06,ADEA,0.0
2023-10-06,ADSK,0.0
2023-10-06,ALTR,0.0
2023-10-06,BB,0.0
2023-10-06,BSY,0.0
2023-10-06,CLMB,0.0
2023-10-06,CRDO,0.0
2023-10-06,CRK,0.0
2023-10-06,CTRA,0.0
2023-10-06,EB,0.0
2023-10-06,EPM,0.08
2023-10-06,EQT,0.0
2023-10-06,GPOR,0.0
2023-10-06,LBRT,0.08
2023-10-06,MITK,0.08
2023-10-06,NVDA,0.08
2023-10-06,PANW,0.0
2023-10-06,PTEN,0.08
2023-10-06,SD,0.0
2023-10-06,SNOW,0.0
2023-10-06,SONO,0.0
2023-10-06,SPLK,0.0
2023-10-06,SWKS,0.0
2023-10-06,TBCH,0.0
2023-10-06,USO,0.06
