entry_id,name,repository,url,description,archived,fork,created_at,pushed_at,days_since_push,maintenance_status,stars,forks,disk_usage_kb,default_branch,head_commit,head_commit_date,latest_release,latest_release_date,license_spdx,license_review,license_source,license_evidence_path,primary_language,languages,dependency_manifests,ci_workflow_count,ci_workflows,top_level_test_indicators,docs_present,examples_present,security_policy_present,capability_flags,data_profile,installation_complexity,screening_score,health_band,recommended_action,blocking_concerns,screening_notes
ast-0019,the0,alexanderwanyoike/the0,https://github.com/alexanderwanyoike/the0,Open Source Algorithmic Trading Engine,False,False,2025-08-04T18:04:55Z,2026-07-20T11:18:45Z,19,active_0_180_days,360,46,5981,dev,1013c764173fd2d285356d99f07e5bc793588a69,2026-07-20T11:15:30Z,the0-0.1.0,2026-02-08T15:24:51Z,Apache-2.0,recognized_permissive,github_machine_readable_detection,,TypeScript,TypeScript;Go;HTML;C++;Rust;Haskell;Python;C#,,15,api.yml;cli.yml;docs.yml;frontend.yml;release-chart.yml;release-cli.yml;runtime.yml;sdk-cpp.yml;sdk-dotnet.yml;sdk-haskell.yml;sdk-nodejs.yml;sdk-python.yml;sdk-rust.yml;sdk-scala.yml;security.yml,,True,False,False,live_execution,historical_bars_and_reference_data,medium_high,85,strong_screening_signals,isolated_smoke_test_candidate,,no_top_level_test_indicator_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0020,aat,AsyncAlgoTrading/aat,https://github.com/AsyncAlgoTrading/aat,"Asynchronous, event-driven algorithmic trading in Python and C++",False,False,2019-05-20T20:54:54Z,2026-07-27T02:34:06Z,12,active_0_180_days,829,149,4531,main,c4a07d4102a811c779957033aa26a598c1795cdb,2026-07-27T02:34:03Z,,,Apache-2.0,recognized_permissive,github_machine_readable_detection,,C++,C++;Python;CMake;Makefile;C,Makefile;pyproject.toml;setup.cfg;setup.py,1,build.yml,,True,False,False,live_execution;event_driven;crypto;options,options_chains_quotes_and_underlying_prices,medium_high,75,promising_screening_signals,isolated_smoke_test_candidate,,no_top_level_test_indicator_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0021,barter-rs,barter-rs/barter-rs,https://github.com/barter-rs/barter-rs,Open-source Rust framework for building event-driven live-trading & backtesting systems,False,False,2022-10-09T16:39:34Z,2026-06-06T10:36:50Z,63,active_0_180_days,2219,359,2543,main,33e56188e2095781331f85aa3d7f88e251eec65a,2026-05-09T15:00:29Z,barter-data-v0.11.0,2026-03-05T10:02:40Z,MIT,recognized_permissive,github_machine_readable_detection,,Rust,Rust;RenderScript,Cargo.toml,2,ci.yml;release-plz.yml,ci_test_named_workflow,False,False,False,backtesting;live_execution;event_driven,historical_bars_and_reference_data,medium,90,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0022,bt,pmorissette/bt,https://github.com/pmorissette/bt,bt - flexible backtesting for Python,False,False,2014-06-19T16:06:28Z,2026-08-07T03:38:56Z,1,active_0_180_days,2959,491,18298,master,bd5650ad213760907ec38311c5c9468819084196,2026-08-07T03:38:56Z,v0.2.8,2021-02-01T04:51:55Z,MIT,recognized_permissive,github_machine_readable_detection,,Python,Python;Makefile,Makefile;pyproject.toml,3,build.yaml;deploy.yaml;regression.yaml,tests,True,True,False,backtesting,historical_bars_and_reference_data,low,85,strong_screening_signals,isolated_smoke_test_candidate,,screening_score_is_triage_not_code_quality_or_profitability
ast-0023,Better Quant,byrnexu/betterquant,https://github.com/byrnexu/betterquant,📈 Better Quant,False,False,2022-09-14T12:13:33Z,2024-06-06T15:34:44Z,793,stale_over_730_days,229,68,2038,master,8a8c03f3d677c0571daffbf05926d54f2a20d56f,2024-06-06T15:34:44Z,v1.0.0-alpha.1,2022-11-14T12:01:08Z,MISSING,no_top_level_license_detected,github_license_endpoint_not_found,,C++,C++;CMake;Shell;Python;GDB;Dockerfile,,0,,,True,False,False,live_execution,historical_bars_and_reference_data,medium,15,high_risk_or_insufficient_evidence,reference_only_for_now,stale_over_two_years;license_not_detected,no_GitHub_Actions_workflows_detected;no_top_level_test_indicator_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0024,Botvana,featherenvy/botvana,https://github.com/featherenvy/botvana,Botvana is high-performance and event-driven trading system built using Rust (in early development).,False,False,2021-12-17T20:49:32Z,2022-05-12T08:13:44Z,1549,stale_over_730_days,250,47,4303,main,4069735aff2cc28d3091030dcb39887bc801c74b,2022-05-12T08:13:34Z,,,AGPL-3.0,recognized_copyleft_review_obligations,github_machine_readable_detection,,Rust,Rust;JavaScript;HCL;HTML;Shell;Dockerfile,Cargo.toml,1,rust.yml,,True,False,False,event_driven,historical_bars_and_reference_data,medium,50,caution,reference_only_for_now,stale_over_two_years;copyleft_obligations_require_review,no_top_level_test_indicator_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0025,backtrader,mementum/backtrader,https://github.com/mementum/backtrader,Python Backtesting library for trading strategies,False,False,2015-01-10T07:14:52Z,2024-08-19T17:47:36Z,719,quiet_366_730_days,22770,5230,22460,master,b853d7c90b6721476eb5a5ea3135224e33db1f14,2023-04-19T14:13:08Z,,,GPL-3.0,recognized_copyleft_review_obligations,github_machine_readable_detection,,Python,Python;Shell,setup.py,0,,tests,False,True,False,backtesting;live_execution;event_driven,historical_bars_and_reference_data,low,50,caution,manual_review_before_sandbox,copyleft_obligations_require_review,no_GitHub_Actions_workflows_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0026,backtesting.py,kernc/backtesting.py,https://github.com/kernc/backtesting.py,🔎 📈 🐍 💰  Backtest trading strategies in Python.,False,False,2019-01-02T03:11:32Z,2026-08-05T12:39:16Z,3,active_0_180_days,8767,1505,17483,master,ca2e2611621e472542ba90f7243a1fa06a7d7108,2026-08-05T12:39:16Z,,,AGPL-3.0,recognized_copyleft_review_obligations,github_machine_readable_detection,,Python,Python;JavaScript,pyproject.toml;requirements.txt;setup.cfg;setup.py,2,ci.yml;deploy-docs.yml,ci_test_named_workflow,True,False,False,backtesting,historical_bars_and_reference_data,medium,80,strong_screening_signals,manual_review_before_sandbox,copyleft_obligations_require_review,no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0027,FlashFunk,HFQR/FlashFunk,https://github.com/HFQR/FlashFunk,High Performance Runtime in Rust,False,False,2020-09-18T13:14:37Z,2025-03-16T03:23:14Z,510,quiet_366_730_days,142,42,58359,master,46b03a2ea2f552d4d95100486459fd943dce2131,2025-03-16T03:23:09Z,0.1,2020-11-01T09:06:33Z,MISSING,no_top_level_license_detected,github_license_endpoint_not_found,,Rust,Rust,Cargo.toml,1,rust.yml,,False,True,False,,historical_bars_and_reference_data,medium,45,caution,manual_review_before_sandbox,license_not_detected,no_top_level_test_indicator_detected;screening_score_is_triage_not_code_quality_or_profitability
ast-0028,QuantFabric,QuantFabric/QuantFabric,https://github.com/QuantFabric/QuantFabric,QuantFabric主项目,False,False,2022-12-03T14:02:20Z,2026-08-07T05:57:59Z,1,active_0_180_days,258,81,6193,master,9f5f50c71aca45f80a0e370a739202d6cfb11019,2026-08-07T05:57:20Z,,,MIT,manually_confirmed_permissive,license_file_text_review,license_snapshots/ast-0028_QuantFabric__QuantFabric.txt,CMake,CMake;Shell,CMakeLists.txt,1,mdbook.yml,,True,False,False,,historical_bars_and_reference_data,low,70,promising_screening_signals,isolated_smoke_test_candidate,,no_top_level_test_indicator_detected;no_GitHub_release_detected;screening_score_is_triage_not_code_quality_or_profitability
