variant,year,compounded_return,weeks
adaptive_1.00x_to_1.25x,2022,0.0,5
adaptive_1.00x_to_1.25x,2023,0.24928268634357464,52
adaptive_1.00x_to_1.25x,2024,0.09521183623608409,52
adaptive_1.00x_to_1.25x,2025,0.6590832319103088,52
adaptive_1.00x_to_1.25x,2026,0.7571103508073449,32
adaptive_with_residual_risk_contribution_limit,2023,0.24631797844499403,52
adaptive_with_residual_risk_contribution_limit,2024,0.09625604483309402,52
adaptive_with_residual_risk_contribution_limit,2025,0.6591967761157393,52
adaptive_with_residual_risk_contribution_limit,2026,0.7578328142180057,32
fixed_1.25x_5pct_published_reference,2022,-0.001201345368178619,5
fixed_1.25x_5pct_published_reference,2023,0.2903094089996341,52
fixed_1.25x_5pct_published_reference,2024,0.1466398082063607,52
fixed_1.25x_5pct_published_reference,2025,0.686745543777219,52
fixed_1.25x_5pct_published_reference,2026,0.7747433471118905,32
fixed_1.25x_realistic_financing,2022,-0.0019215982019841205,5
fixed_1.25x_realistic_financing,2023,0.280711869657152,52
fixed_1.25x_realistic_financing,2024,0.1380910293681965,52
fixed_1.25x_realistic_financing,2025,0.6742580372499263,52
fixed_1.25x_realistic_financing,2026,0.7667068770275709,32
unlevered_1.00x,2022,0.0,5
unlevered_1.00x,2023,0.24148376855964915,52
unlevered_1.00x,2024,0.13016683790231287,52
unlevered_1.00x,2025,0.5441871972922163,52
unlevered_1.00x,2026,0.601918630239312,32
