variant,window_weeks,completed_windows,outperformance_share,median_return_difference,worst_return_difference
adaptive_1.00x_to_1.25x,26,168,0.07142857142857142,-0.009555639282703199,-0.07461699153740775
adaptive_1.00x_to_1.25x,52,142,0.028169014084507043,-0.024486694462511838,-0.09834148049506286
adaptive_with_residual_risk_contribution_limit,26,163,0.294478527607362,-0.009256342145766316,-0.07460930873858906
adaptive_with_residual_risk_contribution_limit,52,137,0.10218978102189781,-0.024890515553886106,-0.09711032601149805
fixed_1.25x_5pct_published_reference,26,168,1.0,0.00431331344808028,0.0031040702298102962
fixed_1.25x_5pct_published_reference,52,142,1.0,0.009556535742307193,0.006288945239662946
fixed_1.25x_realistic_financing,26,168,0.0,0.0,0.0
fixed_1.25x_realistic_financing,52,142,0.0,0.0,0.0
unlevered_1.00x,26,168,0.25595238095238093,-0.021328612783758638,-0.24212147217180147
unlevered_1.00x,52,142,0.19718309859154928,-0.03819655947810552,-0.49560103031229685
