signal_name,target_group,horizon_weeks,hit_rate,positive_entity_share,target
leadlag_EFA_minus_SPY_13w_signal,ETF_forward_returns,1,0.4814402279497474,0.8285714285714286,
leadlag_EFA_minus_SPY_13w_signal,ETF_forward_returns,4,0.49781818181818177,0.8571428571428571,
leadlag_EFA_minus_SPY_13w_signal,ETF_forward_returns,8,0.5021897810218978,0.7142857142857143,
leadlag_EFA_minus_SPY_13w_signal,ETF_forward_returns,13,0.4917637815896294,0.6857142857142857,
leadlag_GLD_minus_SPY_13w_signal,ETF_forward_returns,1,0.4801191555497993,0.9142857142857143,
leadlag_GLD_minus_SPY_13w_signal,ETF_forward_returns,4,0.4903116883116882,0.8285714285714286,
leadlag_GLD_minus_SPY_13w_signal,ETF_forward_returns,8,0.49676746611053174,0.8571428571428571,
leadlag_GLD_minus_SPY_13w_signal,ETF_forward_returns,13,0.49838941992929164,0.8571428571428571,
leadlag_DBA_minus_SPY_13w_signal,ETF_forward_returns,1,0.48289081725165134,0.9714285714285714,
leadlag_DBA_minus_SPY_13w_signal,ETF_forward_returns,4,0.49877922077922077,0.9714285714285714,
leadlag_DBA_minus_SPY_13w_signal,ETF_forward_returns,8,0.5027632950990616,0.9142857142857143,
leadlag_DBA_minus_SPY_13w_signal,ETF_forward_returns,13,0.5038889616341494,0.8857142857142857,
leadlag_HYG_minus_LQD_13w_signal,ETF_forward_returns,1,0.4725294650951949,0.2,
leadlag_HYG_minus_LQD_13w_signal,ETF_forward_returns,4,0.4775324675324676,0.34285714285714286,
leadlag_HYG_minus_LQD_13w_signal,ETF_forward_returns,8,0.46449426485922835,0.2571428571428571,
leadlag_HYG_minus_LQD_13w_signal,ETF_forward_returns,13,0.4706036401728428,0.34285714285714286,
breadth_ret13_positive_signal,ETF_forward_returns,1,0.46614234141309957,0.42857142857142855,
breadth_ret13_positive_signal,ETF_forward_returns,4,0.47288946347769883,0.42857142857142855,
breadth_ret13_positive_signal,ETF_forward_returns,8,0.4663033605812898,0.3142857142857143,
breadth_ret13_positive_signal,ETF_forward_returns,13,0.47773722627737225,0.4857142857142857,
breadth_ret26_positive_signal,ETF_forward_returns,1,0.4651108818978855,0.4,
breadth_ret26_positive_signal,ETF_forward_returns,4,0.4614350355526826,0.2857142857142857,
breadth_ret26_positive_signal,ETF_forward_returns,8,0.4585960814843649,0.2857142857142857,
breadth_ret26_positive_signal,ETF_forward_returns,13,0.468769551616267,0.45714285714285713,
canary_breadth_pair_signal,ETF_forward_returns,1,0.3032490974729241,0.6571428571428571,
canary_breadth_pair_signal,ETF_forward_returns,4,0.3134324499030382,0.6571428571428571,
canary_breadth_pair_signal,ETF_forward_returns,8,0.3143376151550539,0.6,
canary_breadth_pair_signal,ETF_forward_returns,13,0.3168143899895724,0.42857142857142855,
recent_stress_26w_signal,ETF_forward_returns,1,0.2592573491490459,0.45714285714285713,
recent_stress_26w_signal,ETF_forward_returns,4,0.2734324499030382,0.42857142857142855,
recent_stress_26w_signal,ETF_forward_returns,8,0.28830932918126373,0.6,
recent_stress_26w_signal,ETF_forward_returns,13,0.2999217935349322,0.5714285714285714,
market_drawdown_signal,ETF_forward_returns,1,0.47462609592573496,0.05714285714285714,
