signal_name,source_ooo1_discovery_score,expected_use,states_where_it_may_matter,best_abs_ic,best_holdout_abs_ic,best_spread,best_state_abs_ic,positive_state_count,avg_abs_redundancy_ooo2,max_abs_redundancy_ooo2,cluster_label,avg_abs_corr_existing_layer1,max_abs_corr_existing_layer1,missingness,causal_ok,coverage_score,redundancy_penalty,incremental_signal_score,decision,assigned_next_phase
market_drawdown_signal,3.1950000000000003,risk confirmation,stressed_panic|recovery_fragile,0.37547007832653484,0.5504897441511324,0.08086226849519583,0.3972936604943761,37,0.26217037556634354,0.5445044441021007,LOW_TO_MODERATE_REDUNDANCY,0.23057567519675173,0.5649181498555746,0.0009009009009009009,True,0.9990990990990991,0.26217037556634354,3.642857142857143,KEEP_HIGH_PRIORITY,OOO6 GGG1 portfolio pass-through after OOO3/OOO5
breadth_ret13_positive_x_stressed_panic_signal,3.0425,state quality,stressed_panic,0.6853678468222223,0.7380262989975807,0.6853678468222223,0.3098476287003347,23,0.3167350902741842,0.5876584857868151,LOW_TO_MODERATE_REDUNDANCY,0.11226996522068972,0.47201341797095064,0.0009009009009009009,True,0.9990990990990991,0.3167350902741842,3.464285714285714,KEEP_STATE_SPECIFIC,OOO5 triple-barrier/meta-label validation
recent_stress_26w_signal,3.0475000000000003,risk confirmation,stressed_panic|recovery_fragile,0.4537686623188857,0.3912252866662832,0.4537686623188857,0.24810794872790462,10,0.20976911623929576,0.5167037203154564,LOW_TO_MODERATE_REDUNDANCY,0.09734514743475926,0.5895031049749406,0.0009009009009009009,True,0.9990990990990991,0.20976911623929576,2.9642857142857144,KEEP_HIGH_PRIORITY,OOO6 GGG1 portfolio pass-through after OOO3/OOO5
breadth_ret26_positive_signal,2.8375,gate,all,0.4867927351348879,0.5264474087210743,0.17813000215630684,0.39198862806421414,69,0.3004462990366246,0.6361893280620069,LOW_TO_MODERATE_REDUNDANCY,0.1298663924707732,0.7610480245012508,0.0009009009009009009,True,0.9990990990990991,0.3004462990366246,2.928571428571429,KEEP_HIGH_PRIORITY,OOO6 GGG1 portfolio pass-through after OOO3/OOO5
breadth_ret13_positive_x_neutral_mixed_signal,3.1025,state quality,neutral_mixed,0.2200577436127737,0.19838072312879726,0.0627035067519861,0.3272013309376897,20,0.14803126788341633,0.42447891078404854,LOW_TO_MODERATE_REDUNDANCY,0.04178318876626308,0.19086474062610195,0.0009009009009009009,True,0.9990990990990991,0.14803126788341633,2.857142857142857,KEEP_STATE_SPECIFIC,OOO5 triple-barrier/meta-label validation
market_trend_positive_signal,2.805,gate,calm_trend|neutral_mixed,0.544888752570704,0.6720952923889059,0.135531657362418,0.31300321802299985,50,0.33080178954038736,0.6323001817838455,LOW_TO_MODERATE_REDUNDANCY,0.13965108831986778,0.5127018854738036,0.0009009009009009009,True,0.9990990990990991,0.33080178954038736,2.785714285714286,KEEP_HIGH_PRIORITY,OOO6 GGG1 portfolio pass-through after OOO3/OOO5
canary_breadth_pair_signal,2.9275,risk confirmation,all,0.2178433521183268,0.31469174584554765,0.2178433521183268,0.41813616165443324,67,0.11664883534159597,0.38335958142924953,LOW_TO_MODERATE_REDUNDANCY,0.16187074731691953,0.46316817409396266,0.0009009009009009009,True,0.9990990990990991,0.16187074731691953,2.7857142857142856,KEEP_HIGH_PRIORITY,OOO6 GGG1 portfolio pass-through after OOO3/OOO5
breadth_ret13_positive_x_recovery_confirmed_signal,2.8775000000000004,state quality,recovery_confirmed,0.18095995871179804,0.2819071791804058,0.18095995871179804,0.4486411634242038,52,0.11434627325086308,0.2156925721698276,LOW_TO_MODERATE_REDUNDANCY,0.0770531829830558,0.18234522124315122,0.0009009009009009009,True,0.9990990990990991,0.11434627325086308,2.607142857142857,KEEP_STATE_SPECIFIC,OOO5 triple-barrier/meta-label validation
breadth_ret13_positive_signal,2.5675,gate,all,0.4875498641366889,0.5415150730536954,0.14847600506376593,0.20944610738521163,54,0.29985832327030065,0.6361893280620069,LOW_TO_MODERATE_REDUNDANCY,0.10745381020517286,0.7926518260942368,0.0009009009009009009,True,0.9990990990990991,0.29985832327030065,2.1785714285714284,KEEP_FOR_TRIPLE_BARRIER_VALIDATION,OOO5 triple-barrier/meta-label validation
leadlag_DBA_minus_SPY_13w_signal,2.92,risk confirmation,neutral_mixed|calm_trend,0.3669218134261144,0.3523158022027413,0.3669218134261144,0.32044699486559947,69,0.21902369355751214,0.5598127118839058,LOW_TO_MODERATE_REDUNDANCY,0.04179420490377041,0.3559748961118513,0.005405405405405406,True,0.9945945945945946,0.21902369355751214,2.1428571428571432,KEEP_FOR_TRIPLE_BARRIER_VALIDATION,OOO5 triple-barrier/meta-label validation
