version,market_state,sleeve,classification,lookthrough_offense_drag,cash_contribution,defense_plus_commodity,state_sharpe_if_component
improved_phase2b_combo_abc,calm_trend,cash::BIL,NEEDS_REVIEW,0.0,0.14517779959637497,0.0,
improved_phase2b_combo_abc,calm_trend,composite_regime_conditioned,NEEDS_REVIEW,0.0,0.035324365423352676,0.14456236939708542,
improved_phase2b_combo_abc,calm_trend,composite_selective_signals,ACCIDENTAL_GOOD_STATE_DRAG,0.15094596990021908,0.0,0.15094596990021908,
improved_phase2b_combo_abc,calm_trend,cta_trend_long_only,NEEDS_REVIEW,0.023617472655140803,0.0,0.023617472655140782,
improved_phase2b_combo_abc,calm_trend,dual_momentum_topn,NEEDS_REVIEW,0.04255547810131145,0.0006107843860698175,0.04194469371524162,
improved_phase2b_combo_abc,calm_trend,taa_10m_sma,ACCEPTABLE_DIVERSIFICATION,0.0,0.0,0.071114339781506,
improved_phase2b_combo_abc,neutral_mixed,cash::BIL,NEEDS_REVIEW,0.0,0.25342781888193816,0.0,
improved_phase2b_combo_abc,neutral_mixed,composite_regime_conditioned,NEEDS_REVIEW,0.0,0.06594239554579967,0.12644486540171923,
improved_phase2b_combo_abc,neutral_mixed,composite_selective_signals,ACCIDENTAL_GOOD_STATE_DRAG,0.16238928265855052,0.0,0.16238928265855052,
improved_phase2b_combo_abc,neutral_mixed,cta_trend_long_only,NEEDS_REVIEW,0.032445123128556644,0.0,0.03244512312855662,
improved_phase2b_combo_abc,neutral_mixed,dual_momentum_topn,NEEDS_REVIEW,0.0480228558599457,0.0027050993588493564,0.04531775650109633,
improved_phase2b_combo_abc,neutral_mixed,taa_10m_sma,ACCEPTABLE_DIVERSIFICATION,0.0,0.0005422182394433491,0.0664191523803971,
improved_phase2b_combo_abc,recovery_confirmed,cash::BIL,NEEDS_REVIEW,0.0,0.06839712747642089,0.0,
improved_phase2b_combo_abc,recovery_confirmed,composite_regime_conditioned,NEEDS_REVIEW,0.0,0.062172458968042126,0.16930251843671204,
improved_phase2b_combo_abc,recovery_confirmed,composite_selective_signals,ACCIDENTAL_GOOD_STATE_DRAG,0.19518669713866016,0.0,0.1951866971386602,
improved_phase2b_combo_abc,recovery_confirmed,cta_trend_long_only,NEEDS_REVIEW,0.04158771258872872,0.0,0.041587712588728704,
improved_phase2b_combo_abc,recovery_confirmed,dual_momentum_topn,NEEDS_REVIEW,0.045011629601158565,0.0,0.04501162960115855,
improved_phase2b_combo_abc,recovery_confirmed,taa_10m_sma,ACCEPTABLE_DIVERSIFICATION,0.0,0.0,0.08756634837609475,
improved_phase2b_combo_abc,recovery_fragile,cash::BIL,NEEDS_REVIEW,0.0,0.16088400226574381,0.0,
improved_phase2b_combo_abc,recovery_fragile,composite_regime_conditioned,NEEDS_REVIEW,0.0,0.06447117502898808,0.14504460586092358,
improved_phase2b_combo_abc,recovery_fragile,composite_selective_signals,ACCIDENTAL_GOOD_STATE_DRAG,0.15579242137544383,0.0,0.15579242137544383,
improved_phase2b_combo_abc,recovery_fragile,cta_trend_long_only,ACCIDENTAL_GOOD_STATE_DRAG,0.051067091743503115,0.0,0.051067091743503074,
improved_phase2b_combo_abc,recovery_fragile,dual_momentum_topn,ACCIDENTAL_GOOD_STATE_DRAG,0.08833545779672394,0.0296981195567472,0.05863733823997676,
improved_phase2b_combo_abc,recovery_fragile,taa_10m_sma,ACCEPTABLE_DIVERSIFICATION,0.0,0.0,0.06037493841140404,
improved_phase2b_combo_abc,stressed_panic,cash::BIL,INTENDED_PROTECTION,0.0,0.5185757093160137,0.0,
improved_phase2b_combo_abc,stressed_panic,composite_regime_conditioned,INTENDED_PROTECTION,0.0,0.08709592095058569,0.07011958204263338,
improved_phase2b_combo_abc,stressed_panic,composite_selective_signals,INTENDED_PROTECTION,0.10378597076983395,0.0,0.10378597076983395,
improved_phase2b_combo_abc,stressed_panic,cta_trend_long_only,NEEDS_REVIEW,0.03332506060785355,0.0,0.033325060607853535,
improved_phase2b_combo_abc,stressed_panic,dual_momentum_topn,NEEDS_REVIEW,0.033309684352396146,0.009359945629689989,0.02394973872270615,
improved_phase2b_combo_abc,stressed_panic,taa_10m_sma,ACCEPTABLE_DIVERSIFICATION,0.0,0.0024420399034929064,0.04613400184123578,
improved_phase2b_regime_confidence_boost,calm_trend,cash::BIL,NEEDS_REVIEW,0.0,0.19014126165493966,0.0,
improved_phase2b_regime_confidence_boost,calm_trend,composite_regime_conditioned,NEEDS_REVIEW,0.0,0.035324486290637634,0.14484568773688627,
improved_phase2b_regime_confidence_boost,calm_trend,composite_selective_signals,ACCIDENTAL_GOOD_STATE_DRAG,0.1512185677567487,0.0,0.1512185677567487,
improved_phase2b_regime_confidence_boost,calm_trend,cta_trend_long_only,NEEDS_REVIEW,0.02369264434769798,0.0,0.023692644347697918,
improved_phase2b_regime_confidence_boost,calm_trend,dual_momentum_topn,NEEDS_REVIEW,0.04262658311582562,0.000614386213127652,0.04201219690269798,
improved_phase2b_regime_confidence_boost,calm_trend,taa_10m_sma,ACCEPTABLE_DIVERSIFICATION,0.0,0.0,0.07119512997597145,
improved_phase2b_regime_confidence_boost,neutral_mixed,cash::BIL,NEEDS_REVIEW,0.0,0.24562818508091988,0.0,
improved_phase2b_regime_confidence_boost,neutral_mixed,composite_regime_conditioned,NEEDS_REVIEW,0.0,0.06615235672199239,0.12704745332705702,
improved_phase2b_regime_confidence_boost,neutral_mixed,composite_selective_signals,ACCIDENTAL_GOOD_STATE_DRAG,0.16300828334553702,0.0,0.16300828334553707,
improved_phase2b_regime_confidence_boost,neutral_mixed,cta_trend_long_only,NEEDS_REVIEW,0.03263432052720748,0.0,0.03263432052720745,
improved_phase2b_regime_confidence_boost,neutral_mixed,dual_momentum_topn,NEEDS_REVIEW,0.048233290025244,0.0027136442252199246,0.045519645800024065,
