component,market_state,n_weeks,ann_return,ann_vol,sharpe,max_drawdown
composite_regime_offense_component,calm_trend,295,-0.04117448176796379,0.14414297112119845,-0.2856502918435295,-0.36730853195793567
composite_regime_offense_component,neutral_mixed,493,0.15142669022631638,0.15950946662723156,0.9493272934088335,-0.21672439567317903
composite_regime_offense_component,recovery_confirmed,44,0.028065960716330052,0.13688992975442804,0.20502575146819513,-0.099610946805613
composite_regime_offense_component,recovery_fragile,49,0.16286192489289686,0.10372293246374184,1.5701631358121126,-0.044021640701099485
composite_regime_offense_component,stressed_panic,229,-0.05780822341729064,0.23867333834150092,-0.24220645598285012,-0.5507302096509623
composite_regime_defense_component,calm_trend,295,0.05806543910922235,0.06813270022376025,0.8522403914496978,-0.07034907945873581
composite_regime_defense_component,neutral_mixed,493,0.07637845079190075,0.0955669227913096,0.7992142946643694,-0.20159127979324687
composite_regime_defense_component,recovery_confirmed,44,-0.010965054342898961,0.07728843903080336,-0.14187185665024016,-0.07179758848090734
composite_regime_defense_component,recovery_fragile,49,-0.07619303026472102,0.09585467840961331,-0.794880662361907,-0.10630545758291676
composite_regime_defense_component,stressed_panic,229,0.07395334839807721,0.12857300489905105,0.5751856577991749,-0.18602145108406387
composite_regime_cash_component,calm_trend,295,0.011365994548191205,0.003016290085832934,3.768203397138621,-0.0011580736735626873
composite_regime_cash_component,neutral_mixed,493,0.010581474347705067,0.0028231805976011975,3.7480685283456334,-0.0028842948873875063
composite_regime_cash_component,recovery_confirmed,44,0.011836844526697865,0.002542560482613804,4.655481986618995,-0.0013098144987810922
composite_regime_cash_component,recovery_fragile,49,0.017263976875564246,0.003105265825605431,5.559580997288148,-0.0004361701415994679
composite_regime_cash_component,stressed_panic,229,0.013760938955944546,0.005047923960690304,2.7260590815363104,-0.004572550310282364
